,values_0a_su2,values_0b_su2,values_0c_su2,values_0d_su2,values_1a_su2,values_1b_su2,values_1c_su2,values_1d_su2
0,14.342515825672649,3.2668579820335983,17.37907150175255,18.898923673553355,15.739712240121932,3.2668579820335983,15.700987642036118,15.173514812391836
1,15.349427602506857,3.1970827790642904,16.191285784792353,17.189545102523024,17.208784612757015,3.1970827790642904,16.259582770538547,16.127294670092695
2,15.251332561823574,3.4573568025008075,16.94419771588421,18.70978485593157,17.490030178013484,3.4573568025008075,15.699061874193198,16.454812088665538
3,15.358565825413718,3.529644416042031,16.296788691640394,17.582094040812397,16.308269582125398,3.529644416042031,15.901310914815738,14.395044581911568
4,15.307443436744347,3.312718161130735,16.852699527588793,18.5017836579632,16.194279473083654,3.312718161130735,14.845877839327528,15.025580854503216
5,14.84715389744417,3.2401353318091584,16.51168668950853,17.763233208905497,16.739196323448333,3.2401353318091584,16.718687310912486,16.02284277571938
6,15.178245167491735,3.312194210280179,16.052051512897165,18.594753420712856,17.125226661079452,3.312194210280179,16.38682837911366,15.48441954687947
7,14.649035266887308,3.21803691968709,17.255915041870946,17.956201661553404,16.2510612812251,3.21803691968709,15.119605104974694,15.630760212760526
8,15.442465515162567,3.5149539630405675,16.863629206978548,18.382210985024827,16.53446907642896,3.5149539630405675,15.648143421026129,15.735990198145755
9,14.735197313952483,3.299412768053609,16.679484743039797,17.69500282447534,16.702851121843103,3.299412768053609,16.35002699267833,15.397064328293325
10,16.235358441531027,3.461181874727546,17.096485955988406,18.257250153228807,15.56342919753786,3.461181874727546,17.03277491651909,15.808988041056649
11,14.231405530363794,3.2362840587322315,16.884642302872244,17.890897274964207,17.570627054623497,3.2362840587322315,15.32047095879427,15.678881679585945
12,15.725368171683423,3.32281941199163,17.17537694405588,17.53638227600677,16.09334390958617,3.32281941199163,16.146084709784105,16.089992245417896
13,14.719997159906718,3.420694476161125,16.491733473212467,18.792676070175286,17.343180379292196,3.420694476161125,15.588149680544673,15.051976667026382
14,14.680437078870026,3.3857682691272943,16.825879824484385,17.34977903406863,16.303929840143436,3.3857682691272943,16.00130916881024,15.61380408094115
15,15.25202849398595,3.4258833680903935,16.46896343107041,18.8496814636497,17.09379127887198,3.4258833680903935,15.905513168235736,15.116970504741776
16,15.452301746508361,3.3184936109041625,16.148772870228775,17.451036879018222,17.73547020611606,3.3184936109041625,15.86523102980841,14.99137865564828
17,14.292475840790674,3.4898087108722824,17.01059111775894,18.60162870412299,15.641323453494936,3.4898087108722824,15.847384388836378,15.663987218907815
18,15.95599294598347,3.4120451214079464,17.168768966164734,17.751131846004576,17.856313579634335,3.4120451214079464,15.09246073680928,15.791308731496553
19,14.2803301115036,3.24316243283214,16.632447448591645,18.71001533136178,15.922889135843304,3.24316243283214,17.137828945945667,15.080202096879972
20,14.885172137850477,3.291651540307071,16.46079361676957,18.17823070556064,16.799073674861052,3.291651540307071,15.55929916354922,15.256069327269545
21,15.859259057163607,3.1592312757601917,16.99126361462942,17.657766393032833,16.43281120591803,3.1592312757601917,16.26132523525955,16.0057552707873
22,14.691771205405816,3.4630391782822536,16.705206194196027,18.449402371892166,16.700844267896368,3.4630391782822536,15.913895130533914,14.488715861063959
23,15.829268264223234,3.3948347715288305,17.164391649594133,17.869947717364504,16.46377403525681,3.3948347715288305,15.868376070894744,16.456600198586155
24,15.44506566879024,3.2903054811639643,16.465438486431946,19.46337789032418,16.64407988723553,3.2903054811639643,15.767688129177232,15.571192474800617
25,14.701109938701624,3.418957856414781,16.81831641866223,17.239689247642925,16.294398097756666,3.418957856414781,16.11335446731585,15.183916043632859
26,15.213592793389516,3.2957754883384225,16.620406988977024,18.48651490699101,16.607846487271946,3.2957754883384225,15.339699786861189,15.34025756580963
27,14.775253826055978,3.240016124119918,16.566969637325002,18.07911196672337,17.119981081811332,3.240016124119918,17.053344291833497,15.71898085688773
28,15.65271055601494,3.527485414133988,16.313074472573284,17.60018890712276,16.30060385995287,3.527485414133988,16.153392381515243,16.39244802911615
29,14.30318086798108,3.541816699461196,17.09146823632803,18.374565860305854,16.782461828873437,3.541816699461196,15.9793516162688,14.46738898328845
30,14.592347891215569,3.417087973432956,16.505944559252725,18.62014535100543,17.17118229752708,3.417087973432956,15.553958148052882,15.9467502772281
31,15.177687894379016,3.3758325756066077,17.189473981630222,17.35842195524017,16.571581466723828,3.3758325756066077,16.314937149497634,15.31557338245907
32,16.316642325954216,3.3128339299905756,16.51108011440927,19.230192699622027,16.758769874940455,3.3128339299905756,15.729056887429232,14.648668478741321
33,14.265301681149689,3.4688341025223632,16.817076766124565,17.30972118911444,16.127518745620346,3.4688341025223632,15.678707668328304,16.591407134177125
