,values_0a,values_0b,values_0c,values_0d,values_1a,values_1b,values_1c,values_1d
0,18.13435480298332,3.5337159640672,15.484540262600309,15.794892207162064,20.894629457401223,3.5337159640672,17.08366379634637,20.583621133747148
1,18.06046863029514,3.3941655581285777,16.699371255338583,17.747995967813672,23.2903107910996,3.3941655581285777,15.293454426937933,20.27766275122752
2,16.36910229878562,3.914713605001611,15.453939735947838,18.35390137984848,21.82461648633916,3.914713605001611,15.737906832939212,20.491460504912343
3,20.249254479823403,4.059288832084063,15.527856457676876,15.492400152168182,23.191825316434723,4.059288832084063,15.288599049994287,19.519453407028003
4,19.53743821908904,3.625436322261465,15.5620932247306,18.895430498663583,21.255647289927527,3.625436322261465,15.841501440780394,18.44055926822967
5,17.619743952095448,3.480270663618315,15.822182350600563,15.453237062322591,23.393793657299128,3.480270663618315,17.09914921894834,23.26854640918694
6,16.917577395472424,3.624388420560356,14.210554428120505,16.110105808017977,23.239182544025592,3.624388420560356,13.75322493459755,17.98298060005212
7,19.45619508970159,3.4360738393741794,17.111238472510585,17.477473582932646,21.09193725326524,3.4360738393741794,16.954395118900685,23.17643363911512
8,17.445920972368643,4.029907926081132,15.691043632916616,18.259335075719648,24.500306027841884,4.029907926081132,16.2350306719757,20.27914763070796
9,19.21368432793584,3.598825536107215,14.965817287619036,16.12652496534218,20.72337235281306,3.598825536107215,16.166068483735888,21.291073466483294
10,18.72946322616825,3.922363749455085,15.378079977185529,17.76589434528656,23.36397935163844,3.922363749455085,16.623949654415576,23.03098011538357
11,18.28966725034889,3.4725681174644643,15.93633341781408,16.09682754019554,21.606152565918443,3.4725681174644643,15.419771018889058,17.5396451952355
12,16.955107211523167,3.6456388239832576,16.057344361034712,16.10976027068692,22.81467728843665,3.6456388239832576,15.926286681934984,19.43394791470296
13,20.560264163930068,3.841388952322253,15.83429172886094,17.434992200222126,21.68940975985693,3.841388952322253,16.12185679367823,21.55270398091177
14,16.44178239528458,3.771536538254585,14.685403878562283,18.601118464992528,20.0385340949372,3.771536538254585,16.308044308629977,19.167775418665435
15,21.155732738802595,3.851766736180787,15.5021791108525,15.332144748953509,25.30779963016949,3.851766736180787,16.275501004648415,21.87517008956142
16,14.61508041942472,3.6369872218083152,16.37442788629783,19.09750438001264,21.46939937244813,3.6369872218083152,17.895979270989976,22.433580735464066
17,21.90633394259553,3.979617421744564,14.855640076129148,14.610284479104056,22.34209983853957,3.979617421744564,13.790019255407149,17.862765588992893
18,17.269942760637928,3.8240902428158967,15.68234857248762,18.471672085604485,23.25613246287859,3.8240902428158967,14.468342382308595,19.59455419996842
19,20.03291640339756,3.486324865664283,15.595685912120215,15.864985392530484,21.47831504795007,3.486324865664283,17.29067864143936,20.64172178696712
20,17.297074922006555,3.583303080614136,16.680642771968603,15.86869775846697,25.60329991236464,3.583303080614136,15.739404311612152,22.74757352126679
21,19.43397021065955,3.3184625515203887,14.883819248350482,18.05579364309225,20.41289821328757,3.3184625515203887,16.444983515269808,18.70235137626755
22,18.861369617323643,3.9260783565645054,14.6240498961042,15.619477511992695,18.884473941648547,3.9260783565645054,14.62368934130385,21.91717050037332
23,18.019926340158985,3.78966954305766,16.92561381352627,18.04912979173707,25.7397056404344,3.78966954305766,18.51279541566156,18.47448554964257
24,18.86488217020795,3.580610962327926,14.660848030270223,16.04946509059055,22.033761853898284,3.580610962327926,17.089738752295027,20.299484900434184
25,17.600316560620914,3.837915712829553,16.947841398782213,18.06152380302602,22.449792009725723,3.837915712829553,14.86748950450191,20.102257281659075
26,18.283531906973938,3.591550976676842,15.204827034221672,17.129282546465348,19.960601391100905,3.591550976676842,16.43546395072625,22.21455097499448
27,18.63926069231217,3.480032248239833,16.830943423222234,16.410270356017495,24.335747395912303,3.480032248239833,15.908685878976677,18.672722058162936
28,18.136103469223183,4.054970828267969,16.35723830269705,16.584381930214803,22.88092379651572,4.054970828267969,16.677195050082194,22.057008402216645
