,ev_op_Hp25_cobyla
0,18.32270549610986
1,18.32270549610986
2,18.32270549610986
3,18.32270549610986
4,18.32270549610986
5,18.32270549610986
6,18.32270549610986
7,18.32270549610986
8,18.32270549610986
9,18.32270549610986
10,18.32270549610986
11,15.788136375463038
12,19.610996592082465
13,18.726579662680958
14,17.67324021300838
15,18.98554885561121
16,16.089417681778354
17,15.591675662239561
18,12.644488950156022
19,13.000729786727064
20,13.712947391596861
21,12.007626773295481
22,12.527352310767741
23,12.495880167215798
24,10.532672447901701
25,10.397781173148148
26,8.170813772407142
27,13.29494364744499
28,8.170813772407142
29,11.033459486922705
30,8.170813772407142
31,11.829710647754137
32,8.170813772407142
33,6.760176608882324
34,6.760176608882324
35,6.514072452189342
36,6.514072452189342
37,7.345512982435467
38,6.514072452189342
39,8.572700699785788
40,8.486868821608045
41,7.359311176765809
42,8.092075772649622
43,8.031006552497534
44,6.44982839447103
45,8.919411401813937
46,5.585362156755182
47,6.184940685262383
48,5.335358577911109
49,5.768819820151956
50,5.396528457866236
51,5.316053380021158
52,6.822657760436102
53,9.10110533141236
54,7.197628949018118
55,6.314627679558479
56,5.436502448712266
57,7.0185593761376195
58,5.142477152342528
59,5.142477152342528
60,5.143218553499182
61,5.142477152342528
62,5.101935255353825
63,5.101935255353825
64,4.419366431657382
65,4.457576840587249
66,4.626496628069784
67,4.017392756279756
68,5.177921792422623
69,4.276229180190195
70,5.327292372059569
71,4.055213444151082
72,4.393869234659116
73,4.3417447740710475
74,4.677551929015538
75,4.131732535498694
76,4.227198629559331
77,4.440473186106166
78,4.842216459320663
79,4.284449973589799
80,3.972854803494554
81,4.649361149023282
82,4.92130509167211
83,4.2988353639163535
84,5.153304186424996
85,4.630050289677338
86,4.244467736752341
87,4.63626317590282
88,4.090505578766626
89,4.262550847534354
90,4.404450455663006
91,4.036794297762684
92,3.972854803494554
93,4.005178279579631
94,3.972854803494554
95,4.1116341731621
96,4.2630098911899275
97,4.38490811873829
98,4.165166577662859
99,4.3126144844257315
100,4.120447777152248
101,4.112045580197966
102,4.405005427532258
103,4.274501783894518
104,4.3216845215327
105,3.9096954138674316
106,3.8648470432644833
107,4.001995490970353
108,3.9859093672212893
109,4.139367432811528
110,3.7199398338290455
111,3.661796819138067
112,4.133603176098982
113,3.8041052488070592
114,3.834103227962774
115,3.6593818219958303
116,3.746406125797046
117,3.8024482977880467
118,3.8812868871286654
119,3.573071280869219
120,3.7389987871120742
121,3.8978708836511395
122,3.7371052852727003
123,3.6401223650534305
124,3.9302738818715595
125,3.698138591283601
126,3.766077722572886
127,3.5919882626494664
128,3.807457204316353
129,3.6967500097307746
130,3.7527535774245027
131,3.707138482394554
132,3.64160956009746
133,3.8538596641294403
134,3.7784250482714046
135,3.8761576379099973
136,3.98647602532239
137,4.0616285041786035
138,3.9142138987352553
139,3.781145180802839
140,3.679910446654401
141,3.86589602810771
142,3.7252060064491075
143,3.7283246908690466
144,3.7454073499025164
145,3.72674367348939
146,3.8413655476376167
147,3.763336979426229
148,3.7582429777306285
149,3.6154775450796675
150,3.943029675032149
151,3.842425443593895
152,3.773624779321409
153,3.750644857304472
154,3.731451935238624
155,3.6147640209577308
156,3.6518579638394617
157,3.535287397578988
158,3.753096596817269
159,3.601763393709639
160,3.6793088516642753
161,3.875789476164155
162,3.777106306358299
163,3.6146745844348085
164,3.801945050421621
165,3.8072460699535844
166,3.686243724578399
167,3.768017390260715
168,3.84967066329637
169,3.809341733656968
170,3.6300212053822993
171,3.8407840236376383
172,3.6007211905929264
173,3.722389745864816
174,3.738452750697852
175,3.6050859181269472
176,3.643512087869877
177,3.7524243711248615
178,3.8072049061602957
179,3.6034948297746183
180,3.7518054552479185
181,3.745323508350807
182,3.596513865494295
183,3.7994666987240273
184,3.805858111592007
185,3.6269153995357266
186,3.7093201866520666
187,3.5772484938599094
188,3.7305333856498493
189,3.684818154731524
190,3.6917578175463235
191,3.627817073246125
192,3.5966718507503628
193,3.658167531253188
194,3.618182277038776
195,3.5167087012560363
196,3.6119646307419897
197,3.7643989835555187
198,3.579197860172011
199,3.6571176324634567
200,3.629000330972086
201,3.6144732674733686
202,3.5458936346327103
203,3.6304091669065017
204,3.568783318993429
205,3.582283626513021
206,3.5511122260922217
207,3.6002716022048693
208,3.660993511038062
209,3.502433237812289
210,3.551323173313084
211,3.6630265776082394
212,3.5474221085433144
213,3.5186231135309827
214,3.548122870474265
215,3.534818206322044
216,3.5398121243369345
217,3.5999325082319236
218,3.529386818937747
219,3.528581729371779
220,3.5398061731003536
221,3.5166455575119446
222,3.6564406561899534
223,3.588130356605401
224,3.610845515035204
225,3.5182317736258315
226,3.5482464000156133
227,3.5459199696121315
228,3.5555741862685255
229,3.5530705312862505
230,3.532666738971818
231,3.5514112611681696
232,3.5024176825901256
233,3.4978703737352523
234,3.5542592098964008
235,3.5270964074433167
236,3.6341333373329947
237,3.5126396277911556
238,3.53821149916775
239,3.5144432403092947
240,3.6379547256823925
241,3.5259314297453352
242,3.55997673426323
243,3.5529227614694285
244,3.517299181283825
245,3.607706252433064
246,3.4990006416730037
247,3.536788460991189
248,3.498877832918612
249,3.538958951752409
250,3.5478316290829155
251,3.5445693952791655
252,3.519721951251208
253,3.5373007188767325
254,3.5003803444622594
255,3.527245826118781
256,3.492000723670507
257,3.511740402555501
258,3.5393220555238716
259,3.554610546136123
260,3.530171447920653
261,3.5151209778128996
262,3.551836349765713
263,3.532957106328927
264,3.5215500050924122
265,3.5067274967149213
266,3.5155308254824975
267,3.5170802802843206
268,3.5027474499506304
269,3.496680634059383
270,3.6089848784678504
271,3.520370926768567
272,3.539870265734181
273,3.5327492423702784
274,3.555611251172095
275,3.5144369090050875
276,3.510280233409742
277,3.5184906899851245
278,3.5813439911088936
279,3.5213300843832505
280,3.5152512151100797
281,3.5128500384296557
282,3.5033087017829643
283,3.479572127933706
284,3.5037998541922235
285,3.515451170476073
286,3.5105866783196755
287,3.502550365300411
288,3.5119432515130162
289,3.5404586087344945
290,3.508383661445322
291,3.5065302563629035
292,3.5197267322837074
293,3.499482401993969
294,3.517386868261681
295,3.501579742045446
296,3.4917767157606585
297,3.535118581551682
