,ev_op_Hp25_spsa
0,20.92256347238712
1,20.148887278516824
2,23.163846828359045
3,16.70612422526332
4,23.18237416286895
5,18.89768931459702
6,22.268900993399054
7,19.758947476679666
8,20.025091496493843
9,19.390394516438562
10,15.867912581272696
11,26.14740512662055
12,18.850140430469043
13,22.28642323226223
14,19.722164562602536
15,20.785913518950686
16,19.759483341736665
17,20.663408601775668
18,18.992637876708436
19,21.09809332316659
20,21.938885085005786
21,19.927363440178734
22,18.478023058243537
23,21.118091228023474
24,16.505294767029
25,23.50644146203956
26,24.29603087818344
27,17.07226127505014
28,22.519608843610097
29,16.966901466466815
30,18.720605724841196
31,22.26582081408925
32,21.893758585781647
33,19.313804250751275
34,22.41142482937013
35,18.41625697405
36,23.569711814978334
37,17.50386825367353
38,19.265127213631363
39,21.512839136202185
40,19.406304037756524
41,19.744097368044514
42,24.163723525832513
43,17.90328132666922
44,21.73346811388096
45,17.309527323265936
46,20.51422795693051
47,19.04714409158145
48,19.665024333869106
49,20.22808938846287
50,17.08557321911409
51,23.5847491645031
52,15.519177923960033
53,15.496572992354357
54,17.105483115913778
55,14.870914893494845
56,17.240030775645756
57,12.821157900875678
58,11.912254771006594
59,11.633787539880087
60,11.505982610744017
61,10.840998482662132
62,11.247868114100175
63,12.59398316384837
64,11.979784072373127
65,10.811149250566373
66,8.432388048179845
67,14.18012693081558
68,7.799918132227855
69,9.538275675230938
70,8.427988362037192
71,8.514341701805288
72,6.809390697488291
73,9.51870321080961
74,9.156153442252638
75,6.48820180099616
76,6.605067064209807
77,8.008030738981466
78,7.316961479666385
79,6.628436358210357
80,6.826222318495665
81,7.166194626583695
82,5.583178806787961
83,8.821018388086216
84,5.669470057853669
85,7.038272988224071
86,6.90879010683497
87,4.991098016708993
88,5.939304225725075
89,5.685410968141453
90,5.445132994614645
91,6.0372824758657835
92,6.675236795178618
93,5.208350472144097
94,5.266443468085489
95,5.856143544446159
96,5.527270304545954
97,5.975450405142556
98,6.040784562609714
99,5.23581779202754
100,6.28959514477372
101,5.2534085392120735
102,5.655430985913202
103,4.996810467497635
104,5.91753885457872
105,5.527868800555364
106,6.137804553292666
107,4.6474423731199535
108,4.873181681031966
109,5.324492111751697
110,4.698706257089653
111,5.731562538410595
112,5.306634576038281
113,5.113449927977395
114,4.596927574646503
115,5.510728802982612
116,4.780987435429568
117,5.411346089494652
118,5.038391088004668
119,4.763464611416523
120,4.495466930500812
121,5.575416374126687
122,5.310503139462033
123,4.3873717066122335
124,5.982978837019545
125,4.163797457827302
126,4.154279950386236
127,4.380483400433534
128,4.242229858072823
129,4.829421673427945
130,4.840786148831251
131,4.652984843586877
132,3.825637931165922
133,5.362109042099322
134,4.198363409573475
135,4.5490146653604
136,4.267124568819842
137,4.698351490534562
138,4.105377568833035
139,4.7857698412906995
140,4.200607110696834
141,4.821735364683768
142,4.2627437302004125
143,4.536242309365172
144,4.396872370647338
145,4.626539040740399
146,4.109756778329709
147,4.582846677187322
148,4.084898082242786
149,4.347597548366344
150,4.592389586232131
151,4.428946463804293
152,4.482504025833931
153,4.313472182082954
154,4.256289522888593
155,4.396869361267128
156,4.408465022086594
157,4.4433131869057485
158,4.264542066165086
159,4.105484164876205
160,4.047254622467891
161,4.235663490534163
162,4.110030733796581
163,4.557056199212292
164,4.26799169626528
165,4.507964988947683
166,3.97779056439015
167,4.361044935468229
168,4.197668711713991
169,4.573189297913073
170,4.118841608012992
171,4.4632764668158
172,3.9150409448197427
173,4.397310072989592
174,4.408066734618545
175,4.526250356460742
176,4.2084037806032395
177,4.310176916755096
178,4.3028754958434146
179,4.270678398333601
180,4.3262578276232
181,4.331987170680392
182,4.293528041475908
183,4.602874215869687
184,4.388755830609905
185,4.545784815525286
186,4.253623304592594
187,4.64699557797333
188,4.222892012046252
189,4.212745783304372
190,3.9699389298731997
191,4.257698603649908
192,4.342714355403266
193,4.349211846951743
194,4.376443150884829
195,4.294783444674307
196,4.002398712435253
197,4.42538865932801
198,4.273057950569719
199,4.476114573826256
200,4.557436676912508
201,4.104280309878409
202,4.310991218837379
203,4.252942875227648
204,4.062665179983312
205,4.010971709729822
206,4.260969047979215
207,3.899304722725901
208,4.204351265848036
209,4.424715908590025
210,4.437981331122747
211,4.469505670761832
212,4.314559445412739
213,4.328903016542814
214,4.269147414219026
215,4.513325265013991
216,3.819342016601605
217,4.408199594732244
218,4.119424726732963
219,4.1153490822544905
220,4.168527579819354
221,4.253986033269392
222,4.179342272603018
223,4.426189118166109
224,4.022440469201908
225,4.533255289268633
226,4.241810848829895
227,4.510169102112139
228,3.848591632669089
229,4.263234690418124
230,4.228222839534005
231,4.350568253150154
232,4.225797790781713
233,4.491205221908758
234,4.27719539290723
235,4.402109186656987
236,4.171224386635106
237,4.365287794202576
238,3.9089661086536527
239,4.382702656158008
240,4.036315166580377
241,4.015437480502042
242,3.9235497517340456
243,4.249176372978399
244,4.196961375037809
245,4.578103442416189
246,3.8811443126676197
247,4.448084107482219
248,4.121220116742788
249,4.226413024386423
250,4.424994617270462
251,4.3764129123605295
252,4.387908956424726
253,4.499243255728609
254,4.024002364242262
255,4.429770199130458
256,4.165234319669226
257,4.448677367899314
258,4.018781528537521
259,4.2927039748461855
260,3.987524525263818
261,4.15395290000094
262,4.026781378433019
263,4.456122522634562
264,4.061402781929438
265,4.440291233027248
266,3.6587037531365287
267,4.293807311328584
268,4.143829192032044
269,4.285068375342959
270,3.987074597877163
271,4.312705997705444
272,4.048989601473497
273,4.421951481760573
274,4.120710709040838
275,4.316880668683026
276,4.247557638608695
277,3.993739749960794
278,4.2790426402435076
279,4.405040586585059
280,4.124637698703574
281,4.3836132832050065
282,4.041271943450717
283,4.093432154940823
284,3.998758988881359
285,4.039319214808245
286,4.013321780227361
287,4.082934086844789
288,4.245016859599919
289,4.220024006793404
290,4.160207715298629
291,4.273515812223141
292,4.28795366438494
293,4.052566421844714
294,4.000689188068472
295,4.256625324051593
296,4.052922021556757
297,4.159060857770134
298,4.197854142688481
299,4.553978428862711
300,4.1307813801179165
301,4.383494116571163
302,4.2854260658544545
303,4.285631132432916
304,4.537408331706929
305,4.479143162260998
306,4.219028665344039
307,4.163857266105441
308,4.146169084658521
309,4.302408649041916
310,4.148431082950521
311,4.3215235985647436
312,4.219909298250063
313,3.931423608540797
314,4.166418838993584
315,4.159453726149755
316,4.469955753294995
317,4.4242640456715145
318,4.382755533157782
319,4.390679840382293
320,4.130195091923768
321,4.452395725729535
322,4.123085202230182
323,4.299769312937672
324,4.253207119377391
325,4.196864330068167
326,4.136019304220327
327,4.265063943341014
328,3.9923270340856236
329,4.397264947604687
330,4.018145545234337
331,3.969665327091809
332,4.402752440510653
333,4.145877983640882
334,4.084136404779951
335,4.478465060386863
336,4.1149070453966585
337,4.128511198948702
338,3.9072437963616737
339,4.312872618378989
340,4.219954349125392
341,4.059596531498862
342,4.152857298503995
343,4.140831101696253
344,4.268986474414348
345,4.132546538978081
346,4.1463941195986385
347,4.402714078173534
348,4.232059750234973
349,4.3339807448510985
350,4.237467998906356
351,4.2603707700492865
352,4.048365897211708
353,4.583538922766223
354,3.9880426548491106
355,4.11973879933832
356,4.242516854928345
357,4.340916734276298
358,4.141129724991485
359,4.172009129717254
360,4.045578783557887
361,4.281018494478867
362,4.063481899651944
363,4.362308827594531
364,4.019485213501555
365,4.346773428624698
366,4.11208019587428
367,4.289097430036207
368,4.093510685310245
369,4.144596546164453
370,3.8707527662633403
371,4.354711399253044
372,4.005169484910808
373,4.188246163811021
374,4.020723989593853
375,4.317864552193384
376,4.081201504946852
377,4.433074331988404
378,4.03467837084907
379,4.090156628597781
380,4.148047480722164
381,4.211962747089018
382,4.030479934030096
383,4.056247186830296
384,4.221888992567568
385,4.309793992197754
386,4.173595366917622
387,4.112851105145396
388,4.1239308944831725
389,4.329775177543578
390,4.123856623649479
391,4.144192874086423
392,3.8118411078270356
393,4.3294633822078685
394,3.864427194925705
395,4.226942228290348
396,3.8312988124913057
397,4.345795394765405
398,4.103001460771354
399,4.047572513574302
400,3.844365032538647
401,4.178257995596892
402,4.040910687801086
403,4.112389605739957
404,3.955356211678615
405,4.309014054037123
406,3.905090866576119
407,4.461679275508779
408,3.9088281121995747
409,3.926090472785035
410,3.915266179294087
411,4.223850691446882
412,3.962211358099605
413,4.189573550130699
414,3.9843786734043567
415,4.314727704423195
416,4.109383465410944
417,4.2731125966129895
418,3.8654353146460205
419,4.279942116061071
420,3.980561317872315
421,4.37127669843358
422,3.9362077609614325
423,4.249179791518711
424,4.189994067929157
425,4.26449547705594
426,3.9931239012459607
427,4.127815335682008
428,4.088632001719122
429,4.150714781418687
430,4.325274665552168
431,4.382217303324159
432,4.019784843844911
433,3.949737908596838
434,4.244599597198499
435,4.477364098626188
436,3.9303498434638433
437,4.127074883528003
438,3.8288766296056695
439,4.401824157303981
440,3.9677809282194954
441,4.213537517481014
442,3.914692629558985
443,4.175691778983878
444,4.229249612320863
445,4.180125217825946
446,4.268443645138928
447,4.396944516127321
448,4.04883522799402
449,4.152638115115473
450,4.388397508096018
451,4.471553361271409
452,3.941254778453246
453,4.100300072987433
454,3.984411876079701
455,4.1387725828318835
456,3.8809110781281855
457,4.34577710285164
458,4.066037350406709
459,4.213156400554204
460,4.0322730414962065
461,4.105876808799067
462,4.135753198776722
463,4.264681776465016
464,3.575969091474037
465,4.286059449652834
466,4.257804787061871
467,4.4079040798428055
468,4.068550060295424
469,4.436779281472502
470,4.529842586864318
471,4.298901340849187
472,4.054808935169693
473,4.287381631600366
474,4.276993267352994
475,4.201986551562852
476,4.220528311509331
477,4.156689054931755
478,4.108621865464358
479,4.214841029700569
480,4.1575087883192365
481,4.437882022845086
482,3.964332363639522
483,4.210546386933081
484,4.1034368741700735
485,4.381283320213001
486,4.071096992427967
487,4.114827355974639
488,3.9902093674996904
489,4.308173267463115
490,3.8519455801455043
491,4.1501634341225655
492,3.993325715644474
493,4.247243139884785
494,4.16565702593505
495,4.416630787413215
496,4.130679725572944
497,4.290019526557621
498,3.897260180804115
499,4.372501392761564
500,3.964363519263491
501,4.174823172504171
502,4.1582627689310785
503,4.119824612967005
504,3.734290621722121
505,4.3635203879961155
506,4.091450746316826
507,4.214230441704089
508,3.77078075136535
509,4.357486934206168
510,4.1110411177371375
511,4.094649584309906
512,3.9525223212220166
513,4.347950376587337
514,4.23261899748016
515,4.04723788326473
516,3.930828277784825
517,4.209962989902641
518,4.128327557096434
519,4.078437769249013
520,4.025618127051825
521,4.380315844780684
522,4.065754679029194
523,4.019545761096738
524,3.76276239272712
525,4.425427885512177
526,3.8325409748192807
527,4.384189202742092
528,4.199337390263324
529,4.116236612538131
530,3.96878678025828
531,4.088283634058862
532,3.7826469640307834
533,4.1458998812683285
534,4.052430935724137
535,4.238084184559925
536,3.905010576873428
537,4.399787089791323
538,4.177127179125126
539,4.058622064210467
540,4.050017219526966
541,4.076044105845531
542,4.052873320898968
543,4.240759270974741
544,4.334458907192479
545,4.215654601439194
546,3.9951088683753215
547,4.235901889012155
548,4.104308880757714
549,4.141987243537958
550,3.9676785811002824
551,4.170759854547727
552,4.054959865162282
553,4.064788540052129
554,4.060646132301251
555,4.0457776483292305
556,3.950168832699749
557,4.212252177625801
558,3.9839910224904314
559,4.155071154338322
560,4.118221140211619
561,3.9409799021537215
562,4.047405822718236
563,4.18547339358008
564,4.142823597500971
565,4.185437645914538
566,4.135988964113841
567,4.444904084790879
568,3.945286754947186
569,4.08912499060166
570,4.218483708743616
571,4.315667034684954
572,3.893551650740376
573,4.453922806274681
574,4.06636026782146
575,4.233139704793087
576,4.062533292277636
577,4.251573318099481
578,4.128707083290296
579,4.165642957509579
580,4.135778362914654
581,4.233578989164847
582,3.9681278617837537
583,4.20698306295436
584,3.917472368076455
585,4.270171241840526
586,4.0700851815837185
587,4.035395697114125
588,4.0279923788611125
589,4.164105447165856
590,4.063120245048291
591,4.132422404731194
592,4.187024204865721
593,4.099209229836495
594,3.963078557297957
595,4.283882907768707
596,4.140849872147801
597,4.17016593884973
598,3.886981203238462
599,4.542014561965742
600,3.9264795635555596
601,4.011548598898099
602,4.136811834391168
603,4.109530200485043
604,3.8633118955637884
605,4.5341351047004
606,4.154783167519057
607,4.294087024960089
608,3.7167774337817017
609,4.154264583281276
610,3.947892178383342
611,4.119785291715231
612,4.165639674787275
613,4.66566431041877
614,4.244541118707982
615,4.033342743951847
616,4.1929379615955416
617,4.161098629175871
618,3.946920951712693
619,4.411101142543488
620,3.989724375909437
621,4.221482888168191
622,4.00453082073243
623,4.459372024320119
624,4.141640763580486
625,4.331332135503777
626,4.014880971386436
627,4.122413993575641
628,4.195696773730332
629,4.059093535047703
630,4.11335285200703
631,4.456165642014344
632,3.775122280592771
633,4.329794134544134
634,3.9780734435161738
635,4.320143753526971
636,3.920528354535562
637,4.451276128779279
638,4.167903947550184
639,4.240004280054101
640,4.191415766605126
641,4.45277969220931
642,4.216965647894876
643,4.249276916043372
644,3.8243530226060063
645,4.055156555637737
646,3.7734130218841986
647,4.215872232930966
648,4.089943111821716
649,4.204938893568095
650,3.982125141510213
651,4.093511527111684
652,4.107999546945944
653,4.177716590919614
654,4.180881819118471
655,4.2728086333794755
656,4.057480040239305
657,4.222484776313641
658,3.9484818835887086
659,4.2328458294104285
660,4.043925532837799
661,4.333776498325327
662,3.9827149768369545
663,4.32094220085884
664,3.8069581611159644
665,4.101382052714752
666,4.01814112480014
667,4.44535995617692
668,4.184419654231507
669,4.06100661749862
670,3.8291927159552452
671,4.119578095167927
672,4.026065338485601
673,4.226981352201148
674,4.202606194931569
675,4.015376480971814
676,3.9273541708264177
677,4.012335831648395
678,3.9508635525300013
679,4.121215428921026
680,4.086019512237051
681,4.110448364430384
682,3.9311518337695026
683,4.235445981901769
684,4.1988322583380455
685,4.320941994230909
686,3.8637516532604845
687,4.059686228641071
688,4.161526702786717
689,4.352018975046321
690,3.759942647173581
691,4.2661943626140175
692,4.010251666954713
693,4.159871465635806
694,3.6826089984371557
695,4.175902501732934
696,3.9545172949902616
697,4.242588155672486
698,4.125226086627917
699,4.208612586710603
700,4.265635339723306
701,4.164925877920705
702,3.6998222815811608
703,4.242668217027348
704,3.678414278265492
705,4.223798696785374
706,3.804764226306502
707,4.289153821709948
708,3.9236099697931412
709,4.269064472035241
710,4.034171841051171
711,4.036582667623274
712,4.10672647591446
713,4.116489515606828
714,4.127051873709677
715,4.191517202353105
716,3.978632660660042
717,4.157810549766367
718,3.940509169672912
719,3.9725757183408903
720,4.078935834547354
721,4.329365569529056
