,seed_28,seed_170,seed_225,seed_188,seed_18,seed_38,seed_48,seed_58
0,5.289853922187808,5.289853922187808,5.289853922187808,5.289853922187808,5.289853922187808,5.289853922187808,5.289853922187808,5.289853922187808
1,6.052137963495078,6.052137963495078,6.052137963495078,6.052137963495078,6.052137963495078,6.052137963495078,6.052137963495078,6.052137963495078
2,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
3,7.040845617809139,7.040845617809139,7.040845617809139,7.040845617809139,7.040845617809139,7.040845617809139,7.040845617809139,7.040845617809139
4,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
5,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
6,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
7,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
8,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
9,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207,5.155101606175207
10,5.10706905348129,5.10706905348129,5.10706905348129,5.10706905348129,5.10706905348129,5.10706905348129,5.10706905348129,5.10706905348129
11,5.10658779651562,5.10658779651562,5.10658779651562,5.10658779651562,5.10658779651562,5.10658779651562,5.10658779651562,5.10658779651562
12,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764
13,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764
14,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764
15,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764,5.068672159404764
16,6.052427432065047,6.052427432065047,6.052427432065047,6.052427432065047,6.052427432065047,6.052427432065047,6.052427432065047,6.052427432065047
17,5.717484293024026,5.717484293024026,5.717484293024026,5.717484293024026,5.717484293024026,5.717484293024026,5.717484293024026,5.717484293024026
18,5.9419297005819685,5.9419297005819685,5.9419297005819685,5.9419297005819685,,5.9419297005819685,5.9419297005819685,5.9419297005819685
19,4.420553929217396,4.420553929217396,4.420553929217396,4.420553929217396,,4.420553929217396,4.420553929217396,4.420553929217396
20,3.9933259187247456,3.9933259187247456,3.9933259187247456,3.9933259187247456,,3.9933259187247456,3.9933259187247456,3.9933259187247456
21,3.3089472675666713,3.3089472675666713,3.3089472675666713,3.3089472675666713,,3.3089472675666713,3.3089472675666713,3.3089472675666713
22,3.278132004921563,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
23,3.278132004921563,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
24,3.9403867087505238,3.9403867087505238,3.9403867087505238,3.9403867087505238,,3.9403867087505238,3.9403867087505238,3.9403867087505238
25,3.278132004921563,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
26,3.95487992214053,3.95487992214053,3.95487992214053,3.95487992214053,,3.95487992214053,3.95487992214053,3.95487992214053
27,3.278132004921563,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
28,,3.3303938429399986,3.3303938429399986,3.3303938429399986,,3.3303938429399986,3.3303938429399986,3.3303938429399986
29,,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
30,,3.3337546477791142,3.3337546477791142,3.3337546477791142,,3.3337546477791142,3.3337546477791142,3.3337546477791142
31,,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
32,,3.32250393481489,3.32250393481489,3.32250393481489,,3.32250393481489,3.32250393481489,3.32250393481489
33,,3.322399890989868,3.322399890989868,3.322399890989868,,3.322399890989868,3.322399890989868,3.322399890989868
34,,3.3580240764128857,3.3580240764128857,3.3580240764128857,,3.3580240764128857,3.3580240764128857,3.3580240764128857
35,,3.278132004921563,3.278132004921563,3.278132004921563,,3.278132004921563,3.278132004921563,3.278132004921563
