,ev_op_Hp15,ev_op_Hp20,ev_op_Hp25,ev_op_Hp30,ev_op_H40,ev_op_Hp15_2f,ev_op_Hp20_2f,ev_op_Hp25_2f,ev_op_Hp30_2f,ev_op_Hp40_2f
0,14.35132362960272,15.22001409112301,14.217482870576077,17.30398733643978,15.107493941085327,14.897245109086425,7.40186694254423,17.516395685506826,16.71619527317998,14.90598810674215
1,15.395684738866397,15.076813851296158,16.769458109352104,17.366063377659316,13.93922026835404,12.621363601201507,11.02706545037442,16.46326538147752,15.03825172642737,15.268256185524582
2,14.41660137175989,14.49576678901799,14.412658279120432,17.109746473736244,15.548745977147828,12.889331173867713,9.828835852594612,15.69660637117011,15.095224473977899,15.422291398899443
3,14.963018395130684,15.846868994775749,16.21297191618025,18.985073479587445,14.812260971490154,14.19919489042829,8.023733282067784,15.980062030787849,17.595716619126886,15.299555749402032
4,14.564744084215503,15.152887682120225,13.934306527588001,16.583243837741744,13.673792131273686,14.637695128745483,9.686681397063037,17.020155649063344,17.49757531812787,15.520029203008969
5,14.309174622545099,15.280013080742389,15.8520439910346,16.38025077523405,14.535094982387132,13.04967917186893,10.573399283642896,14.178307449158165,14.631489985225132,15.086885202186231
6,15.37352821131502,17.036562751203952,17.2436124129891,17.20021722263766,14.524716523739086,15.195233190828192,12.748838548564045,15.53849908464092,18.176421484057,15.520752064079344
7,14.204901538423297,12.55137186538,13.102918379489664,17.913677038416118,16.40436304436079,13.399864280709027,9.070456463023897,18.34041253478032,17.755329374021574,15.21699897595911
8,14.08561288623603,17.348825391246827,13.564971009985344,17.61738073785582,14.57075723957054,13.808329546918179,11.717829686529322,14.134922019064376,15.502201571308653,15.840207217320332
9,15.14328996235578,13.88016340746514,16.956327861034353,16.76005238938001,16.14294166224317,12.1443442994886,10.689948118382304,15.899633857149066,15.498541925526048,14.905496001204428
10,15.191502462293235,15.527433555793891,16.6164584750398,18.419006709645,13.67540343454287,14.64819889746651,11.452312769741006,15.302886629645027,15.241427234413758,15.057490658201818
11,14.191005381180283,14.173296804561184,14.197958534521415,16.918810266528034,15.345188757994523,11.798053714797064,10.404118944691652,16.151236510291003,15.6764507922864,15.51482286091581
12,13.248025481273727,14.637040373587896,16.67831666401178,18.328213912125886,15.791680866471859,13.854890855044912,12.264960245255521,14.757006432968424,16.115021893611488,15.340913778812844
13,16.49891141836862,15.07074000604678,13.855690809483267,16.388648297793058,14.877734882488935,11.676658829303403,9.783643861020277,18.498638796022338,17.24627480507049,15.101514456178005
14,14.903190467457708,15.544759291996892,16.98543810230742,18.46104788567162,15.003682679675103,13.088799141995661,12.485183864084048,15.63234104483797,14.609757950664799,15.47406227017604
15,14.362397265480144,14.122908857242269,14.61340932160548,17.08855216800601,13.356987812088986,14.596323035003573,8.74798580094538,15.865778183771472,17.05078105229777,15.263042383476632
16,13.624453821521916,15.360741655857074,14.584904398009071,17.5510550583341,13.483640654552923,14.23917078922859,10.256360637976158,15.39546233557939,16.936811088529105,15.749447799552811
17,14.881365169887312,14.49651414110191,17.263198425274453,16.63655136187498,15.804828303945564,14.010922027422593,11.801856397822121,17.186838019532264,15.829494189963121,15.713594934865002
18,15.233409931069533,14.27143357560089,16.65143999493955,18.281087584760883,16.96504361798633,11.201947710037961,11.404572626066589,13.696774450307265,15.611215296196027,15.966852324619277
