,ev_op_Hp15,ev_op_Hp20,ev_op_Hp25,ev_op_Hp30,ev_op_H40,ev_op_Hp15_2f,ev_op_Hp20_2f,ev_op_Hp25_2f,ev_op_Hp30_2f,ev_op_Hp40_2f
0,22.389449989841598,20.42760514421842,18.267431822817386,21.87180587129515,19.47359680052776,15.992837620657424,17.737562897308486,20.47978560640563,17.662801459786337,18.125386844384316
1,25.764046253692246,20.076607862430006,14.669591208515023,22.024147979419773,20.481054386064827,17.897250422494267,20.983644854308846,19.848603354523362,21.769346579760196,18.892409393477262
2,24.046416366547387,19.779437082853335,16.59313019367104,23.345907267079333,18.518494398257022,17.482262676084275,15.642100324663321,17.205582363419754,19.249630152020075,18.409848158559626
3,23.31183282544157,19.21137803723701,17.705765826276576,21.11223016225573,21.33054992275848,15.42417317744644,19.304229188473716,17.62299008048992,20.090313904781127,18.241627558370556
4,26.780159567839007,24.113631110747964,14.74691602595361,20.08477348535286,19.87227924844991,15.302920425076975,20.733302582557243,18.59184379368589,19.761681813600987,19.76401596515327
5,19.533949512076187,17.372830070043975,18.205484907073025,22.70652764167167,21.309708279762344,17.34725478897985,17.298682781625324,18.318747529570633,21.529820745360674,16.975394235533535
6,25.659709722982058,21.663873112641223,18.76548328788064,22.508896596762646,21.00378433681654,15.841071651714284,23.661398027936418,20.069478975790176,19.325263143931117,22.729013187415486
7,22.45900906038269,18.604940880515898,15.472015897448225,21.579360061034706,20.23010901523555,14.10311208392497,14.894369463784313,18.72860593753048,22.523912527591047,19.20914423827474
8,23.142480043166522,18.81717341770997,19.2462921803981,19.433701714943954,19.45397436739664,12.538229208700056,19.132215598426846,19.99602184983082,19.435417169835482,18.53953574915736
9,23.528549452992443,22.074569831837508,14.002422962821274,23.83672763957777,21.283822822893583,19.535435705222163,19.531685755515884,18.026203208474147,17.955095539740523,18.726766554453715
10,25.70143047164483,18.138624685902478,18.073652227380922,19.650965481703732,19.5899346684322,14.433530394055804,19.15576409170026,20.21697229431849,20.629410219425704,17.716847192003804
11,22.060201353374918,22.95121260803555,16.72424222254614,24.010449543937234,18.893766702974474,17.093017919024692,21.541452744970023,20.02181440116554,22.121552096540903,18.528566872489275
