,ev_op_Hp15_2f_s170,ev_op_Hp15_2f_s225,ev_op_Hp15_2f_s128,ev_op_Hp15_2f_s88,ev_op_Hp15_2f_s28,ev_op_Hp15_2f_s11,ev_op_Hp15_2f_s34
0,21.6478596535128,22.852050739676965,27.395033875007726,15.955873013207572,24.275766676595858,23.711095765170967,31.712116885013085
1,17.916545232985747,21.55071449952406,26.227214996750973,18.396378691411545,32.409554644186656,18.455880569046787,34.58780118242185
2,24.038477647309566,24.65121060312052,28.280508793649688,13.23319918221739,24.16958143713217,20.99737084207827,38.92621659062284
3,24.24909260148225,16.97243689381538,22.705569503697912,19.92397152975189,30.317770054813955,19.930495517287575,27.872927195380548
4,24.941940943074254,25.233513576434003,20.92666224009845,15.44746305991099,24.687687130888502,20.500317873912845,23.98514656748613
5,20.179144548645443,18.37698913737215,32.66970987350936,16.50741978190131,31.28626988836043,17.249120683534315,38.93150274183961
6,18.91832562940274,26.9322403761065,26.898665244898098,15.808599587945753,31.281008002282945,22.769501950612757,40.191860636556946
7,24.970237601383502,16.73928050105473,26.83295641510873,18.87747060824562,24.452106432061147,15.732761077919323,26.44091126546093
8,22.972151451333552,25.550568185334058,32.858695703568394,16.765115515041245,21.939283101666465,22.01003272969609,39.1651060347261
9,27.119338587546412,22.405335785373158,16.992769548447114,17.678404784062252,29.60539081170855,17.636492676205364,27.36042125206425
10,21.019968323687735,21.578169500765757,26.580610799342807,13.302062961168131,29.895135255242028,22.70956923288739,26.250238996284303
11,25.366938282618477,25.0625619855109,23.74837471018171,16.201813528422687,26.355089586828914,15.980477663418698,34.09300254651807
12,25.005410155996906,22.529275895202765,25.373072186266253,15.95585211928534,33.33200699053651,15.155172959480046,34.66132026482532
13,20.78527907667269,22.1831072979864,27.842480739972327,15.350810902930792,24.750798999291682,24.37866080525394,29.205293446672826
14,23.377577764780757,19.879706186435733,23.441671308077535,16.048014735591657,27.84230472255875,24.607097415003036,32.220411118390714
15,22.172142358599473,22.99973069491899,26.790416841437096,15.439899105460976,30.105341370115692,14.98014641795834,31.785829935113824
16,20.228485564513683,23.38633376205474,29.761536256859305,17.893320960926655,26.656532975003074,20.781806449038605,33.82259134271007
17,31.9080653863797,21.94824522474099,20.820513616849396,16.101251188805715,30.961613732209422,17.575967193900212,29.55861230707143
18,24.77637159536752,23.553864011007256,25.65142701609869,17.975494734839284,30.370645435646495,16.643310788806296,25.4935798935167
19,22.513119623637422,25.880788847363732,26.467986078737464,17.325587723730333,24.375525070505677,18.853047580462892,35.48192245972297
20,23.73226886000287,19.5688198433797,25.78187811054505,13.770770730751686,29.51790791812817,20.589276096656885,26.540545974116583
21,19.501611333354212,22.922966894060817,24.41414893167194,18.682860183619685,30.961351115031363,19.085356278073156,37.209766476910374
22,23.408088886368393,16.80382343552152,35.17747584513591,15.422725300265787,26.709262519221678,22.761487817572473,32.66821615212986
23,24.609557826165148,23.76798612886881,17.73602085121126,17.187381838294783,31.201733129675837,18.723334269796414,33.14584274199785
24,28.127683401504385,19.97441211256644,28.973729085148452,18.60626189245148,27.906156844077127,23.022889126795388,31.358436091182277
25,19.298286479549695,19.14512391816517,21.64774994355724,13.990194691438429,30.73094617206985,18.939280457364685,30.059639072758532
26,25.50992013256334,17.5791469210849,26.546006966647614,16.53856672388737,29.791729761111704,17.488097681553135,36.56297213189127
27,19.854210298742267,24.997865414151416,25.657947497826637,16.390033414443284,27.628950197083437,20.928052355151312,31.343684189232814
28,22.739437157048005,22.462681649120317,26.83194697210029,19.864432478956296,28.059608946252467,20.809742920471795,30.948830524775964
29,25.84899050287569,21.39106427491169,23.929364817393065,14.650439300541711,32.827845461425504,15.950893574913817,35.615136121341216
30,27.633692804218096,19.73037994410053,28.371636522099035,16.574484423090986,29.427834045239024,25.020794479388496,28.681256853556782
31,22.90758198607343,22.406311103773312,21.573599129496294,17.122170605182454,29.2626312875141,14.318915065408943,35.69870986095022
32,21.85713498506477,23.050409170459247,24.174318353109594,13.419418495098911,27.80475891486195,20.806962232668486,34.31057372208377
33,23.160947727067352,20.942519935258407,27.186204787115887,20.257020279739546,30.24868431389047,19.249513966488127,27.98701421295733
34,24.510510594925005,25.417449148564817,24.0316477722375,20.13748296556228,26.542831051814076,26.786490250172843,32.84423611734128
35,20.200019575153824,18.020166400168243,30.528705794330612,13.719502900526821,28.726458903466472,13.634958511743152,31.678816738119032
36,20.904924990153926,22.961955372892533,22.343879214645717,17.216523697189036,26.815955640968998,14.865032104018129,34.82001542555659
37,22.960732612394747,22.907783925619874,31.55569243173778,16.928908587177883,29.471116649406504,22.131046255719507,30.617171600484117
38,21.348777790873523,19.497983506951133,25.13494415891437,16.712605500025912,27.053063543044036,23.473231272983092,37.8558039614384
39,23.848290764522538,21.338932337056438,23.869095303118485,14.022549188185579,27.744257768814357,17.10697590463479,27.71440028973801
40,22.96905202455351,23.66372534609903,28.193101843889885,20.842338906856934,31.99541757953458,16.389032530214674,36.57892744546645
41,22.996749336217075,21.558389747751672,26.104522436296666,13.836893877039683,28.65993285974997,18.753946639887022,29.101397370058116
42,24.748449530071735,25.175489288245878,28.45896857295204,14.6258721992151,29.966825582727935,22.995512902184775,38.12147470645047
43,19.672843938498495,20.16240019672564,25.07380425382317,19.14441688579272,32.00882816208934,17.58640691189863,28.265422300597727
44,22.775613221601194,19.79881671933383,24.88176566819429,18.60741290961152,28.396158958546337,18.075196942467702,36.38687486321961
45,23.048855563707654,20.91362078651916,20.015387196045264,16.319626800324063,30.311456412855605,23.402193332130647,32.04696190386362
46,23.032811591488677,21.72438390805268,26.218833367703688,15.544855061060309,26.87358510717749,24.657464194906762,38.03114665739909
47,23.268463959688034,25.084634919842635,25.932803659142206,17.758234917734903,29.96028490483373,13.443464029729624,30.866273041125634
48,27.537426058184934,22.37047286067287,27.694793424475115,17.308482894099445,25.88051577450537,24.165839947018853,32.392054435001555
49,18.006484407144974,23.432004624004463,24.199768447931362,17.030810608765567,30.871252622090953,14.4515223761598,34.93370802201272
50,24.434200064780107,22.49956501934932,27.606775008414623,17.62257380390522,29.424925481441182,17.33194737884201,24.95883135193557
51,20.290533669168166,18.91894454881441,25.240939047123913,18.49272857408428,23.831955106760656,23.29765194462859,41.35548943095148
52,24.71046611788696,23.50045067080936,33.547739941338484,15.321252659823703,32.60399201414152,27.84997999609908,28.640388274255876
53,19.144732294627826,24.20396799970366,21.01461404825497,21.13298090782359,24.736195621327084,29.489888027963072,26.403220105897255
54,28.662621924622645,29.24542831364237,21.875599412854843,19.6352134782638,35.52584529955566,23.11117462988265,24.404963867071096
55,23.63354787581809,23.382622042821946,27.61796157586966,23.305269615025964,37.67556258918719,33.2459459007927,27.358166596177654
56,30.090038100748732,18.86351456322308,25.912680994793387,23.171304138880206,31.394832151864417,26.9781644389095,28.01551528255237
57,29.60790226813332,28.600051682354405,17.50555755253469,25.541352136142745,36.31146209987202,24.099321015840044,21.167389434757798
58,28.86651081468948,31.285325668453076,18.88482792992683,21.819928176366822,27.636531008941702,20.701286704404964,24.178231985703597
59,27.701492503679283,33.6340360376978,24.624220571276684,22.892887629612854,23.450957647138193,29.088468840476192,15.158098353041911
60,29.63008462310709,35.46957013216467,13.952394873065744,23.28528265035491,19.443047332054483,25.610786810686527,17.958457893112097
61,31.299410893147545,29.936160836770615,20.171485810836042,21.180858184195404,18.153452636559486,17.051451435825673,16.860719987950983
62,38.61701607327991,25.719216241655545,15.58706706233843,19.23904023074679,21.522428277185735,17.678721267661704,15.122240033931702
63,25.07120380265107,30.79493481546782,13.04021585970381,23.520720614359206,17.744040201656595,19.273964998974037,17.95961136431517
64,30.19806606733569,22.885546243880636,16.59471113326677,18.171602323601206,20.516388963189822,19.749732826393714,15.588264241075088
65,29.95512263068421,26.120747980703257,12.3910576280179,17.65130953190493,17.196645074945973,19.592453202951866,16.88109786834767
66,37.98508456045259,25.13751868466371,11.35374942681012,14.651991482918026,21.3466702365318,19.15293093094348,13.650285940701465
67,28.697602496945137,21.628119569290995,14.605867934400896,21.95544313039816,16.73686109581018,16.760404709702303,18.701508502433576
68,32.242666204226374,22.36831544183134,13.891074873016956,25.52060563063564,18.05522202549098,20.528908025926754,14.809896848997816
69,30.456383249384366,20.30909742415607,13.814961189614289,15.783031196922122,15.964278872113935,13.352514601730912,14.097657903589777
70,32.518886026260354,22.974397089284736,13.809657483066585,24.566850649525986,17.861188686808493,16.390289862804654,13.504976326668857
71,27.221843241473973,21.241932860617727,12.80899823977571,17.7039036069583,17.139816169357452,12.381308611057953,16.33968997745879
