,op_index,ops_names,op_vals
0,8,IIIIZZIIIIII,-0.75
1,15,IIIIIIZZIIII,-0.75
2,37,IIIIIIIIIIZZ,-0.75
3,2,ZZIIIIIIIIII,-0.75
4,26,IIIIIIIIZZII,-0.75
5,108,IXIXIIIXIXII,-0.8705
6,382,IXIIIXIXIIIX,-0.8705
7,510,IIIXIXIIIXIX,-0.8705
8,42,XIIIIIIIIIII,1.4489
9,52,IIXIIIIIIIII,1.4489
10,62,IIIIXIIIIIII,1.4489
11,72,IIIIIIXIIIII,1.4489
12,90,IIIIIIIIXIII,1.4489
13,364,IIIIIIIIIIXI,1.4489
14,20,IIIIIIIIZIII,-1.75
15,9,IIIIIIZIIIII,-1.75
16,6,IIIIZIIIIIII,-1.75
17,3,IIZIIIIIIIII,-1.75
18,31,IIIIIIIIIIZI,-1.75
19,0,ZIIIIIIIIIII,-1.75
