,op_index,ops_names,op_vals
0,510,IIIXIXIIIXIX,-0.4353
1,382,IXIIIXIXIIIX,-0.4353
2,36,IIIIIIIIIIIZ,-0.5
3,1,IZIIIIIIIIII,-0.5
4,25,IIIIIIIIIZII,-0.5
5,14,IIIIIIIZIIII,-0.5
6,7,IIIIIZIIIIII,-0.5
7,4,IIIZIIIIIIII,-0.5
8,42,XIIIIIIIIIII,0.7244
9,62,IIIIXIIIIIII,0.7244
10,52,IIXIIIIIIIII,0.7244
11,72,IIIIIIXIIIII,0.7244
12,90,IIIIIIIIXIII,0.7244
13,364,IIIIIIIIIIXI,0.7244
14,3,IIZIIIIIIIII,-1.375
15,9,IIIIIIZIIIII,-1.375
16,20,IIIIIIIIZIII,-1.375
17,31,IIIIIIIIIIZI,-1.375
18,6,IIIIZIIIIIII,-1.375
19,0,ZIIIIIIIIIII,-1.375
