,op_index,ops_names,op_vals
0,544,IIIXYYIIIXIX,-0.0901
1,574,IIIXIXIIXXIX,-0.0901
2,578,IIIXIXIIYYIX,-0.0901
3,638,IXIIIXIXIIXX,-0.0901
4,646,IXIIIXIXIIYY,-0.0901
5,416,IXIIYYIXIIIX,-0.0901
6,124,XXIXIIIXIXII,-0.0901
7,82,IIXIIIXIIIII,0.0933
8,86,IIIIXIXIIIII,0.0933
9,100,XIIIIIIIXIII,0.0933
10,104,IIIIXIIIXIII,0.0933
11,374,XIIIIIIIIIXI,0.0933
12,378,IIXIIIIIIIXI,0.0933
13,26,IIIIIIIIZZII,-0.15
14,15,IIIIIIZZIIII,-0.15
15,5,IIZZIIIIIIII,-0.15
16,2,ZZIIIIIIIIII,-0.15
17,8,IIIIZZIIIIII,-0.15
18,37,IIIIIIIIIIZZ,-0.15
19,108,IXIXIIIXIXII,-0.1741
20,510,IIIXIXIIIXIX,-0.1741
21,382,IXIIIXIXIIIX,-0.1741
22,72,IIIIIIXIIIII,0.2898
23,90,IIIIIIIIXIII,0.2898
24,364,IIIIIIIIIIXI,0.2898
25,42,XIIIIIIIIIII,0.2898
26,62,IIIIXIIIIIII,0.2898
27,52,IIXIIIIIIIII,0.2898
28,36,IIIIIIIIIIIZ,-0.5
29,1,IZIIIIIIIIII,-0.5
30,25,IIIIIIIIIZII,-0.5
31,14,IIIIIIIZIIII,-0.5
32,7,IIIIIZIIIIII,-0.5
33,4,IIIZIIIIIIII,-0.5
34,3,IIZIIIIIIIII,-1.15
35,0,ZIIIIIIIIIII,-1.15
36,6,IIIIZIIIIIII,-1.15
37,20,IIIIIIIIZIII,-1.15
38,31,IIIIIIIIIIZI,-1.15
39,9,IIIIIIZIIIII,-1.15
