,op_index,ops_names,op_vals
0,578,IIIXIXIIYYIX,-0.4506
1,574,IIIXIXIIXXIX,-0.4506
2,544,IIIXYYIIIXIX,-0.4506
3,542,IIIXXXIIIXIX,-0.4506
4,527,IIYYIXIIIXIX,-0.4506
5,638,IXIIIXIXIIXX,-0.4506
6,526,IIXXIXIIIXIX,-0.4506
7,82,IIXIIIXIIIII,0.4665
8,100,XIIIIIIIXIII,0.4665
9,104,IIIIXIIIXIII,0.4665
10,86,IIIIXIXIIIII,0.4665
11,378,IIXIIIIIIIXI,0.4665
12,374,XIIIIIIIIIXI,0.4665
13,1,IZIIIIIIIIII,-0.5
14,25,IIIIIIIIIZII,-0.5
15,4,IIIZIIIIIIII,-0.5
16,7,IIIIIZIIIIII,-0.5
17,14,IIIIIIIZIIII,-0.5
18,36,IIIIIIIIIIIZ,-0.5
19,5,IIZZIIIIIIII,-0.75
20,8,IIIIZZIIIIII,-0.75
21,15,IIIIIIZZIIII,-0.75
22,37,IIIIIIIIIIZZ,-0.75
23,2,ZZIIIIIIIIII,-0.75
24,26,IIIIIIIIZZII,-0.75
25,108,IXIXIIIXIXII,-0.8705
26,382,IXIIIXIXIIIX,-0.8705
27,510,IIIXIXIIIXIX,-0.8705
28,42,XIIIIIIIIIII,1.4489
29,52,IIXIIIIIIIII,1.4489
30,62,IIIIXIIIIIII,1.4489
31,72,IIIIIIXIIIII,1.4489
32,90,IIIIIIIIXIII,1.4489
33,364,IIIIIIIIIIXI,1.4489
34,20,IIIIIIIIZIII,-1.75
35,9,IIIIIIZIIIII,-1.75
36,6,IIIIZIIIIIII,-1.75
37,3,IIZIIIIIIIII,-1.75
38,31,IIIIIIIIIIZI,-1.75
39,0,ZIIIIIIIIIII,-1.75
