,op_index,ops_names,op_vals
0,544,IIIXYYIIIXIX,-0.2253
1,574,IIIXIXIIXXIX,-0.2253
2,578,IIIXIXIIYYIX,-0.2253
3,638,IXIIIXIXIIXX,-0.2253
4,646,IXIIIXIXIIYY,-0.2253
5,416,IXIIYYIXIIIX,-0.2253
6,124,XXIXIIIXIXII,-0.2253
7,82,IIXIIIXIIIII,0.2333
8,86,IIIIXIXIIIII,0.2333
9,100,XIIIIIIIXIII,0.2333
10,104,IIIIXIIIXIII,0.2333
11,374,XIIIIIIIIIXI,0.2333
12,378,IIXIIIIIIIXI,0.2333
13,26,IIIIIIIIZZII,-0.375
14,15,IIIIIIZZIIII,-0.375
15,5,IIZZIIIIIIII,-0.375
16,2,ZZIIIIIIIIII,-0.375
17,8,IIIIZZIIIIII,-0.375
18,37,IIIIIIIIIIZZ,-0.375
19,108,IXIXIIIXIXII,-0.4353
20,510,IIIXIXIIIXIX,-0.4353
21,382,IXIIIXIXIIIX,-0.4353
22,36,IIIIIIIIIIIZ,-0.5
23,1,IZIIIIIIIIII,-0.5
24,25,IIIIIIIIIZII,-0.5
25,14,IIIIIIIZIIII,-0.5
26,7,IIIIIZIIIIII,-0.5
27,4,IIIZIIIIIIII,-0.5
28,42,XIIIIIIIIIII,0.7244
29,62,IIIIXIIIIIII,0.7244
30,52,IIXIIIIIIIII,0.7244
31,72,IIIIIIXIIIII,0.7244
32,90,IIIIIIIIXIII,0.7244
33,364,IIIIIIIIIIXI,0.7244
34,3,IIZIIIIIIIII,-1.375
35,9,IIIIIIZIIIII,-1.375
36,20,IIIIIIIIZIII,-1.375
37,31,IIIIIIIIIIZI,-1.375
38,6,IIIIZIIIIIII,-1.375
39,0,ZIIIIIIIIIII,-1.375
