,op_index,ops_names,op_vals
0,5,IIZZIIIIIIII,-1.5
1,8,IIIIZZIIIIII,-1.5
2,37,IIIIIIIIIIZZ,-1.5
3,26,IIIIIIIIZZII,-1.5
4,15,IIIIIIZZIIII,-1.5
5,108,IXIXIIIXIXII,-1.741
6,382,IXIIIXIXIIIX,-1.741
7,510,IIIXIXIIIXIX,-1.741
8,3,IIZIIIIIIIII,-2.5
9,6,IIIIZIIIIIII,-2.5
10,9,IIIIIIZIIIII,-2.5
11,31,IIIIIIIIIIZI,-2.5
12,20,IIIIIIIIZIII,-2.5
13,0,ZIIIIIIIIIII,-2.5
14,42,XIIIIIIIIIII,2.8978
15,52,IIXIIIIIIIII,2.8978
16,62,IIIIXIIIIIII,2.8978
17,364,IIIIIIIIIIXI,2.8978
18,72,IIIIIIXIIIII,2.8978
19,90,IIIIIIIIXIII,2.8978
