,ev_op_Hp15,ev_op_Hp20,ev_op_Hp25,ev_op_Hp30,ev_op_Hp15_2f,ev_op_Hp20_2f,ev_op_Hp25_2f,ev_op_Hp30_2f
0,26.983647759809813,33.32210155033796,27.42139519166882,25.54072373423884,23.17814716913361,22.82040623857561,24.9297972729992,27.153817133822866
1,18.06597957074374,31.34484191639181,27.9521848709534,27.26781386141566,31.42537450274491,20.37186907720955,24.781205307995783,21.7667885346709
2,22.328176950825515,32.45060657211442,24.621004703231694,29.13950750501112,28.574491087329164,20.357543987924377,25.394588506561703,26.22510872678153
3,24.573404336724305,29.451048015708228,33.696793749586526,26.715415829085583,28.97706832732425,23.140500015885397,28.268861313565985,25.23132519412641
4,25.010698391350115,29.86847767432968,24.37572524945313,27.11743176242934,27.611132352423265,23.00327936118499,24.01093689799207,26.487231973774907
5,21.20354649381094,33.27119366875068,28.389479817303155,27.944115586123367,25.900913713662764,25.316610538766756,31.368537547059525,24.521001466520524
6,18.929044598409824,31.448095808367583,29.535595892160988,29.270077072516013,30.22776554884513,24.43793697279972,27.771504047850605,22.60325084565312
7,26.26220881794628,33.105805443067446,25.1182759375874,26.877141404088164,29.13791499516473,19.937640985332585,23.86860945274644,25.0808157830294
8,21.260184227247148,33.8179758505292,26.929277969047533,27.55660791939738,30.225344178320416,25.848816696665505,24.1118710756422,23.96568475400423
9,24.352495635780247,32.14230833699793,26.119849306660537,25.61906777964901,24.084351316166497,23.19871707681476,28.594214081533035,26.681571722781484
10,19.81699439605299,32.147459732587286,25.241130743316265,22.522003276990283,29.48244767433057,23.213582973321746,24.611071590265084,26.432914132857515
11,26.03761016659883,31.77616515109881,29.58054195605361,28.717569474863776,26.11619247208675,26.494349634908005,26.97587464765718,23.55336770198216
12,29.404426681943644,32.355286363967096,29.24788070671847,26.003643506344243,21.636463698206,28.04710840695924,22.893080910120183,24.898321596501702
13,16.880368859359393,29.855204864287224,24.5428690276462,27.95912521801547,33.36925641739578,20.30905349765121,25.638665480763848,24.522896610949328
14,28.238525022946455,33.20771316478921,30.260683986553573,24.29076881329875,30.80709994525029,21.560950895400943,24.1296273274485,25.353959219524576
15,18.369029670816023,31.71674858338408,23.59494056070236,31.38189060022479,27.554356901855225,24.191757063719923,28.593975887976143,23.80627135422087
16,26.24829840968049,31.79597544878682,24.29424805777453,27.04725033962252,29.377419530474867,23.17407717500245,27.83363759750272,27.44096630722843
17,21.05359813011288,32.82340442362039,31.84090397015697,27.69814585954481,27.25861380169857,23.153268213453792,25.940833509200505,24.976931881554325
18,20.720329509268023,31.018833485387795,28.20214893554409,30.29629629488492,25.93509135731062,23.625643725116426,27.11235990217334,23.373492739557097
19,25.76103340052474,31.78979802043725,26.454822731370385,25.70080380020387,32.078410312171826,19.403524584337013,27.71129702894379,28.458826016625835
20,29.18648921104856,30.00590523432419,27.46548153793831,25.14351797337697,33.25271924216023,16.936217443622702,22.64606306714551,24.947139195131303
21,16.935941878094393,34.61463236998771,24.85215247477202,29.339916051700467,24.735896171521773,21.36436562977104,22.41992802586757,25.40499347950228
22,21.69382420115625,31.62427376349821,29.86109529603655,27.71660041371868,25.78492680939462,18.579734104323425,23.01404223776967,25.57856517624561
23,25.607460218526096,31.08354619843227,27.87871161904192,26.287235446414847,24.659487077256063,24.777730098704936,24.32227534298462,24.419706628839936
24,24.09106195608485,30.823305488764262,27.6587352871938,26.984011993849236,27.160995521113197,21.63345055577144,22.662905812750218,22.76608450114106
25,22.066178202539767,32.753729889444045,28.70748401538352,26.26024743919603,29.53855078512525,23.82374129456509,24.6471214478418,21.908302278371917
26,20.47710819740788,31.06117821925538,26.11820710255656,27.308754932268503,28.143288835159364,21.45969775397135,24.01290045580197,25.14989803108228
27,27.227973204670597,34.486404613240225,26.83556815113221,27.08698497603225,30.046471872852983,25.502655442950683,26.72531019376682,26.615699757067105
