,ev_op_r,ev_op_r3,ev_op_H,ev_op_H_2f,ev_op_H_3f,ev_op_Hp,ev_op_Hp2,ev_op_Hp3,ev_op_Hp4
0,6.25439453125,5.48388671875,6.85400390625,5.45654296875,6.95751953125,7.3076171875,6.7138671875,6.71142578125,6.830078125
1,6.25439453125,5.48388671875,6.85400390625,5.45654296875,6.95751953125,7.3076171875,6.7138671875,6.71142578125,6.830078125
2,6.25439453125,5.48388671875,6.85400390625,5.45654296875,6.95751953125,7.3076171875,6.7138671875,6.71142578125,6.830078125
3,4.83642578125,3.47412109375,6.85400390625,5.45654296875,6.95751953125,7.255859375,7.1064453125,4.95703125,6.544921875
4,3.53564453125,4.9013671875,6.85400390625,5.45654296875,6.95751953125,7.2890625,7.05078125,6.33740234375,6.7197265625
5,6.00830078125,4.9013671875,6.599609375,6.23486328125,4.841796875,6.341796875,7.123046875,7.40625,5.1669921875
6,3.53564453125,5.302734375,6.41748046875,6.90087890625,5.56298828125,5.9765625,6.98876953125,6.12744140625,5.84326171875
7,6.01416015625,3.61376953125,7.271484375,6.12841796875,5.8447265625,7.3681640625,6.77490234375,6.21728515625,5.57470703125
8,3.53564453125,3.61376953125,5.6240234375,6.1005859375,4.91748046875,5.9765625,6.61328125,6.52685546875,6.60791015625
9,6.02001953125,5.70654296875,5.595703125,5.20361328125,6.67724609375,4.2509765625,6.85546875,5.42578125,6.732421875
10,4.73095703125,3.8466796875,6.908203125,5.76708984375,6.15576171875,5.8095703125,5.421875,4.8046875,6.783203125
11,3.37744140625,3.5283203125,5.595703125,6.2734375,6.4365234375,4.90869140625,7.228515625,6.26708984375,6.396484375
12,3.57666015625,3.47412109375,5.96533203125,4.8427734375,6.67724609375,4.72021484375,4.42333984375,4.771484375,6.20166015625
13,3.37744140625,3.630859375,5.595703125,5.716796875,6.15576171875,5.11669921875,4.12451171875,7.13525390625,4.17724609375
14,3.57666015625,3.685546875,6.55419921875,5.39111328125,6.0087890625,3.72607421875,4.18408203125,4.7890625,6.13671875
15,3.37744140625,3.65869140625,5.595703125,5.4306640625,5.37353515625,4.2822265625,4.02392578125,6.271484375,6.90478515625
16,3.57666015625,3.62255859375,4.08740234375,5.97802734375,6.43798828125,3.52587890625,4.01025390625,6.47900390625,5.9052734375
17,3.43896484375,3.60693359375,5.4892578125,6.55419921875,4.51220703125,3.63623046875,4.20703125,5.6796875,4.025390625
18,3.38037109375,3.52685546875,4.35107421875,5.04638671875,7.29736328125,3.62060546875,4.01025390625,4.771484375,6.58251953125
19,3.38330078125,3.4765625,4.048828125,5.7822265625,4.83984375,3.56982421875,5.474609375,5.359375,3.935546875
20,3.37744140625,3.52099609375,4.498046875,5.8388671875,7.24169921875,3.78076171875,4.01025390625,5.34765625,6.912109375
21,3.37451171875,3.42236328125,4.98486328125,4.8427734375,7.29736328125,3.537109375,5.078125,3.712890625,5.21630859375
22,3.38037109375,3.55810546875,3.796875,5.33056640625,4.83984375,3.3955078125,3.435546875,4.24560546875,3.935546875
23,3.37451171875,3.57373046875,3.77392578125,4.8427734375,7.0859375,3.3876953125,4.08154296875,4.00390625,5.12158203125
24,3.38037109375,3.42578125,4.10107421875,4.8359375,6.06591796875,3.38232421875,3.42578125,3.4775390625,3.935546875
25,3.37744140625,3.37451171875,3.8828125,4.8359375,6.78466796875,3.4052734375,3.65234375,3.83642578125,6.1826171875
26,3.37451171875,3.57080078125,4.14111328125,4.23486328125,7.2099609375,3.40966796875,3.42724609375,3.80419921875,4.0625
27,3.37451171875,3.39794921875,3.77392578125,4.23486328125,4.52392578125,3.38330078125,3.41064453125,3.72705078125,5.77294921875
28,3.37451171875,3.52392578125,4.42236328125,4.44189453125,6.24169921875,3.38232421875,3.38623046875,4.20361328125,4.91357421875
29,3.37451171875,3.4248046875,3.92431640625,4.18701171875,4.763671875,3.38232421875,3.6328125,3.71533203125,6.01025390625
30,3.37451171875,3.37890625,3.41845703125,4.4599609375,4.51220703125,3.3798828125,3.38671875,4.77734375,4.9375
31,3.37451171875,3.39892578125,3.40087890625,4.2080078125,6.0595703125,3.37548828125,3.86767578125,3.51904296875,3.7900390625
32,3.37451171875,3.3740234375,3.626953125,5.4951171875,4.51220703125,3.37548828125,3.38623046875,3.9853515625,4.42626953125
33,3.37451171875,3.3837890625,3.74169921875,4.32177734375,4.66064453125,3.37548828125,3.45556640625,3.47607421875,4.24072265625
34,3.37451171875,3.3828125,3.412109375,4.9501953125,4.51220703125,3.3759765625,3.66162109375,3.71533203125,4.232421875
35,3.37451171875,3.37890625,3.5869140625,4.8408203125,4.84765625,3.37548828125,3.37353515625,3.57470703125,3.921875
36,,3.38037109375,3.41064453125,3.59619140625,5.23828125,3.3759765625,3.38916015625,3.64892578125,4.98291015625
37,,3.3740234375,3.4560546875,3.65283203125,4.201171875,3.37548828125,3.49755859375,3.46142578125,3.744140625
38,,3.4033203125,3.41162109375,3.779296875,4.201171875,3.3798828125,3.3798828125,3.44970703125,4.181640625
39,,3.38037109375,3.38232421875,4.03076171875,5.35107421875,3.375,3.39794921875,3.65380859375,3.68017578125
40,,3.37451171875,3.408203125,4.77587890625,4.11279296875,3.375,3.37109375,3.50146484375,4.54345703125
41,,3.37158203125,3.55615234375,3.57763671875,4.26416015625,3.375,3.49072265625,3.70849609375,3.91015625
42,,3.37451171875,3.470703125,4.25,4.11279296875,3.375,3.3720703125,3.49658203125,4.7548828125
43,,3.373046875,3.474609375,3.5595703125,4.30810546875,3.37548828125,3.390625,3.5205078125,3.6767578125
44,,3.3740234375,3.38720703125,3.74365234375,4.14501953125,3.37451171875,3.3720703125,3.56103515625,3.65283203125
45,,3.37548828125,3.388671875,4.009765625,4.31884765625,3.375,3.36865234375,3.556640625,3.5615234375
46,,3.37451171875,3.37646484375,3.5595703125,4.11279296875,3.37451171875,3.3798828125,3.4267578125,4.30810546875
47,,3.3798828125,3.3876953125,3.6123046875,5.3486328125,3.37451171875,3.36865234375,3.57177734375,3.8486328125
48,,3.37451171875,3.423828125,3.6015625,4.212890625,3.375,3.38525390625,3.435546875,3.94775390625
49,,3.3740234375,3.38671875,3.88134765625,4.771484375,3.37451171875,3.37939453125,3.69580078125,3.6728515625
50,,3.37451171875,3.400390625,3.4921875,4.6083984375,3.37451171875,3.380859375,3.56103515625,3.7998046875
51,,3.37451171875,3.3828125,3.62451171875,4.37841796875,3.37451171875,3.3671875,3.421875,3.80810546875
52,,3.3740234375,3.38232421875,3.4921875,3.91845703125,3.37451171875,3.3720703125,3.4521484375,3.65771484375
53,,3.37451171875,3.373046875,3.6123046875,4.5244140625,3.37451171875,3.3671875,3.4287109375,3.68798828125
54,,3.37451171875,3.3818359375,3.51171875,4.42626953125,3.37451171875,3.3671875,3.46142578125,3.5615234375
55,,3.3740234375,3.37109375,3.46923828125,4.61181640625,3.37451171875,3.37255859375,3.443359375,3.7744140625
56,,3.37451171875,3.38916015625,3.57470703125,4.40869140625,3.37451171875,3.36572265625,3.4306640625,3.5615234375
57,,3.37451171875,3.373046875,3.68798828125,4.68115234375,3.37451171875,3.369140625,3.4404296875,3.76904296875
58,,3.37109375,3.38134765625,3.49462890625,3.88037109375,3.37451171875,3.3681640625,3.486328125,3.53125
59,,3.37109375,3.369140625,3.4013671875,4.2451171875,3.37451171875,3.36865234375,3.412109375,4.11962890625
60,,3.3740234375,3.36865234375,3.39599609375,3.994140625,3.37451171875,3.36962890625,3.41357421875,3.59423828125
61,,3.37109375,3.3671875,3.8798828125,4.18310546875,3.37451171875,3.36572265625,3.41748046875,3.64111328125
62,,3.37451171875,3.36767578125,3.39697265625,3.7783203125,3.37451171875,3.369140625,3.40625,3.6220703125
63,,3.37109375,3.37060546875,3.6318359375,4.39404296875,3.37451171875,3.3662109375,3.41015625,3.64208984375
64,,3.3740234375,3.369140625,3.4033203125,4.11083984375,3.37451171875,3.36767578125,3.41015625,3.5478515625
65,,3.37158203125,3.3681640625,3.56298828125,3.8251953125,,3.3662109375,3.44921875,3.654296875
66,,3.37158203125,3.369140625,3.419921875,3.7529296875,,3.365234375,3.419921875,3.51220703125
67,,3.37109375,3.36669921875,3.52587890625,3.7529296875,,3.36865234375,3.4091796875,3.67626953125
68,,3.37109375,3.373046875,3.41064453125,4.048828125,,3.365234375,3.427734375,3.47021484375
69,,3.37109375,3.36572265625,3.3955078125,3.7529296875,,3.369140625,3.3896484375,3.498046875
70,,3.37109375,3.37158203125,3.3896484375,3.7841796875,,3.365234375,3.3779296875,3.48046875
71,,3.37109375,3.37353515625,3.3896484375,3.91552734375,,3.3671875,3.38232421875,3.91162109375
72,,3.37109375,3.3720703125,3.42724609375,3.78466796875,,3.3662109375,3.3955078125,3.52099609375
73,,3.37109375,3.3681640625,3.3876953125,3.5546875,,3.365234375,3.37841796875,3.4873046875
74,,3.37109375,3.37060546875,3.392578125,3.53564453125,,3.365234375,3.37890625,3.486328125
