,ev_op_r,ev_op_r3,ev_op_H,ev_op_H_2f,ev_op_H_3f,ev_op_Hp,ev_op_Hp2,ev_op_Hp3,ev_op_Hp4
0,3.5207031250000003,5.772265625,6.2837890625,7.014453125,5.481640625000001,7.1498046875000005,7.1572265625,4.055859375000001,5.491015625
1,3.5207031250000003,5.772265625,6.2837890625,7.090625,5.481640625000001,6.7763671875,7.1572265625,5.0693359375,5.491015625
2,3.5207031250000003,5.772265625,6.2837890625,7.1039062500000005,5.481640625000001,7.1507812500000005,7.1572265625,4.2728515625000005,5.491015625
3,4.349804687500001,3.8251953125,6.2837890625,6.595898437500001,5.481640625000001,7.0423828125000005,6.8548828125000005,6.7621093750000005,5.0703125
4,5.993359375000001,4.51328125,6.2837890625,6.958203125000001,5.481640625000001,7.147656250000001,6.9857421875000005,6.0208984375000005,5.4197265625
5,4.874218750000001,4.51328125,7.1560546875,6.627148437500001,6.0794921875000005,6.8173828125,5.1666015625,4.4990234375,6.533203125
6,3.1779296875000003,4.2718750000000005,6.7435546875000005,6.7978515625,5.175000000000001,7.0023437500000005,5.9417968750000005,5.6791015625000005,6.8701171875
7,3.2335937500000003,3.87265625,6.9412109375,6.5726562500000005,4.3724609375000005,7.15,5.3345703125,5.640234375,6.8140625
8,3.1779296875000003,3.87265625,6.9177734375,6.4783203125,6.0849609375,7.147656250000001,5.832226562500001,5.140625,6.10625
9,3.2335937500000003,4.2734375,6.4392578125,7.1177734375,4.1177734375,6.8173828125,5.2486328125,5.6611328125,5.089062500000001
10,3.1779296875000003,4.835546875,5.319921875,6.962890625,5.800390625,7.15390625,6.8189453125,4.64921875,5.15625
11,3.2335937500000003,3.666796875,6.7689453125000005,7.0199218750000005,4.896679687500001,6.8267578125,5.845898437500001,6.5162109375,6.5341796875
12,3.1544921875000003,3.73359375,6.8677734375,6.6109375,6.1990234375,6.9810546875,4.87578125,4.5240234375,5.850781250000001
13,3.2335937500000003,3.666796875,3.939453125,7.045703125,5.800390625,7.151562500000001,3.6763671875,5.0564453125,5.2845703125000005
14,3.1779296875000003,3.748437500000001,3.876367187500001,6.267578125,5.9466796875000005,7.1527343750000005,3.816796875000001,3.9533203125,5.7953125000000005
15,3.1544921875000003,3.666796875,3.876367187500001,6.9912109375,6.3583984375,7.0208984375000005,3.6763671875,6.1005859375,5.1529296875
16,3.1486328125000003,3.6728515625,3.883984375,6.73046875,5.667187500000001,7.1474609375,3.959375000000001,5.1314453125,6.9599609375
17,3.1574218750000003,4.2583984375,3.876367187500001,5.9740234375000005,5.320507812500001,7.0201171875,3.796484375,6.773632812500001,7.05859375
18,3.1515625000000003,3.3343750000000005,5.065234375,6.9646484375,5.316015625,7.1484375,4.1658203125,5.729296875,6.5882812500000005
19,3.1486328125000003,3.38359375,3.876367187500001,6.4828125000000005,6.3490234375000005,7.0326171875000005,3.67109375,5.4105468750000005,5.011328125
20,3.1515625000000003,3.3591796875,3.4298828125000003,5.486523437500001,6.1416015625,7.0208984375000005,5.4525390625000005,4.1302734375000005,4.605078125
21,3.1515625000000003,4.639843750000001,4.894140625,6.91171875,5.316015625,7.1527343750000005,3.4099609375,5.7791015625,5.1333984375
22,3.1486328125000003,3.683007812500001,3.4298828125000003,6.5123046875,6.3490234375000005,6.6859375000000005,3.3812500000000005,5.3736328125,3.6099609375
23,3.1486328125000003,3.2025390625000005,3.7681640625,6.818359375,6.8314453125000005,7.1509765625,3.34453125,5.7568359375,4.4390625
24,3.1486328125000003,3.3773437500000005,4.26953125,7.0287109375000005,6.3773437500000005,7.0423828125000005,4.6908203125000005,4.901562500000001,3.6994140625
25,3.1486328125000003,3.1798828125000003,4.087109375000001,6.6197265625,5.6830078125000005,7.1507812500000005,3.5699218750000004,5.7679687500000005,3.6099609375
26,3.1486328125000003,3.2142578125000005,3.5093750000000004,6.541015625,5.050000000000001,6.841992187500001,3.4699218750000003,5.77109375,4.5703125
27,3.1486328125000003,3.2357421875000005,3.5384765625000005,5.968945312500001,4.119335937500001,7.151171875,3.4171875000000003,5.4380859375,3.6099609375
28,3.1486328125000003,3.2576171875,3.4119140625,6.81796875,6.333984375,6.9810546875,3.3457031250000004,5.9951171875,4.45859375
