,ev_op_r_COBYLA,ev_op_r3_COBYLA,ev_op_H_COBYLA,ev_op_H_2f_COBYLA,ev_op_H_3f_COBYLA,ev_op_Hp_COBYLA,ev_op_Hp2_COBYLA,ev_op_Hp3_COBYLA,ev_op_Hp4_COBYLA,ev_op_r_SPSA,ev_op_r3_SPSA,ev_op_H_SPSA,ev_op_H_2f_SPSA,ev_op_H_3f_SPSA,ev_op_Hp_SPSA,ev_op_Hp2_SPSA,ev_op_Hp3_SPSA,ev_op_Hp4_SPSA
0,6.0296875000000005,3.7335937500000003,6.4535156250000005,6.94609375,6.6689453125,7.0785156250000005,6.6072265625,4.764453125,6.023632812500001,5.7015625000000005,4.1626953125,6.3169921875,7.014453125,6.822265625,7.1498046875000005,6.35703125,4.055859375000001,5.944921875
1,6.0296875000000005,3.7335937500000003,6.4535156250000005,6.94609375,6.6689453125,7.0785156250000005,6.6072265625,4.764453125,6.023632812500001,6.150390625,3.8023437500000004,6.43828125,7.090625,6.2302734375,6.7763671875,6.887890625000001,5.0693359375,6.902539062500001
2,6.0296875000000005,3.7335937500000003,6.4535156250000005,6.94609375,6.6689453125,7.0785156250000005,6.6072265625,4.764453125,6.023632812500001,5.7289062500000005,4.4595703125,6.8441406250000005,7.1039062500000005,5.2712890625,7.1507812500000005,6.620312500000001,4.2728515625000005,6.1748046875
3,4.6117187500000005,6.0865234375,6.4535156250000005,6.94609375,6.6689453125,6.0824218750000005,6.5974609375,5.68828125,6.1376953125,6.148632812500001,3.9841796875,6.1791015625000005,6.595898437500001,5.931835937500001,7.0423828125000005,6.833984375,6.7621093750000005,5.6072265625
4,3.3109375000000005,4.4765625,6.4535156250000005,6.94609375,6.6689453125,6.163281250000001,6.978125,4.368359375000001,6.8873046875,5.699414062500001,3.1818359375000003,5.7947265625,6.958203125000001,4.1957031250000005,7.147656250000001,6.455273437500001,6.0208984375000005,6.126171875000001
5,5.7835937500000005,4.4765625,5.04375,5.964453125,4.5640625,5.1136718750000005,5.971875000000001,7.0048828125,6.1380859375000005,6.152539062500001,5.061718750000001,6.9537109375,6.627148437500001,6.031445312500001,6.8173828125,6.8603515625,4.4990234375,6.7015625000000005
6,3.3109375000000005,3.9556640625000004,5.41171875,6.1228515625,5.2744140625,5.57421875,5.716015625000001,5.9501953125,5.9646484375,6.152539062500001,4.5648437500000005,6.3486328125,6.7978515625,5.741015625,7.0023437500000005,6.134375,5.6791015625000005,4.892773437500001
7,5.7894531250000005,4.1501953125,6.8603515625,3.3666015625000005,5.5980468750000005,5.916015625,6.1501953125,5.0193359375,6.5257812500000005,5.699414062500001,3.1833984375,6.48125,6.5726562500000005,5.9314453125,7.15,6.880859375,5.640234375,7.1267578125
8,3.3109375000000005,4.1501953125,7.090039062500001,5.7328125000000005,4.7607421875,5.1136718750000005,6.3767578125,6.391796875000001,4.745312500000001,6.152539062500001,5.6722656250000005,6.909375000000001,6.4783203125,7.063671875000001,7.147656250000001,6.9599609375,5.140625,6.415625
9,5.7953125000000005,5.942578125000001,5.025390625,6.44609375,6.5146484375,6.081250000000001,5.728515625,6.5130859375000005,4.984375,5.699414062500001,3.3419921875000003,6.3541015625,7.1177734375,6.02890625,6.8173828125,6.495703125,5.6611328125,5.9927734375
10,4.5062500000000005,3.8005859375,4.8251953125,4.1890625,5.8865234375,5.0693359375,3.5558593750000003,4.843359375,6.03203125,6.150390625,3.4013671875000004,6.438671875000001,6.962890625,6.259765625,7.15390625,7.104296875,4.64921875,6.75859375
