,ev_op_r,ev_op_r3,ev_op_H,ev_op_H_2f,ev_op_H_3f,ev_op_Hp,ev_op_Hp2,ev_op_Hp3,ev_op_Hp4
0,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375
1,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375
2,7.3779296875,5.0888671875,8.00390625,8.5,8.400390625,8.55859375,8.380859375,6.51171875,7.818359375
3,5.9599609375,7.4453125,8.00390625,8.5,8.400390625,7.10546875,8.353515625,7.2421875,7.869140625
4,4.6591796875,5.84765625,8.00390625,8.5,8.400390625,7.9140625,8.6796875,6.06640625,8.685546875
5,7.1318359375,5.84765625,6.73828125,6.91015625,6.23046875,6.13671875,7.51171875,8.244140625,7.240234375
6,4.6591796875,5.3056640625,7.0078125,7.369140625,7.005859375,6.15234375,7.02734375,6.556640625,8.263671875
7,7.1376953125,5.484375,8.099609375,4.908203125,7.078125,6.7265625,7.255859375,6.177734375,7.09765625
8,4.6591796875,5.484375,8.322265625,6.31640625,5.701171875,6.13671875,7.939453125,8.16015625,6.013671875
9,7.1435546875,7.2978515625,6.5546875,7.859375,7.48046875,7.0,7.15234375,8.212890625,7.203125
10,5.8544921875,5.162109375,6.73828125,5.890625,6.8984375,5.92578125,4.8671875,6.59765625,8.677734375
11,4.5009765625,4.541015625,6.970703125,6.69140625,5.4296875,5.3046875,7.2265625,8.189453125,5.826171875
12,4.7001953125,4.62890625,6.5546875,7.859375,7.51171875,4.93359375,4.8671875,5.37890625,6.39453125
13,4.5009765625,4.8125,6.146484375,5.890625,6.89453125,4.83203125,7.400390625,6.55078125,5.1484375
14,4.7001953125,5.119140625,6.146484375,7.5859375,7.775390625,4.95703125,4.8671875,5.685546875,5.3203125
15,4.5009765625,4.6015625,5.82421875,7.947265625,5.935546875,5.19140625,7.880859375,6.625,6.1796875
16,4.7001953125,5.3603515625,5.72265625,7.31640625,4.58203125,4.759765625,5.23046875,8.701171875,7.708984375
17,4.5625,4.548828125,6.41796875,7.322265625,6.708984375,4.951171875,6.62109375,5.291015625,7.599609375
