,ev_op_r_COBYLA,ev_op_r3_COBYLA,ev_op_H_COBYLA,ev_op_H_2f_COBYLA,ev_op_H_3f_COBYLA,ev_op_Hp_COBYLA,ev_op_Hp2_COBYLA,ev_op_Hp3_COBYLA,ev_op_Hp4_COBYLA,ev_op_r_SPSA,ev_op_r3_SPSA,ev_op_H_SPSA,ev_op_H_2f_SPSA,ev_op_H_3f_SPSA,ev_op_Hp_SPSA,ev_op_Hp2_SPSA,ev_op_Hp3_SPSA,ev_op_Hp4_SPSA
0,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625,6.30078125,4.7705078125,6.9287109375,7.666015625,7.548828125,7.7490234375,7.12890625,4.435546875,6.708984375
1,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625,6.751953125,4.41015625,7.03515625,7.859375,6.8544921875,7.4443359375,7.642578125,5.6748046875,7.5283203125
2,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625,6.33203125,5.0595703125,7.595703125,7.89453125,5.9814453125,7.75390625,7.3828125,4.9111328125,6.8427734375
3,5.2109375,6.6904296875,7.142578125,7.63671875,7.4384765625,6.537109375,7.3779296875,6.37890625,6.9072265625,6.7431640625,4.5693359375,6.7392578125,7.1201171875,6.6591796875,7.7744140625,7.607421875,7.326171875,6.1923828125
4,3.91015625,5.0859375,7.142578125,7.63671875,7.4384765625,6.94140625,7.734375,5.123046875,7.6865234375,6.2900390625,3.7802734375,6.4423828125,7.447265625,4.837890625,7.73828125,7.1669921875,6.6982421875,6.912109375
5,6.3828125,5.0859375,5.796875,6.384765625,5.3046875,5.568359375,6.65625,7.5556640625,6.6279296875,6.7626953125,5.65625,7.6904296875,7.2763671875,6.7978515625,7.5556640625,7.4423828125,5.0263671875,7.3828125
6,3.91015625,4.5556640625,6.12109375,6.6767578125,6.0439453125,5.8251953125,6.298828125,6.2197265625,7.4892578125,6.7626953125,5.15234375,6.9462890625,7.4892578125,6.408203125,7.66796875,6.90625,6.4580078125,5.6201171875
7,6.388671875,4.7431640625,7.4111328125,4.0517578125,6.255859375,6.2373046875,6.6416015625,5.5341796875,6.365234375,6.2900390625,3.7763671875,7.0625,7.34765625,6.6572265625,7.75,7.654296875,6.373046875,7.8681640625
8,3.91015625,4.7431640625,7.6376953125,5.9921875,5.1787109375,5.568359375,7.0712890625,7.177734375,5.2099609375,6.7626953125,6.283203125,7.4375,7.2666015625,7.849609375,7.73828125,7.7373046875,5.921875,6.984375
9,6.39453125,6.544921875,5.705078125,7.07421875,6.826171875,6.5087890625,6.361328125,7.2685546875,6.236328125,6.2900390625,3.9482421875,7.0205078125,7.7607421875,6.76953125,7.5556640625,7.259765625,6.4306640625,6.5888671875
10,5.10546875,4.40625,5.6904296875,4.9453125,6.048828125,5.4580078125,4.138671875,5.623046875,7.7724609375,6.751953125,4.0107421875,7.021484375,7.751953125,7.048828125,7.76953125,7.865234375,5.44921875,7.49609375
11,3.751953125,3.7998046875,7.30078125,6.02734375,4.7578125,4.7841796875,6.6015625,7.3037109375,5.2392578125,6.30078125,5.185546875,6.9521484375,7.599609375,6.048828125,7.5712890625,6.947265625,7.2529296875,5.845703125
12,3.951171875,3.8837890625,5.6904296875,7.07421875,6.8046875,4.4560546875,4.138671875,5.015625,4.4169921875,6.7431640625,4.677734375,7.3134765625,7.2890625,6.7998046875,7.6552734375,7.6142578125,5.2919921875,7.2275390625
13,3.751953125,4.0556640625,6.337890625,4.9453125,5.974609375,4.46875,6.5322265625,6.427734375,5.4296875,6.33203125,3.837890625,7.0,7.822265625,7.4853515625,7.7578125,7.5498046875,5.8134765625,7.044921875
14,3.951171875,4.3583984375,5.6904296875,6.658203125,6.8759765625,4.828125,4.138671875,5.1689453125,4.45703125,6.7451171875,5.6572265625,6.9189453125,6.869140625,6.6533203125,7.763671875,7.3984375,4.5478515625,7.35546875
15,3.751953125,3.857421875,4.8720703125,6.9814453125,5.4091796875,3.953125,7.1689453125,6.26171875,5.796875,6.3369140625,3.75390625,7.34375,7.5654296875,6.9755859375,7.7607421875,7.2001953125,6.8779296875,7.77734375
16,3.951171875,4.62109375,4.5078125,6.458984375,4.01953125,3.830078125,4.421875,7.4482421875,6.80078125,6.33203125,5.6298828125,7.427734375,7.35546875,6.017578125,7.7373046875,6.759765625,5.8291015625,7.130859375
