,ev_op_r,ev_op_r3,ev_op_H,ev_op_H_2f,ev_op_H_3f,ev_op_Hp,ev_op_Hp2,ev_op_Hp3,ev_op_Hp4
0,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625
1,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625
2,6.62890625,4.3359375,7.142578125,7.63671875,7.4384765625,7.736328125,7.3955078125,5.541015625,6.8212890625
3,5.2109375,6.6904296875,7.142578125,7.63671875,7.4384765625,6.537109375,7.3779296875,6.37890625,6.9072265625
4,3.91015625,5.0859375,7.142578125,7.63671875,7.4384765625,6.94140625,7.734375,5.123046875,7.6865234375
5,6.3828125,5.0859375,5.796875,6.384765625,5.3046875,5.568359375,6.65625,7.5556640625,6.6279296875
6,3.91015625,4.5556640625,6.12109375,6.6767578125,6.0439453125,5.8251953125,6.298828125,6.2197265625,7.4892578125
7,6.388671875,4.7431640625,7.4111328125,4.0517578125,6.255859375,6.2373046875,6.6416015625,5.5341796875,6.365234375
8,3.91015625,4.7431640625,7.6376953125,5.9921875,5.1787109375,5.568359375,7.0712890625,7.177734375,5.2099609375
9,6.39453125,6.544921875,5.705078125,7.07421875,6.826171875,6.5087890625,6.361328125,7.2685546875,6.236328125
10,5.10546875,4.40625,5.6904296875,4.9453125,6.048828125,5.4580078125,4.138671875,5.623046875,7.7724609375
11,3.751953125,3.7998046875,7.30078125,6.02734375,4.7578125,4.7841796875,6.6015625,7.3037109375,5.2392578125
12,3.951171875,3.8837890625,5.6904296875,7.07421875,6.8046875,4.4560546875,4.138671875,5.015625,4.4169921875
13,3.751953125,4.0556640625,6.337890625,4.9453125,5.974609375,4.46875,6.5322265625,6.427734375,5.4296875
14,3.951171875,4.3583984375,5.6904296875,6.658203125,6.8759765625,4.828125,4.138671875,5.1689453125,4.45703125
15,3.751953125,3.857421875,4.8720703125,6.9814453125,5.4091796875,3.953125,7.1689453125,6.26171875,5.796875
16,3.951171875,4.62109375,4.5078125,6.458984375,4.01953125,3.830078125,4.421875,7.4482421875,6.80078125
17,3.8134765625,3.794921875,4.447265625,6.4638671875,6.0888671875,3.9013671875,5.7890625,4.587890625,6.353515625
18,3.7548828125,3.880859375,5.02734375,3.83984375,6.4375,3.81640625,4.6708984375,4.587890625,7.1689453125
