,seed_18,seed_28,seed_38,seed_48,seed_58,seed_68,seed_78,seed_88,seed_188
0,7.96484375,7.26123046875,6.673828125,5.9638671875,7.244140625,5.9375,6.890625,5.63525390625,5.52001953125
1,7.52392578125,7.55908203125,6.607421875,5.50048828125,6.94384765625,5.6533203125,7.20458984375,5.1787109375,5.43310546875
2,7.98681640625,7.28125,6.27099609375,5.58837890625,6.53125,5.30224609375,7.294921875,4.83154296875,5.41259765625
3,7.4140625,7.2490234375,6.7470703125,5.6142578125,6.74267578125,5.4609375,6.48876953125,5.2412109375,5.58447265625
4,7.86328125,6.82373046875,6.6201171875,5.94775390625,6.169921875,5.712890625,6.9560546875,4.884765625,5.75830078125
5,7.2685546875,6.705078125,5.83154296875,5.021484375,5.6953125,4.96923828125,6.06396484375,5.298828125,5.43798828125
6,7.197265625,6.2177734375,5.79296875,5.5263671875,6.06591796875,4.658203125,6.212890625,5.0712890625,5.29248046875
7,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
8,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
9,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
10,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
11,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
12,7.197265625,6.2177734375,5.79296875,5.021484375,5.6953125,4.658203125,6.06396484375,4.83154296875,5.29248046875
13,6.8359375,6.431640625,5.3984375,4.84423828125,5.2197265625,4.935546875,6.3876953125,4.509765625,4.83349609375
14,7.2685546875,6.2041015625,5.56591796875,5.01416015625,4.87548828125,4.732421875,6.46533203125,4.6533203125,4.4140625
