,seed_18,seed_28,seed_38,seed_48,seed_58,seed_68,seed_78,seed_88,seed_188
0,7.716992187500001,7.0640625,6.41953125,5.716015625000001,7.015625,5.6580078125,6.6181640625,5.3753906250000005,5.2900390625
1,7.26640625,7.333203125000001,6.3484375,5.2734375,6.7220703125000005,5.4388671875000005,6.9751953125,4.919140625000001,5.203125
2,7.740429687500001,7.0638671875000005,6.071484375000001,5.342578125,6.3138671875000005,5.078125,7.0218750000000005,4.611523437500001,5.1820312500000005
3,7.157421875000001,6.9730468750000005,6.5414062500000005,5.3740234375,6.5355468750000005,5.2353515625,6.2294921875,5.03203125,5.3509765625000005
4,7.61484375,6.5560546875000005,6.3962890625,5.694921875,5.9765625,5.491406250000001,6.687109375,4.6468750000000005,5.5248046875000005
5,7.088085937500001,6.4560546875,5.630859375,4.785351562500001,5.54296875,4.740429687500001,5.7830078125,5.0785156250000005,5.2109375
6,6.95,5.9615234375,5.552734375,5.30078125,5.9115234375000005,4.4384765625,5.929296875,4.8474609375,5.057812500000001
7,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
8,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
9,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
10,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
11,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
12,6.95,5.9615234375,5.552734375,4.785351562500001,5.54296875,4.4384765625,5.7830078125,4.611523437500001,5.057812500000001
13,6.593945312500001,6.216796875,5.1458984375000005,4.65234375,5.062109375,4.7310546875,6.1509765625,4.288281250000001,4.6000000000000005
14,7.029492187500001,6.3564453125,5.3505859375,4.7654296875,4.684765625000001,4.50859375,6.1996093750000005,4.461132812500001,4.17734375
15,6.1273437500000005,5.514843750000001,5.557421875,4.791015625,4.9300781250000005,4.6000000000000005,5.8228515625,4.7021484375,4.3285156250000005
16,6.6150390625,5.4791015625,5.4087890625,5.065625000000001,4.227734375000001,4.852734375000001,6.2660156250000005,4.3076171875,4.529492187500001
17,5.74765625,5.0748046875,4.8427734375,4.384375,3.7824218750000003,4.541015625,5.364453125000001,4.7533203125000005,4.1859375000000005
18,5.292187500000001,4.866796875,5.220703125,4.821484375000001,4.128515625,3.9591796875000003,5.504101562500001,4.5126953125,4.5048828125
19,4.1453125,4.3904296875,4.033203125,4.232421875,3.26640625,3.3976562500000003,4.3802734375000005,3.8511718750000004,3.7595703125
20,3.6685546875000004,4.7798828125,3.8695312500000005,4.1958984375,3.3619140625000004,3.6363281250000004,4.339453125,3.8462890625000004,3.528125
21,3.4662109375000005,4.478125,4.180859375000001,3.9294921875,3.4337890625000003,3.4396484375000003,4.5779296875,3.9400390625000004,3.8550781250000004
22,3.4199218750000004,3.9173828125000005,3.7726562500000003,4.1380859375000005,3.4919921875,3.4775390625000004,4.1482421875,3.6828125000000003,3.6666015625000004
23,3.7320312500000004,3.8496093750000004,3.8566406250000003,4.1091796875,3.2310546875000004,3.3361328125000003,4.39140625,4.043164062500001,3.2804687500000003
24,3.278125,4.077343750000001,3.7382812500000004,3.951953125,3.4302734375000004,3.2974609375000004,4.312695312500001,3.9109375,3.4335937500000004
25,3.4966796875000004,3.5890625000000003,3.2792968750000004,3.9294921875,3.2310546875000004,3.4126953125000004,4.07890625,4.23828125,3.2804687500000003
26,3.278125,3.7919921875000004,3.4648437500000004,3.7869140625,3.3980468750000004,3.2421875000000004,4.0814453125000005,3.6828125000000003,3.7246093750000004
27,3.6537109375000005,3.5890625000000003,3.2792968750000004,3.7869140625,3.2310546875000004,3.3066406250000004,4.3740234375,3.5572265625000004,3.2804687500000003
28,3.278125,4.0853515625000005,3.2849609375,3.6587890625000004,3.3294921875000005,3.5882812500000005,3.7810546875,3.5572265625000004,3.2275390625000004
29,3.3062500000000004,3.5890625000000003,3.2792968750000004,3.6587890625000004,3.2310546875000004,3.1783203125000004,3.6755859375,3.5787109375000004,3.2275390625000004
30,3.278125,3.6566406250000005,3.2763671875000004,4.1546875000000005,3.2953125000000005,3.3982421875,3.5882812500000005,3.5572265625000004,3.2437500000000004
31,3.2955078125000004,3.5890625000000003,3.2763671875000004,3.6587890625000004,3.2310546875000004,3.1783203125000004,3.4562500000000003,3.5101562500000005,3.2275390625000004
32,3.278125,3.6345703125,3.3597656250000005,3.7207031250000004,3.4880859375,3.1781250000000005,3.4562500000000003,3.5101562500000005,3.3039062500000003
33,3.3759765625000004,3.5890625000000003,3.2671875000000004,3.6587890625000004,3.2523437500000005,3.1781250000000005,3.3798828125000004,3.5720703125,3.3931640625000004
34,3.3123046875,3.7425781250000005,3.4857421875000005,3.7945312500000004,3.4066406250000005,3.21953125,3.3798828125000004,3.4898437500000004,3.3605468750000003
35,3.5921875000000005,3.5998046875000003,3.369921875,3.7093750000000005,3.2541015625000003,3.1781250000000005,3.3427734375000004,3.6755859375,3.2857421875000004
36,3.3634765625000003,3.9976562500000004,3.7142578125000005,3.4462890625000004,3.4082031250000004,3.2677734375000003,3.3427734375000004,3.6388671875000003,3.4693359375000004
37,3.9035156250000003,3.491015625,3.2109375000000004,3.6175781250000005,3.2589843750000003,3.2167968750000004,3.5988281250000003,3.9906250000000005,3.3261718750000004
38,3.3611328125,3.5277343750000005,3.3175781250000003,3.5054687500000004,3.2796875000000005,3.6462890625,3.5279296875000004,3.6751953125000005,3.3482421875000004
39,3.2,3.7523437500000005,3.2474609375000005,3.2033203125000003,3.2291015625000004,3.2832031250000004,3.4101562500000004,3.3072265625000004,3.2552734375000005
40,3.1984375000000003,3.7320312500000004,3.5611328125000004,3.3460937500000005,3.2544921875000004,3.2746093750000003,3.3917968750000003,3.2380859375,3.3611328125
41,3.2060546875000004,3.4212890625000005,3.2189453125000003,3.3896484375000004,3.2587890625000004,3.2238281250000003,3.5267578125000005,3.3748046875,3.3021484375000005
42,3.1917968750000005,3.3408203125000004,3.2226562500000004,3.2675781250000004,3.2660156250000005,3.19609375,3.2171875000000005,3.2007812500000004,3.2361328125
43,3.2830078125,3.3224609375000003,3.2724609375000004,3.4818359375000005,3.2628906250000003,3.2355468750000003,3.5259765625000004,3.4951171875000004,3.2828125000000004
44,3.2003906250000003,3.4361328125000004,3.2316406250000003,3.2033203125000003,3.2613281250000004,3.1652343750000003,3.2421875000000004,3.2455078125000005,3.2523437500000005
45,3.1681640625000003,3.30546875,3.3138671875000005,3.4019531250000004,3.2945312500000004,3.1962890625000004,3.48125,3.3988281250000005,3.2533203125000005
46,3.16875,3.3195312500000003,3.2167968750000004,3.2724609375000004,3.2089843750000004,3.17265625,3.2220703125000005,3.3285156250000005,3.2291015625000004
47,3.178515625,3.3166015625000003,3.2125000000000004,3.5091796875000005,3.2500000000000004,3.2,3.2796875000000005,3.2007812500000004,3.233203125
48,3.1808593750000003,3.3154296875000004,3.186328125,3.1970703125,3.2166015625,3.1796875000000004,3.3238281250000004,3.1994140625000003,3.2275390625000004
49,3.2382812500000004,3.2404296875000003,3.2560546875000003,3.5267578125000005,3.2414062500000003,3.2173828125000004,3.2523437500000005,3.1777343750000004,3.3851562500000005
50,3.1757812500000004,3.33671875,3.1886718750000003,3.32890625,3.23515625,3.1652343750000003,3.2816406250000005,3.2558593750000004,3.2302734375
51,3.1937500000000005,3.2607421875000004,3.2251953125000004,3.21953125,3.2193359375000004,3.2875000000000005,3.4824218750000004,3.1777343750000004,3.2308593750000005
52,3.2166015625,3.2673828125,3.2007812500000004,3.3130859375000004,3.1984375000000003,3.155078125,3.2054687500000005,3.2341796875,3.2152343750000005
53,3.1658203125,3.2322265625,3.2083984375000005,3.1970703125,3.2259765625000005,3.2316406250000003,3.2054687500000005,3.1777343750000004,3.2105468750000004
54,3.1658203125,3.3349609375000004,3.1849609375000005,3.2390625,3.1847656250000003,3.1562500000000004,3.2076171875000004,3.1630859375000004,3.1791015625000005
55,3.1732421875000005,3.2041015625000004,3.1730468750000003,3.2162109375000005,3.1791015625000005,3.1810546875000005,3.2054687500000005,3.1630859375000004,3.1861328125000004
56,3.1658203125,3.2212890625000004,3.1601562500000004,3.2568359375000004,3.1601562500000004,3.1578125000000004,3.2244140625,3.2343750000000004,3.1865234375000004
57,3.1738281250000004,3.2179687500000003,3.2330078125000004,3.1970703125,3.1601562500000004,3.2158203125000004,3.1919921875000004,3.194140625,3.1892578125
58,3.1675781250000004,3.2628906250000003,3.1601562500000004,3.2667968750000003,3.1523437500000004,3.1861328125000004,3.2109375000000004,3.2378906250000004,3.1830078125000005
59,3.1910156250000004,3.2193359375000004,3.2128906250000004,3.2607421875000004,3.1736328125,3.1609375,3.2320312500000004,3.19609375,3.1833984375
60,3.166796875,3.2054687500000005,3.1613281250000003,3.2732421875,3.1587890625000004,3.1607421875000004,3.2341796875,3.2583984375000004,3.1875000000000004
