,seed_10,seed_20,seed_30,seed_40,seed_50,seed_155,seed_125
0,6.1904296875,6.66064453125,5.77001953125,4.25439453125,6.00146484375,5.90673828125,6.294921875
1,5.74609375,5.81103515625,6.38671875,4.91064453125,5.24609375,4.59326171875,6.123046875
2,5.4501953125,6.359375,6.07421875,4.88623046875,5.009765625,5.64013671875,6.09423828125
3,5.90576171875,6.0322265625,5.26171875,4.3154296875,5.63525390625,5.16845703125,6.24755859375
4,5.58349609375,6.36181640625,5.69384765625,4.94580078125,5.43896484375,6.05029296875,5.6806640625
5,6.0244140625,5.31640625,5.66259765625,4.427734375,5.4765625,4.60986328125,6.830078125
6,5.9326171875,7.0498046875,5.45654296875,3.89501953125,5.62744140625,5.0771484375,5.41748046875
7,5.68115234375,5.29150390625,6.0419921875,4.99560546875,5.701171875,6.12744140625,7.34912109375
8,5.38427734375,5.14990234375,5.87646484375,3.50244140625,5.4326171875,4.6494140625,5.89111328125
9,6.04052734375,6.4599609375,5.830078125,5.3994140625,5.6728515625,5.7509765625,6.14794921875
10,6.31103515625,6.13232421875,6.29931640625,4.6845703125,4.759765625,5.5751953125,6.35888671875
11,6.33349609375,6.22509765625,5.50244140625,4.72607421875,6.06201171875,5.0615234375,5.9306640625
12,5.92041015625,6.12158203125,6.09326171875,4.8017578125,5.5712890625,5.65576171875,5.904296875
13,5.2919921875,5.88232421875,5.662109375,4.3837890625,5.55859375,5.23681640625,6.203125
14,5.93017578125,6.5400390625,4.98046875,4.89794921875,5.5732421875,5.9892578125,6.10498046875
15,5.35595703125,6.037109375,6.40185546875,4.42333984375,5.44677734375,5.00390625,6.42822265625
16,6.29150390625,6.57275390625,6.56494140625,4.66748046875,5.50537109375,4.27734375,7.27783203125
17,5.87841796875,5.68603515625,5.14404296875,4.970703125,5.8720703125,5.32763671875,5.2041015625
18,5.9404296875,5.56982421875,5.45947265625,5.96630859375,5.93017578125,4.86181640625,6.02685546875
19,6.45556640625,5.9931640625,5.9404296875,2.42919921875,4.8134765625,5.96533203125,6.2919921875
20,6.00634765625,6.31640625,6.31005859375,4.67578125,5.59228515625,5.01318359375,5.65234375
21,5.560546875,6.1162109375,5.58740234375,4.8505859375,5.6103515625,5.2451171875,7.10693359375
22,5.65380859375,4.8251953125,5.79541015625,4.61376953125,5.95703125,4.56787109375,5.98583984375
23,6.39306640625,6.24609375,5.443359375,4.91943359375,5.1142578125,6.15283203125,6.47314453125
24,6.255859375,6.10107421875,6.1884765625,4.80517578125,5.8798828125,5.3896484375,6.25
25,5.73486328125,5.81396484375,5.212890625,4.60888671875,4.88427734375,5.1279296875,6.31298828125
26,6.14990234375,6.32421875,5.552734375,5.3466796875,5.20849609375,4.998046875,6.37890625
27,6.09228515625,5.6533203125,6.03857421875,4.001953125,6.1064453125,6.140625,6.1171875
28,6.39794921875,6.67041015625,5.9228515625,4.69921875,5.54150390625,5.8642578125,5.69482421875
29,5.85888671875,5.92041015625,6.2900390625,4.88525390625,5.6474609375,5.46875,5.4033203125
30,5.69677734375,6.28125,5.8857421875,2.2470703125,5.57763671875,5.32275390625,5.47705078125
