,seed_245,seed_198,seed_148,seed_138,seed_158,seed_128
0,6.681397905662378,5.47512330536214,5.838922162952587,5.144600064959149,5.190287410254212,5.368070297636652
1,7.046835804252355,5.137104445791353,4.962922737182285,5.172100687652348,5.102553725670226,5.855362262164803
2,6.657818478020553,5.322754255853969,5.331560553207688,5.600803425052271,4.959723158360926,5.617982510793852
3,6.752674391626055,5.8876228880353585,5.553251362095229,4.8440073147850375,4.9164516379265395,4.955411056428396
4,7.0493813298225,5.633368479674435,5.980149996692239,4.781248398415695,5.359950301162055,6.600177310715537
5,6.740689777136972,4.354319535101863,4.997023322989157,5.051262030357856,5.437350425030506,4.946997188827425
6,7.0812132295003245,6.166226784927754,5.403644694224352,5.746185292783824,5.420415649220959,5.871555615207118
7,7.506129830083666,5.022504238792638,5.485504825687707,4.593298207368527,5.093046453277262,5.132983065764238
8,6.9375282207956355,5.586128221905419,5.572428543436566,6.12026926643018,5.668928280814724,5.050942781010599
9,7.388134178991187,5.74622345070947,5.2746358587657,4.834670055383904,5.415908099342802,4.825212265472566
10,7.060738363836165,4.979063404574355,5.850686718205905,4.622641237225812,4.743612933844014,5.1620501475669025
11,7.13382868656433,5.415185445290781,5.033442156119418,5.571767474342802,5.256354536646926,5.166082488770873
12,6.795219851671366,5.738621343706475,5.442094220186245,5.601406247802022,5.108400174529935,5.0002117804229735
13,7.21542614571732,5.491733699447337,5.194088841726133,4.9231088772850375,5.916409724059871,5.690365745016591
14,6.472230388361818,5.793586799682284,6.286854496452834,5.330821634401136,5.020283027224028,4.840768529226134
15,7.019926465594586,5.070297137621845,4.7556465457651305,5.223742007464322,5.488737486790534,6.019817541521518
16,7.062517584457688,5.160162295743366,5.237008447858572,5.3320561321813935,5.806361834370632,4.896684898589807
17,6.612232962243293,4.860981432777758,5.334408150004284,4.691950205910521,5.135904553164161,5.453262337047243
18,6.982523986398958,5.328648314719746,5.878107550987944,4.63379170190631,5.222407417196199,5.846253679426292
19,7.22688584390235,5.240412035319503,5.473494562086486,5.641230676314403,5.449628628764809,5.068168021609465
20,7.0996831301576995,4.237515915150567,5.455456308909308,4.904318768171118,5.3198655011315505,5.182499160950481
21,7.120128861659949,6.222952692809872,5.451565207129123,5.631554372018696,5.183726924769339,5.601414030575321
22,6.999625921635686,5.612795540433497,5.3226682737639175,5.030932566395392,5.5060143752176405,5.129089324577747
23,6.55368104739725,4.706996362965784,5.922123415477026,4.331068865620632,5.185865075535359,6.20666543945858
24,7.15833449501659,4.9523352680187696,5.513604447466822,5.530885509161734,5.569604441395392,5.928043191177753
25,6.897493399286251,5.627451207934388,5.715521715333419,4.557463303817077,4.946607330758173,5.338271516038428
26,7.007534961350973,5.741400621583417,5.299707448576782,4.794019338548954,5.091956601257851,5.33415619274458
27,6.54816976303536,5.420740177380833,6.055418004548135,5.227497780118456,5.500458255701621,5.405203302837702
28,7.052721313414086,5.614868079408985,4.529540903050883,4.829583098798705,4.921866788910025,5.019707444180823
29,7.227775521935922,4.794667763383582,5.727168108591587,5.214892126936815,5.30220432631886,5.250255363596763
30,7.100256412408665,5.974144035733019,5.490596643758742,5.061406392039568,5.148365075535359,5.834321964745794
31,7.474547936477272,5.4275835480501655,5.142010809779689,5.21312659938633,5.5720406255656885,5.5158953763709535
32,6.901360859875484,5.377538994777189,5.798152246300487,4.349001544328886,5.5063291694159435,5.177025064415052
33,6.8365841878046965,5.631327432386009,5.052824519367958,5.346733207803806,4.7696662972449015,5.590903576471032
34,6.642021727998789,4.782205086655668,5.432292309736161,5.9788128347406175,4.991684070530185,4.596947841791425
35,6.828370776070717,5.897704141887221,5.738632532816828,4.839907489314971,5.160514063609785,5.730909624412377
36,6.843471558974599,5.861913994777188,5.009631265973138,5.349289854761491,5.1355178195508095,5.500425026984624
37,6.628527163714323,5.717642213918939,5.4782209869428815,4.607967782098794,5.029796830409951,5.240208861333491
38,6.9179600648503285,4.977856078777831,6.401053645282041,4.529457853238193,5.636912810519661,5.473981174029366
39,6.609738723907523,5.98915292624911,5.19130525513576,5.134629393497575,4.524374235267235,5.338903191068933
40,7.137169922136256,5.0013722631441775,5.249179272371201,5.286706726236086,4.9222258654900495,5.2774971486333335
41,6.857351537169261,5.3720978340877,5.758061468249432,4.814174751697411,5.524815391560764,6.036198841617315
42,7.162386845926218,5.251160336285681,5.910960295547489,3.811205169241832,5.309978589680501,5.904637871082849
43,6.643640669590054,5.1737897639059165,4.952599948250324,6.4811972466269445,5.510780345425647,4.9699185363857605
44,6.801480555732127,5.210646268279937,6.323298696814081,4.450450472928323,5.309177251262135,5.5749573979152975
45,6.687948386294422,4.485533046483338,5.291561735267234,5.297534963548952,5.308537172963109,5.387661181406632
46,6.743554202450409,5.3433549308409445,6.111409933822252,5.450033849212218,4.9093733306928815,5.406232832869097
47,6.521288092400814,5.072331236790533,5.261717362574036,5.0664628270368945,5.722585979892074,5.180718203299026
48,7.130615967444343,5.266830656489406,5.872864071313511,5.147053145369098,5.445907269085202,5.230775479543851
49,6.845794735506638,5.149028795025331,5.204103299529937,4.956648554208828,5.01675676588608,5.635540615098297
50,7.737881804404702,5.415797934279295,4.651969942526941,6.183695647240618,4.39839982712395,5.568869617143931
51,7.010757200274192,5.472131897458258,6.928522855000894,4.7491386104848745,5.706853454234874,5.512194240555339
52,4.992733474821607,5.03038256474151,5.979111916956796,4.446185631397893,5.780639462199766,4.67789819581294
53,6.793757647327673,5.843546419677109,5.437936779857287,5.521386718750002,6.2405933051445,5.455020431428395
54,5.373256715224598,5.042778580866992,4.581626379156559,5.325962519824999,5.053268393780506,4.7615226028464415
55,6.903705241360605,5.6254269781729,5.024172042370311,5.090849852998789,4.4092528111725775,4.51567247456044
56,5.617573884009386,5.1965877273893994,4.496441005984552,4.350960500913912,5.428386273894501,4.407540939371525
57,5.356288157925648,5.467293705954049,4.8088711532034045,5.696312072205831,5.007644573642074,4.807698026223065
58,4.844515538017877,4.9479571369689275,4.7398628683191815,5.157583338287786,4.860630838178966,4.633381755418691
59,5.65663666589054,5.327043618971924,4.230644741012382,3.571575850061011,5.2177229062064745,4.302533016756637
60,3.3401021026070383,5.104623760685032,4.622277930645071,2.903678069376873,4.98291237832953,4.5887245606502445
61,3.9752069189371366,4.985278021500644,3.8229527605326843,3.727175823642074,5.1454289926880294,4.286854079126055
62,4.467605578864887,4.581012841356148,4.5063605823902915,2.435201784362067,4.557409084305339,4.485902331084632
63,4.6877129646805,5.729267052620063,3.5735575344707105,3.4701278238379487,4.355374500087058,3.9309001046091434
64,4.316762743906632,4.045845266800166,4.241827802924756,1.4129043857938517,5.129579557016021,4.185809885924435
65,4.946284404182607,4.33358095930534,3.6689132680405336,2.8006105487901394,4.6507280793001655,2.7675494868775887
66,4.119377366317077,3.9385553823119768,3.378025809888508,2.4455901063718453,4.902685580736409,4.843111861899354
67,3.9634560567548545,4.393542246409307,4.539731633748221,3.1348026663909345,4.6344661254570445,5.026462824838914
68,4.093337414106075,4.355974062935281,3.9494540251783965,2.474790994428966,3.86403511385793,4.9503804059888346
69,4.14588175541869,3.3335239649416684,3.9933248943026647,3.4948662003394846,5.414874057429537,4.812560468423542
70,4.407614063044099,3.145791814219176,3.762558866839236,3.569459795634547,4.785139567918691,3.8264636594924752
71,3.8445295806928805,3.8401359518192555,3.9549762954822,3.2839758252959568,5.448434443266913,5.322642139602187
72,3.7934100417391567,3.8340054335175564,3.8135315379525863,2.0538702464310714,4.765790219228808,4.312460590094015
73,5.522835715072251,3.7323598727149667,4.085864725931393,3.3946225786254844,4.627730968662947,5.248323996322251
74,5.927452527637543,4.057837449904206,4.011855534274835,1.8872285748171505,4.384151466704368,3.6482320362116485
75,6.97497261385793,2.97653427920437,3.793829372584384,1.979626196922901,4.767308651005424,4.123903470752107
76,5.640018692200482,2.9114285561019373,3.4937729309931176,2.2427837242339823,3.117670288279045,3.593823608722172
77,4.729692643366992,4.1155480526635895,3.6321821446726514,2.05973698687759,4.593688415041747,4.66006985058317
78,5.576384354630908,3.6347995419350316,3.789637034231307,2.479658444550809,3.85159308931069,4.134513803185924
79,5.650370536581635,3.6034417453865784,4.027387604065046,2.103167748520231,3.9249527395979036,4.829251701231804
80,5.453300291804449,3.404841597841267,3.2585507195986194,1.7284355532076874,3.7010518405292934,4.102351532773302
81,5.724340386055019,3.486460465115779,4.3644630621300164,2.863352354761491,3.8775666628004144,4.4886320477672355
82,4.917686067983982,3.4344474921874584,3.411070596056626,2.8139214637446526,3.39875202330705,4.223413520194985
83,6.542686970360355,3.511402500652919,3.7695384800008944,2.1762913566983038,4.108603619407203,3.967481788453156
84,5.140763521304771,3.121318253394822,4.1099910984940085,2.5182702684540477,4.339414763905916,4.384588731611248
85,4.374750817592233,3.9447885647850374,3.4095147055622976,2.5659506337046913,3.432093455453478,3.8680712000130257
86,5.615293737878729,3.4629851567940992,3.5613998502567115,2.384772223515774,3.9588924148894002,3.1925221684583303
87,4.911175910624198,3.6387701517452236,3.6560391896762185,2.90465024445073,4.6747246834305,3.8764692879090585
88,4.534844794415943,2.423689874586488,3.8798860833914306,3.121671904726703,3.5473379817418316,3.162981953625484
89,4.839552867883903,4.549736571748788,3.4776557583564687,2.7962060694202253,4.657442933517556,3.5996005434148026
90,4.526826345577997,4.058426872453975,3.7333868987856804,4.083711630113997,3.7165532642759027,3.4454093215964425
91,4.7101528436629465,3.951788740424756,3.5982715138404484,1.7831142216224882,4.392147954648389,3.2800708949991115
92,4.3787049594794505,3.4535268818331692,3.6057245986463573,5.411665647022979,5.0005246344229,3.143782664954691
93,4.847653960197661,4.2529125203690965,3.8040002180317933,4.130734682211896,2.500566762447909,3.6456431416260546
94,4.440102519933818,3.542960335741583,3.778966301096763,4.291968139972173,4.136909268736979,3.2072686795351113
95,4.454696952080423,3.7631965198902915,3.5434550800617277,3.9376211510054246,4.719979704017235,3.4202928289084156
96,4.486768097036003,4.312770725974921,3.569207139166907,4.669311123041426,4.50354808678625,3.279357343423544
97,4.2795457755266195,3.3856527313500813,3.709186286015773,3.2125307924791304,3.9049963839005666,3.312695312500002
98,4.570135189284468,3.8972239252916743,3.1972085519236173,3.0251158612029085,3.412235037887295,3.465691029117313
99,4.265628891386651,3.648540367339806,3.870933538692559,3.7763153365033206,4.255805369646604,3.129657124847655
100,4.497123832803806,3.855816491034147,3.2488939399589745,3.511455874521196,3.852491587939563,2.2161193269933657
101,3.8682395436977335,3.5105795399546906,3.2662929494906923,3.4235615613029875,2.801587100300239,3.9626999030945855
102,3.2162778689936875,2.3237510422179626,3.292129941874023,2.8505094074903696,4.846162700404775,2.954485103934637
103,3.8763416738334917,4.169138470643287,3.3568379454211907,3.7746831868906128,3.3952422976148875,3.2149549638754116
104,3.4588881738987824,2.957394353412303,3.451028684387938,2.7752748205300097,4.385076042762061,3.97300941628229
105,3.185454847166586,3.89428922987031,3.2720881001261275,3.4934587682799374,5.049052910275976,1.1886322619255751
106,2.996587377785432,3.472527733548061,3.6168145271805017,3.0246232712394785,4.822928092509635,2.597295233221603
