,seed_28,seed_170,seed_225,seed_188,seed_18,seed_38,seed_48,seed_58
0,5.469643209802991,5.7444434933217945,6.27978515625,5.962139531888856,6.819474741820049,6.344376064065629,5.399909742139476,5.986579875574971
1,6.054119353687236,6.533343373945455,5.126623377108658,6.375687046331756,7.387662056045394,5.749033900402739,5.960058065471546,7.001716171203986
2,6.572148592727398,5.8693141304000624,5.581341139154983,7.735717456096762,7.606816138356414,6.188942050198132,5.0334320820231016,7.036177378099315
3,5.948372995047138,6.25210919222883,6.732756978271981,5.3275712273452065,6.5508134849501864,6.344023697884868,5.81229119513649,5.949156746229452
4,5.244524204626527,5.6312445745143815,5.328197291410837,7.0051524243671865,8.15773517117204,6.37188736570162,7.106280226993836,6.991592050996702
5,5.780879174143586,6.643631488049501,6.052550829818184,5.55572997702578,6.8694375395577225,6.212705212071794,4.339697970411458,6.214913152160025
6,5.423055259841409,6.208444552882192,5.7174208960567885,6.390562996229454,6.8107070282465125,7.019849513484184,4.953503822629325,6.1449585489838725
7,5.726879143596328,5.989014481818927,5.722142110684871,6.535914143117187,7.369541642797758,5.666070653502055,6.837976443826835,7.046174003131259
8,6.095885473414945,5.289410532304544,5.412909367586676,4.925008807962391,8.076477209451618,6.276376628898317,5.535086672577525,6.8152348331734744
9,5.547096558633626,6.44672273836893,4.91046549520685,7.338867187500001,7.003065004185804,6.390524807515194,6.7027909182324406,7.101679532272602
10,6.449805180725966,5.710022941270548,6.730014148325591,6.118408414685493,7.528301006582377,5.722201049942156,7.426024157560088,7.583180296395642
11,6.265279433825281,6.668028710761708,5.038598880048259,6.28586260224938,7.222122381646264,6.053912168711581,3.998874170277211,6.474076951271669
12,6.306588062627772,6.739611798568617,5.963101297609901,5.296833323651496,7.336417361356103,6.073372571926152,5.588247923440413,6.931758080393587
13,5.64534026086401,5.725406478335865,5.771393623913513,7.2173401847520555,7.386199255304234,6.064988437979141,5.28919186292173,6.84407175111843
14,4.956252854198321,5.345439466896885,5.857855127747945,6.165368212007907,6.8988841049014935,6.037088449194523,6.143626978910835,7.91523247220112
15,6.198431511183436,6.351650784956662,5.443342958333189,6.518921004217747,7.865679535276089,5.799425441749689,4.944055862730075,6.27491467439913
16,7.044726597552491,6.25559716152229,5.572091944337487,7.222600199993526,7.153083358703986,5.602382396887735,5.652419529045081,6.125522383946578
17,5.353476837902306,5.705115292209839,6.3528702550167475,5.846642943411146,7.115506029876026,6.769002313905916,5.676760877013261,6.83439032505741
18,5.920375878290972,6.119228311573226,6.414207082821671,6.866030456831444,6.2489638998592785,6.589484831671731,5.118930375511085,7.235497342088543
19,6.069374549335244,6.118892362059277,5.410042705361644,5.574358998945456,7.47657687365797,5.173647644331446,6.402694671555356,5.736323615861331
20,5.903344127556289,6.43389721670523,5.086062353783064,6.611101035723288,6.972451531154173,5.619685379377461,5.164981990989103,7.556712493289851
21,6.390568949993524,6.209361154620485,6.061504554703364,5.441320431173163,7.999614377364633,6.776565529460773,5.782499238880448,6.474504250255542
22,6.161171001214258,5.200682572245579,5.248294291698754,4.141568729166378,8.468735626342031,5.5791758969196765,6.373573344964258,7.398847959196076
23,5.866427563873973,7.161371809304857,5.014380094995768,6.6727261103335005,6.83246203661812,6.66850959362223,4.789215502715569,5.3617250567800765
24,5.431825016423786,4.9600847697786445,5.372858995941968,6.180950514154982,7.330134175006475,5.7447979025113955,6.453888423760275,7.014109038503177
25,6.348899958237361,6.779513501373973,6.2928819096687425,6.102047293615754,6.992323838190225,6.126287850715691,5.130322865253988,7.40551285742584
26,5.885917560646453,6.402020977377149,5.41871064957136,6.444967955329702,6.788068076207785,6.722143730572726,6.985369000671231,6.262184660819116
27,5.588794720826714,5.796266797226588,6.034881107489726,6.200979486803301,7.36916444005629,6.342413074546324,4.19544823980679,6.692141349565318
28,5.3805008797927165,6.030505035915378,6.287187197053923,6.102449332917932,7.835900332790162,4.210139199897264,5.856835021153049,6.561513996101681
29,6.436581953636302,6.556743706735618,4.829182696925719,6.304539254281631,7.266480619472167,6.7277581550038,5.609601490893276,7.72950758266239
30,5.8964728905928405,6.082722805470423,5.262821187787485,5.487584762269925,7.65943450258823,6.843570540835866,5.000360362953675,7.437405338158281
31,6.5255255185648195,5.6032667636758395,5.948325788055545,6.63130249226725,7.385429877779889,6.008170396823849,6.701808401968368,6.581898822565008
32,5.6939759976673106,6.565005876150375,4.993678026552679,6.23165394210106,6.003397641327958,6.060021426540161,5.849133599661581,4.970291045916067
33,5.6426945588891675,6.937671637653674,6.458734492171421,6.035045594612455,7.582482364040161,6.246687155994458,6.475286979933437,7.2671820394618925
34,5.4887535377041745,5.994358272878393,5.8342823110621405,7.035027310199253,7.682363393916189,6.77667065420523,6.528556244791594,6.48155825875492
35,6.544535653981196,6.048646622827024,5.277815016199753,5.4487988494056045,7.327045778885369,5.362673047226586,5.8995653727316295,6.750854597967746
36,4.8218619658099655,6.754771733991471,6.769009113911957,5.493335948012207,7.134312044830012,4.774938912576403,6.795235206224532,6.73724719286812
37,6.871870525913823,6.125490324258841,5.163509748849625,6.273582681205106,7.234056736515816,6.187559960761707,4.182497689097572,6.704915928744648
38,5.6526792763929645,6.143186926156848,4.614451470059653,6.370405682163825,7.652458739263761,5.585832375255542,4.123095351354548,7.440253715970111
39,5.904466892765816,6.0572211019618925,6.630289784061831,5.881944374616255,7.460765016104357,6.325405985109901,6.938955402351682,5.176827637781009
40,5.4898877873208605,6.159232249872228,5.84008316992584,7.919804419606413,7.480417807515628,6.731826002875716,6.212164791570549,6.908830210570049
41,5.694469211176962,5.8977802224886045,5.882581923089042,4.889781711176961,7.07512939797422,5.675281061221855,4.934920810934371,6.41427112960106
42,5.204588223862145,5.577140863848073,4.958883161010774,6.16707945095224,8.0052006528632,7.158578883116064,5.9072409361579705,6.938748640497012
43,6.557127461624594,5.961241389826213,6.0146687649220425,5.775882817005232,7.089721785467748,5.535225652160023,4.978268806684682,6.518198235301558
44,6.683251671459527,5.834169189544772,5.54287102364502,5.573426578923787,6.757764869887424,6.5378524713382316,5.272163001437859,7.348390926444334
45,5.640099974661146,5.500287050038418,6.273070161777832,7.325384213062453,8.288185108480384,6.287539140113699,5.440768701527212,5.8085416107487555
46,5.68415287803543,5.422580929128394,5.248870259521981,6.206395744536053,8.042631180598192,5.767785309975655,5.095137867938048,6.821906706671731
47,5.9872079826494415,6.58200743494371,5.379993715746078,6.854140244440225,6.806884977185493,6.3971129051954545,6.828185982266126,6.682442660595518
48,5.319708631102803,6.701095074450496,5.405911832214758,6.313540010895952,8.118170016264072,5.250761979134867,6.539797599565318,6.169191707694334
49,5.475725164941034,5.12420723054035,6.215661180757908,6.288714044574471,6.670298654620486,6.72893203796015,4.6269297330646975,7.2166293233640095
50,6.048373523325592,6.493551728144209,6.086610172673786,7.0879169061861145,7.505157955010275,6.280693338094395,5.7469013162386045,6.93112257492964
51,6.394166377907659,6.112991733831757,5.366398218174597,4.527102710186305,8.080664555725964,6.155541604741782,4.626730967982941,6.311146657879514
52,6.468449174687047,6.770142517286674,6.574619767797758,6.544008760895953,6.410005538151806,6.043267707566561,6.766954527064197,7.520640663055978
53,5.662087004569116,5.878280609055356,5.301761723255232,5.914287546267872,6.1178209624551085,6.694042510576525,6.280586768724532,4.8165485419542975
54,5.980351294606414,5.602160239870674,5.3085229032145715,5.5216305777095265,5.731723344261083,5.789379318858779,6.120417589691969,7.058443038151806
