,seed_10,seed_20,seed_30,seed_40,seed_50,seed_155,seed_125
0,6.514418882093462,7.106812227601182,6.219462904396887,4.679362859630759,6.3313481144234744,6.313257469996202,6.773573415069239
1,6.0187717369949585,6.166147454051557,6.8043187171524275,5.25828538608761,5.764930132157781,4.9699719361899115,6.5732610702966365
2,5.753375270897074,6.7729621477825654,6.451011298632503,5.196420891551558,5.294168315759029,6.050821904844084,6.397559510096952
3,6.2472799636054805,6.480713700568927,5.511971945200376,4.725922062276401,6.095234748051057,5.523624357553612,6.665615628706663
4,5.885930489679019,6.831384435391343,6.053843788055977,5.213177076654983,5.702251942356603,6.47005877652117,6.031673811349626
5,6.378073424079701,5.668381675325902,6.016499925389789,4.862572431620795,5.90214847255249,4.997613622252054,7.247634971178518
6,6.3334564604103365,7.459832596082689,5.8132217474117684,4.359262053745081,5.943279509937236,5.471155260544582,5.772514944497635
7,5.977504784540973,5.7273869060264,6.522943863369363,5.304501065567373,6.037090492203363,6.548886641136301,7.683705251629516
8,5.8351533256967,5.5900624193828135,6.212811781441656,3.8085317462294532,5.885764557930884,5.035263840874284,6.3249197468687415
9,6.384646126597573,6.8379169061861145,6.151981344037486,5.787635844964258,6.050133837007907,6.188499954435304,6.473541039909092
10,6.648994161905604,6.53700978089863,6.6243743590553565,5.082235545724843,5.171303964436427,5.929034133243835,6.816555517222789
11,6.739711392669987,6.577705099405604,5.988772595763261,4.934426400657847,6.482007505048691,5.46527453661812,6.231951878163202
12,6.243102058729452,6.540300852856725,6.499400217120486,5.202004700920298,5.906653483927585,6.018673164398007,6.33860004176264
13,5.627982672993213,6.31229034889452,5.896090157208283,4.708298773293649,5.923041907687858,5.62083995641619,6.590707789366064
14,6.253300936477397,7.053423041219611,5.245044720826714,5.2793172024220425,5.953067505368119,6.433404426316562,6.5746778608130745
15,5.674418466481195,6.446856187308343,6.836184916698754,4.789706425357846,5.847957673696388,5.408345416954297,6.775117948619552
16,6.6645770624361145,7.011720793008842,6.9942001626407215,5.041986233735927,5.891968900722167,4.574779322660835,7.712672554000624
17,6.194703698843151,6.069726069274035,5.460256830553302,5.340689928073847,6.209849858991471,5.739020435582999,5.4927922151391675
