,ansatz_0a_su2_2f,ansatz_0b_su2_2f,ansatz_0c_su2_2f,ansatz_0d_su2_2f,ansatz_1a_su2_2f,ansatz_1b_su2_2f,ansatz_1c_su2_2f,ansatz_1d_su2_2f
0,7.6455078125,4.498046875,7.39453125,7.5458984375,8.4111328125,4.498046875,7.5361328125,7.6103515625
1,7.708984375,4.50390625,7.7607421875,7.689453125,8.1796875,4.50390625,7.56640625,7.455078125
2,7.595703125,4.5078125,7.3984375,7.4287109375,8.064453125,4.5078125,7.5810546875,7.564453125
3,7.6826171875,4.486328125,7.5185546875,7.626953125,8.3037109375,4.486328125,7.4091796875,7.654296875
4,7.80078125,4.4765625,7.5439453125,8.033203125,8.9033203125,4.4765625,7.7861328125,7.2880859375
5,7.509765625,4.525390625,7.662109375,7.23828125,7.5263671875,4.525390625,7.0341796875,7.697265625
6,7.7060546875,4.490234375,7.4814453125,7.982421875,7.404296875,4.490234375,7.2646484375,7.60546875
7,7.71875,4.5,7.3330078125,7.2763671875,8.7919921875,4.5,7.74609375,7.400390625
8,7.79296875,4.5390625,7.6484375,8.1220703125,8.1748046875,4.5390625,7.8525390625,7.4677734375
9,7.67578125,4.53515625,7.44921875,7.3447265625,8.314453125,4.53515625,7.212890625,7.734375
10,7.71875,4.529296875,7.3876953125,7.8544921875,7.4921875,4.529296875,7.666015625,7.931640625
11,7.765625,4.515625,7.73046875,7.751953125,8.86328125,4.515625,7.6044921875,7.0849609375
12,8.0830078125,4.52734375,7.59375,7.7744140625,7.5712890625,4.52734375,7.3603515625,7.8486328125
13,7.3916015625,4.53125,7.509765625,7.4345703125,8.85546875,4.53125,7.71484375,7.4609375
14,7.5478515625,4.474609375,7.5439453125,7.787109375,8.5205078125,4.474609375,7.0439453125,7.515625
15,7.890625,4.48046875,7.646484375,7.5087890625,8.091796875,4.48046875,7.7900390625,7.6806640625
16,7.7822265625,4.484375,7.5654296875,7.5283203125,7.802734375,4.484375,7.6005859375,7.94140625
17,7.646484375,4.478515625,7.6005859375,7.8896484375,8.490234375,4.478515625,7.55078125,7.109375
18,7.693359375,4.544921875,7.5078125,7.5869140625,8.0048828125,4.544921875,7.515625,7.6533203125
19,7.9248046875,4.51171875,7.517578125,7.7451171875,8.205078125,4.51171875,7.408203125,7.50390625
20,7.52734375,4.533203125,7.494140625,7.9091796875,7.88671875,4.533203125,7.58203125,7.4990234375
21,7.6826171875,4.513671875,7.376953125,7.3935546875,8.2265625,4.513671875,7.404296875,7.5390625
22,7.6318359375,4.5390625,7.7119140625,7.5791015625,8.4130859375,4.5390625,7.3720703125,7.9638671875
23,7.78515625,4.544921875,7.2783203125,7.62109375,7.77734375,4.544921875,7.767578125,6.8662109375
24,7.7314453125,4.5234375,7.5654296875,7.853515625,8.2548828125,4.5234375,7.41015625,7.4423828125
25,7.4365234375,4.51953125,7.6708984375,7.349609375,8.12890625,4.51953125,7.8349609375,7.6083984375
26,7.8505859375,4.5078125,7.4365234375,7.759765625,8.31640625,4.5078125,7.4658203125,7.6875
27,7.5654296875,4.515625,7.6689453125,7.7451171875,7.9736328125,4.515625,7.51171875,7.6728515625
28,8.0693359375,4.462890625,7.400390625,7.498046875,8.9091796875,4.462890625,7.5556640625,7.6572265625
29,7.4052734375,4.50390625,7.548828125,7.669921875,7.6474609375,4.50390625,7.2333984375,7.552734375
30,7.70703125,4.529296875,7.416015625,7.63671875,8.1142578125,4.529296875,7.5947265625,7.2392578125
31,7.759765625,4.54296875,7.49609375,7.59375,8.279296875,4.54296875,7.30078125,7.8984375
32,7.849609375,4.478515625,7.3349609375,7.46484375,8.8251953125,4.478515625,7.5732421875,7.0263671875
33,7.65234375,4.52734375,7.56640625,7.646484375,7.4501953125,4.52734375,7.7216796875,7.99609375
34,7.7548828125,4.515625,7.400390625,7.697265625,8.505859375,4.515625,7.935546875,7.8916015625
35,7.4794921875,4.529296875,7.521484375,7.71875,8.0,4.529296875,7.1259765625,7.19921875
36,7.9306640625,4.5078125,7.4912109375,7.6953125,8.2919921875,4.5078125,7.3232421875,7.6455078125
37,7.384765625,4.494140625,7.564453125,7.6337890625,8.3408203125,4.494140625,7.5732421875,7.6337890625
38,7.8447265625,4.513671875,7.5712890625,7.42578125,8.5654296875,4.513671875,7.3623046875,7.78515625
39,7.5888671875,4.5234375,7.376953125,7.96875,8.0,4.5234375,7.81640625,7.3935546875
40,7.751953125,4.51171875,7.5576171875,7.587890625,8.1357421875,4.51171875,7.7099609375,7.919921875
41,7.5029296875,4.490234375,7.4375,7.578125,8.16015625,4.490234375,7.525390625,7.34375
42,7.3505859375,4.517578125,7.630859375,7.2041015625,8.2548828125,4.517578125,7.39453125,7.716796875
43,7.9072265625,4.51171875,7.4462890625,7.9326171875,8.1494140625,4.51171875,7.5029296875,7.4580078125
44,7.6796875,4.509765625,7.5107421875,7.5263671875,7.734375,4.509765625,7.3310546875,7.6728515625
45,7.7353515625,4.4453125,7.4970703125,7.7431640625,8.7744140625,4.4453125,7.7099609375,7.42578125
46,7.478515625,4.5,7.76953125,7.404296875,7.9716796875,4.5,7.3349609375,7.478515625
47,7.9560546875,4.5078125,7.5244140625,7.6142578125,8.3349609375,4.5078125,7.9228515625,7.736328125
48,7.427734375,4.466796875,7.6640625,7.42578125,8.1533203125,4.466796875,7.435546875,7.400390625
49,7.62109375,4.5390625,7.4951171875,7.8271484375,8.16796875,4.5390625,7.3310546875,7.7626953125
50,7.666015625,4.498046875,7.560546875,7.5654296875,7.931640625,4.498046875,7.5732421875,7.578125
51,7.8779296875,4.50390625,7.4853515625,7.537109375,8.4033203125,4.50390625,7.701171875,7.533203125
52,7.8505859375,4.498046875,7.6357421875,7.517578125,7.28515625,4.498046875,8.173828125,7.328125
53,7.1982421875,4.50390625,7.44140625,7.8037109375,7.236328125,4.50390625,7.2333984375,7.78125
54,8.267578125,4.498046875,7.6201171875,7.380859375,7.0908203125,4.498046875,8.3720703125,7.0498046875
55,7.53515625,4.50390625,7.4580078125,7.6494140625,7.0556640625,4.50390625,8.6884765625,6.849609375
56,7.41015625,4.498046875,7.376953125,7.2890625,7.681640625,4.498046875,8.18359375,7.1083984375
57,7.12109375,4.50390625,7.171875,7.390625,6.8427734375,4.50390625,7.8857421875,6.9091796875
58,7.05078125,4.498046875,7.1533203125,7.5107421875,6.67578125,4.498046875,8.02734375,6.7646484375
59,7.5419921875,4.50390625,7.060546875,6.919921875,6.865234375,4.50390625,7.6513671875,6.970703125
60,6.482421875,4.498046875,7.2939453125,7.9560546875,6.6533203125,4.498046875,7.78125,7.099609375
61,6.4580078125,4.50390625,6.9990234375,7.5625,6.828125,4.50390625,7.7529296875,6.5556640625
62,6.4482421875,4.498046875,6.9736328125,7.7255859375,6.4267578125,4.498046875,7.8408203125,6.8388671875
63,6.607421875,4.50390625,7.55078125,7.2509765625,7.0458984375,4.50390625,7.8603515625,5.884765625
64,6.65625,4.498046875,7.3623046875,7.34765625,6.8056640625,4.498046875,7.921875,5.7744140625
65,6.251953125,4.50390625,7.2578125,7.125,6.44140625,4.50390625,7.802734375,6.0751953125
66,6.6572265625,4.498046875,7.1318359375,7.1748046875,6.671875,4.498046875,7.7587890625,5.8056640625
67,6.400390625,4.50390625,7.623046875,7.1259765625,6.5751953125,4.50390625,7.9072265625,5.833984375
68,6.77734375,4.498046875,7.3642578125,7.5693359375,6.80078125,4.498046875,7.9365234375,6.0703125
69,6.2607421875,4.50390625,7.3662109375,6.7392578125,6.4619140625,4.50390625,7.5771484375,5.4853515625
70,6.205078125,4.498046875,7.5439453125,7.09375,6.9091796875,4.498046875,7.6494140625,5.42578125
71,6.6845703125,4.50390625,7.20703125,7.15625,6.3486328125,4.50390625,7.44921875,5.9814453125
72,6.5712890625,4.498046875,7.244140625,6.9072265625,6.7333984375,4.498046875,7.4609375,5.5830078125
73,6.4365234375,4.50390625,7.5146484375,7.02734375,6.1318359375,4.50390625,7.615234375,5.8994140625
74,6.9169921875,4.498046875,7.099609375,7.005859375,6.36328125,4.498046875,7.66015625,5.9794921875
75,6.11328125,4.50390625,7.1025390625,7.1240234375,6.3388671875,4.50390625,7.3251953125,5.4609375
76,6.30859375,4.498046875,7.3056640625,7.0576171875,6.1962890625,4.498046875,7.4072265625,5.5712890625
77,6.7197265625,4.50390625,7.0810546875,6.76171875,6.3291015625,4.50390625,7.404296875,5.8271484375
78,6.271484375,4.498046875,7.2607421875,6.9375,6.482421875,4.498046875,7.5634765625,5.693359375
79,6.3544921875,4.50390625,7.20703125,6.580078125,5.9208984375,4.50390625,7.4921875,5.46484375
80,6.306640625,4.498046875,7.423828125,6.69921875,5.9306640625,4.498046875,7.603515625,5.810546875
81,6.1728515625,4.50390625,7.0966796875,6.6640625,6.0771484375,4.50390625,7.2607421875,5.55859375
82,6.3427734375,4.498046875,7.26171875,6.6630859375,6.3134765625,4.498046875,7.3359375,5.3310546875
83,6.15625,4.50390625,7.2783203125,6.564453125,5.9462890625,4.50390625,7.173828125,5.83984375
84,6.322265625,4.498046875,7.666015625,6.4443359375,5.849609375,4.498046875,7.1640625,5.318359375
85,6.2861328125,4.50390625,6.8583984375,6.8525390625,6.23828125,4.50390625,7.4228515625,5.458984375
86,6.40234375,4.498046875,7.5625,6.416015625,5.8994140625,4.498046875,7.1171875,5.1865234375
87,6.203125,4.50390625,7.4814453125,6.5048828125,6.1748046875,4.50390625,7.2236328125,5.6494140625
88,6.1484375,4.498046875,7.4228515625,6.7177734375,5.908203125,4.498046875,7.09375,5.2744140625
89,6.3134765625,4.50390625,7.55859375,5.9658203125,5.884765625,4.50390625,7.232421875,5.3671875
90,6.2158203125,4.498046875,7.4208984375,5.8974609375,6.1015625,4.498046875,7.1025390625,5.4091796875
91,6.3017578125,4.50390625,7.4267578125,6.0380859375,5.7978515625,4.50390625,7.1396484375,5.2197265625
92,6.048828125,4.498046875,7.51171875,6.1591796875,5.9091796875,4.498046875,6.9765625,5.3818359375
