,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
0,6.158203125,4.498046875,6.73828125,8.9541015625,7.2158203125,4.498046875,7.568359375,8.1865234375
1,5.9658203125,4.498046875,6.435546875,8.912109375,7.7109375,4.498046875,7.5966796875,7.7451171875
2,6.009765625,4.498046875,6.3984375,8.4326171875,6.7685546875,4.498046875,7.52734375,7.431640625
3,6.0390625,4.498046875,6.6708984375,8.7626953125,7.2509765625,4.498046875,7.3984375,7.576171875
4,5.8916015625,4.498046875,6.3359375,8.8818359375,7.1591796875,4.498046875,7.1103515625,7.2451171875
5,5.5791015625,4.498046875,6.5263671875,8.94140625,7.138671875,4.498046875,7.4892578125,6.9599609375
6,5.5234375,4.498046875,6.13671875,8.826171875,6.26171875,4.498046875,7.46875,7.328125
7,5.5234375,4.498046875,6.244140625,8.4326171875,6.26171875,4.498046875,7.234375,6.9599609375
8,5.5234375,4.498046875,6.24609375,8.4326171875,6.26171875,4.498046875,7.21875,6.9599609375
9,5.5234375,4.498046875,6.4716796875,8.4326171875,6.26171875,4.498046875,7.3740234375,6.9599609375
10,5.5234375,4.498046875,5.912109375,8.4326171875,6.26171875,4.498046875,7.11328125,6.9599609375
11,5.5234375,4.498046875,6.1142578125,8.4326171875,6.26171875,4.498046875,7.1611328125,6.9599609375
12,5.5234375,4.498046875,5.9423828125,8.4326171875,6.26171875,4.498046875,7.291015625,6.9599609375
13,5.8759765625,4.498046875,5.912109375,7.8916015625,6.26171875,4.498046875,7.1103515625,6.9599609375
14,5.8271484375,4.498046875,5.912109375,7.392578125,6.26171875,4.498046875,7.1103515625,6.9599609375
15,5.5634765625,4.498046875,5.912109375,7.7470703125,6.26171875,4.498046875,7.1103515625,6.9599609375
16,5.7919921875,4.498046875,5.912109375,8.1171875,6.26171875,4.498046875,7.1103515625,6.9599609375
17,5.6318359375,4.498046875,5.912109375,8.0341796875,6.26171875,4.498046875,7.1103515625,6.9599609375
18,5.9150390625,4.498046875,5.912109375,7.8173828125,6.26171875,4.498046875,7.1103515625,6.9599609375
19,5.5234375,4.498046875,5.98046875,7.392578125,6.26171875,4.498046875,7.1103515625,6.9599609375
20,5.5234375,4.498046875,5.96484375,7.392578125,6.26171875,4.498046875,7.1103515625,6.9599609375
21,5.5234375,4.498046875,5.8837890625,7.392578125,6.26171875,4.498046875,7.1103515625,6.9599609375
22,5.5234375,4.498046875,6.2802734375,7.392578125,6.6865234375,4.498046875,7.1103515625,6.669921875
23,5.5234375,4.498046875,5.96484375,7.392578125,6.2978515625,4.498046875,7.1103515625,6.298828125
