,ansatz_0a_su2,ansatz_0b_su2,ansatz_0c_su2,ansatz_0d_su2,ansatz_1a_su2,ansatz_1b_su2,ansatz_1c_su2,ansatz_1d_su2
0,6.43115234375,3.37451171875,6.2529296875,6.1845703125,6.20947265625,3.37451171875,6.4111328125,6.279296875
1,6.376953125,3.3759765625,6.47216796875,6.328125,6.55810546875,3.3759765625,6.05615234375,6.4892578125
2,6.427734375,3.376953125,6.326171875,6.10009765625,6.2119140625,3.376953125,6.28369140625,6.86328125
3,6.2783203125,3.37158203125,6.05126953125,6.15283203125,6.5517578125,3.37158203125,6.27197265625,5.8310546875
4,6.25927734375,3.369140625,6.18798828125,6.35302734375,6.1083984375,3.369140625,6.47119140625,6.24365234375
5,6.44580078125,3.38134765625,6.39404296875,6.1611328125,6.55322265625,3.38134765625,6.10986328125,6.43701171875
6,6.3896484375,3.37255859375,6.32470703125,6.3916015625,6.21142578125,3.37255859375,6.17333984375,6.53173828125
7,6.34716796875,3.375,6.25927734375,5.8994140625,6.36669921875,3.375,6.26953125,5.984375
8,6.2783203125,3.384765625,6.38623046875,6.423828125,6.20556640625,3.384765625,6.373046875,6.4814453125
9,6.46142578125,3.3837890625,6.2841796875,5.8466796875,6.37744140625,3.3837890625,6.11669921875,6.0673828125
10,6.2080078125,3.38232421875,6.15283203125,6.19482421875,6.14990234375,3.38232421875,6.498046875,6.71435546875
11,6.42919921875,3.37890625,6.57470703125,6.10693359375,6.48291015625,3.37890625,6.06591796875,5.81982421875
12,6.32958984375,3.3818359375,6.392578125,6.0625,6.2802734375,3.3818359375,6.46923828125,6.0224609375
13,6.3515625,3.3828125,6.2685546875,6.3408203125,6.388671875,3.3828125,6.2197265625,6.5517578125
14,6.3271484375,3.36865234375,6.26123046875,5.9345703125,6.37841796875,3.36865234375,6.41845703125,6.1220703125
15,6.39794921875,3.3701171875,6.5341796875,6.42529296875,6.16455078125,3.3701171875,6.02734375,6.56396484375
16,6.41845703125,3.37109375,6.26416015625,6.02490234375,6.373046875,3.37109375,6.49267578125,6.50537109375
17,6.36572265625,3.36962890625,6.24755859375,6.19970703125,6.05615234375,3.36962890625,5.98876953125,6.306640625
18,6.20654296875,3.38623046875,6.337890625,6.5947265625,6.58203125,3.38623046875,6.287109375,6.13818359375
19,6.27490234375,3.3779296875,6.19970703125,5.8779296875,6.0634765625,3.3779296875,6.14013671875,6.3798828125
20,6.28759765625,3.38330078125,6.21728515625,5.810546875,6.302734375,3.38330078125,6.08642578125,6.19140625
21,6.3896484375,3.37841796875,6.212890625,6.34130859375,6.345703125,3.37841796875,6.38232421875,6.40576171875
22,6.26904296875,3.384765625,6.21435546875,6.322265625,5.96337890625,3.384765625,6.09228515625,6.81103515625
23,6.41015625,3.38623046875,6.13037109375,5.91357421875,6.54541015625,3.38623046875,6.42041015625,5.71728515625
24,6.3583984375,3.380859375,6.37744140625,6.15625,6.3193359375,3.380859375,6.33203125,6.0029296875
25,6.373046875,3.3798828125,6.24951171875,6.150390625,6.18603515625,3.3798828125,6.23046875,6.6884765625
26,6.38427734375,3.376953125,6.20849609375,6.3271484375,6.48974609375,3.376953125,6.44677734375,6.19140625
27,6.4130859375,3.37890625,6.36572265625,6.0048828125,6.134765625,3.37890625,6.001953125,6.490234375
28,6.38916015625,3.36572265625,6.3115234375,6.173828125,6.33154296875,3.36572265625,6.03271484375,6.45458984375
29,6.345703125,3.3759765625,6.30712890625,6.24267578125,6.1572265625,3.3759765625,6.478515625,6.2099609375
30,6.4736328125,3.38232421875,6.22509765625,6.12255859375,6.55126953125,3.38232421875,6.2255859375,6.47314453125
31,6.333984375,3.3857421875,6.4453125,6.181640625,6.2333984375,3.3857421875,6.2841796875,6.16015625
32,6.23681640625,3.36962890625,6.2783203125,6.22314453125,6.2958984375,3.36962890625,6.4560546875,6.6123046875
33,6.40625,3.3818359375,6.34521484375,6.2333984375,6.2646484375,3.3818359375,5.97265625,6.208984375
34,6.44091796875,3.37890625,6.3173828125,6.12646484375,6.3359375,3.37890625,6.43310546875,6.68994140625
35,6.1416015625,3.38232421875,6.3388671875,6.17138671875,6.36181640625,3.38232421875,6.14208984375,5.96142578125
36,6.40087890625,3.376953125,6.22900390625,6.20849609375,6.4375,3.376953125,6.0322265625,6.4189453125
37,6.37158203125,3.37353515625,6.16357421875,6.1103515625,6.2216796875,3.37353515625,6.54541015625,6.04052734375
38,6.2470703125,3.37841796875,6.3408203125,6.568359375,6.5400390625,3.37841796875,6.533203125,6.23681640625
39,6.36474609375,3.380859375,6.41455078125,5.869140625,6.14111328125,3.380859375,5.99072265625,6.35693359375
40,6.392578125,3.3779296875,6.35205078125,6.076171875,6.53759765625,3.3779296875,6.08984375,5.83203125
41,6.2822265625,3.37255859375,6.23876953125,6.1669921875,5.96435546875,3.37255859375,6.4208984375,6.8056640625
42,6.33056640625,3.37939453125,6.26171875,5.908203125,6.546875,3.37939453125,6.47998046875,5.970703125
43,6.36328125,3.3779296875,6.46044921875,6.39404296875,6.18408203125,3.3779296875,5.927734375,6.53271484375
44,6.23193359375,3.37744140625,6.39794921875,6.55810546875,6.18212890625,3.37744140625,6.2587890625,6.541015625
45,6.36474609375,3.361328125,6.08984375,5.787109375,6.44091796875,3.361328125,6.3544921875,6.046875
46,6.345703125,3.3759765625,6.38671875,6.24267578125,6.1572265625,3.3759765625,6.32421875,6.2099609375
47,6.38916015625,3.36572265625,5.94921875,6.173828125,6.33154296875,3.36572265625,6.259765625,6.45458984375
48,6.28759765625,3.375,6.3046875,5.98583984375,5.9326171875,3.375,6.0009765625,6.63330078125
49,6.3984375,3.376953125,6.14599609375,6.35791015625,6.6640625,3.376953125,6.5009765625,6.04296875
50,6.365234375,3.37451171875,6.39306640625,6.42529296875,6.36376953125,3.37451171875,6.22216796875,6.4384765625
51,6.19384765625,3.3759765625,6.23095703125,5.95849609375,6.14013671875,3.3759765625,6.26513671875,6.21044921875
52,5.958984375,3.37451171875,6.279296875,6.23583984375,6.4921875,3.37451171875,6.26806640625,6.005859375
53,6.1533203125,3.3759765625,6.15478515625,6.3876953125,5.63720703125,3.3759765625,6.15625,6.3994140625
54,6.24072265625,3.37451171875,6.14404296875,6.2978515625,6.65771484375,3.37451171875,6.0888671875,5.89892578125
55,5.89501953125,3.3759765625,6.3955078125,6.2890625,6.677734375,3.3759765625,6.2724609375,5.4697265625
56,6.18994140625,3.37451171875,6.46826171875,6.06689453125,6.7470703125,3.37451171875,5.9619140625,5.21728515625
57,6.26318359375,3.3759765625,6.03125,6.3974609375,6.6015625,3.3759765625,6.04736328125,5.568359375
58,6.1591796875,3.37451171875,6.39306640625,5.7900390625,6.6826171875,3.37451171875,6.05224609375,4.96826171875
59,6.0419921875,3.3759765625,6.4921875,6.02197265625,6.69140625,3.3759765625,5.90966796875,5.42822265625
60,6.099609375,3.37451171875,6.4111328125,5.54541015625,6.388671875,3.37451171875,6.162109375,5.125
61,5.81005859375,3.3759765625,6.27783203125,6.04638671875,6.88916015625,3.3759765625,5.8701171875,4.78515625
62,5.935546875,3.37451171875,6.37353515625,5.740234375,6.0546875,3.37451171875,6.02392578125,4.849609375
63,5.951171875,3.3759765625,6.2353515625,5.44189453125,6.21484375,3.3759765625,5.76025390625,4.92138671875
64,6.044921875,3.37451171875,6.384765625,5.49365234375,5.84033203125,3.37451171875,5.73876953125,4.716796875
65,5.8818359375,3.3759765625,6.2880859375,5.490234375,6.2890625,3.3759765625,5.81201171875,4.9736328125
66,6.04541015625,3.37451171875,6.50927734375,5.662109375,5.76708984375,3.37451171875,5.73095703125,5.03466796875
67,6.001953125,3.3759765625,6.24755859375,5.43212890625,5.6328125,3.3759765625,5.69921875,4.45068359375
