,ansatz_0a_3f,ansatz_0b_3f,ansatz_0c_3f,ansatz_0d_3f,ansatz_1a_3f,ansatz_1b_3f,ansatz_1c_3f,ansatz_1d_3f
202,4.451171875,4.498046875,4.58984375,4.451171875,4.5068359375,4.498046875,4.630859375,4.5068359375
203,4.443359375,4.498046875,4.7607421875,4.443359375,4.6337890625,4.498046875,4.5712890625,4.6337890625
204,4.4609375,4.498046875,4.5,4.4609375,4.4921875,4.498046875,4.6337890625,4.4921875
205,4.453125,4.498046875,4.5517578125,4.453125,4.6025390625,4.498046875,4.552734375,4.6025390625
206,4.455078125,4.498046875,4.49609375,4.455078125,4.4921875,4.498046875,4.798828125,4.4921875
207,4.455078125,4.498046875,4.521484375,4.455078125,4.5107421875,4.498046875,4.552734375,4.5107421875
208,4.447265625,4.498046875,4.578125,4.447265625,4.4921875,4.498046875,4.71875,4.4921875
209,4.447265625,4.498046875,4.55078125,4.447265625,4.58984375,4.498046875,4.552734375,4.58984375
210,4.48046875,4.498046875,4.486328125,4.48046875,4.5,4.498046875,4.78515625,4.5
211,4.443359375,4.498046875,4.6201171875,4.443359375,4.58203125,4.498046875,4.552734375,4.58203125
212,4.4658203125,4.498046875,4.4921875,4.4658203125,4.501953125,4.498046875,4.7880859375,4.501953125
213,4.4453125,4.498046875,4.625,4.4453125,4.578125,4.498046875,4.552734375,4.578125
214,4.48046875,4.498046875,4.6162109375,4.48046875,4.4931640625,4.498046875,4.60546875,4.4931640625
215,4.453125,4.498046875,4.5107421875,4.453125,4.5927734375,4.498046875,4.552734375,4.5927734375
216,4.447265625,4.498046875,4.4921875,4.447265625,4.50390625,4.498046875,4.552734375,4.50390625
217,4.443359375,4.498046875,4.6357421875,4.443359375,4.5625,4.498046875,4.5703125,4.5625
218,4.443359375,4.498046875,4.4658203125,4.443359375,4.50390625,4.498046875,4.7861328125,4.50390625
219,4.4482421875,4.498046875,4.541015625,4.4482421875,4.5830078125,4.498046875,4.560546875,4.5830078125
220,4.451171875,4.498046875,4.5927734375,4.451171875,4.5029296875,4.498046875,4.7646484375,4.5029296875
221,4.443359375,4.498046875,4.54296875,4.443359375,4.591796875,4.498046875,4.564453125,4.591796875
222,4.4453125,4.498046875,4.6162109375,4.4453125,4.505859375,4.498046875,4.611328125,4.505859375
223,4.44921875,4.498046875,4.5908203125,4.44921875,4.5322265625,4.498046875,4.552734375,4.5322265625
224,4.4453125,4.498046875,4.490234375,4.4453125,4.4951171875,4.498046875,4.5927734375,4.4951171875
225,4.447265625,4.498046875,4.638671875,4.447265625,4.5029296875,4.498046875,4.552734375,4.5029296875
226,4.447265625,4.498046875,4.583984375,4.447265625,4.501953125,4.498046875,4.6171875,4.501953125
227,4.45703125,4.498046875,4.51953125,4.45703125,4.5126953125,4.498046875,4.552734375,4.5126953125
228,4.4453125,4.498046875,4.5703125,4.4453125,4.5029296875,4.498046875,4.8310546875,4.5029296875
229,4.451171875,4.498046875,4.62890625,4.451171875,4.482421875,4.498046875,4.5986328125,4.482421875
230,4.443359375,4.498046875,4.5107421875,4.443359375,4.482421875,4.498046875,4.642578125,4.482421875
231,4.451171875,4.498046875,4.5341796875,4.451171875,4.482421875,4.498046875,4.548828125,4.482421875
232,4.44921875,4.498046875,4.6142578125,4.44921875,4.482421875,4.498046875,4.7314453125,4.482421875
233,4.451171875,4.498046875,4.4716796875,4.451171875,4.484375,4.498046875,4.6875,4.484375
234,4.4453125,4.498046875,4.498046875,4.4453125,4.482421875,4.498046875,4.6904296875,4.482421875
235,4.458984375,4.498046875,4.5,4.458984375,4.4921875,4.498046875,4.673828125,4.4921875
236,4.443359375,4.498046875,4.5078125,4.443359375,4.482421875,4.498046875,4.548828125,4.482421875
237,4.45703125,4.498046875,4.4755859375,4.45703125,4.4921875,4.498046875,4.6396484375,4.4921875
238,4.451171875,4.498046875,4.515625,4.451171875,4.4765625,4.498046875,4.55859375,4.4765625
239,4.462890625,4.498046875,4.5224609375,4.462890625,4.509765625,4.498046875,4.69921875,4.509765625
240,4.447265625,4.498046875,4.5927734375,4.447265625,4.490234375,4.498046875,4.5458984375,4.490234375
241,4.455078125,4.498046875,4.4794921875,4.455078125,4.5283203125,4.498046875,4.6396484375,4.5283203125
242,4.451171875,4.498046875,4.4697265625,4.451171875,4.5,4.498046875,4.5458984375,4.5
243,4.4541015625,4.498046875,4.498046875,4.4541015625,4.5986328125,4.498046875,4.607421875,4.5986328125
244,4.447265625,4.498046875,4.5009765625,4.447265625,4.5224609375,4.498046875,4.5458984375,4.5224609375
245,4.4716796875,4.498046875,4.5029296875,4.4716796875,4.4921875,4.498046875,4.5908203125,4.4921875
246,4.447265625,4.498046875,4.5361328125,4.447265625,4.4892578125,4.498046875,4.55078125,4.4892578125
247,4.453125,4.498046875,4.49609375,4.453125,4.4931640625,4.498046875,4.5537109375,4.4931640625
248,4.4453125,4.498046875,4.5927734375,4.4453125,4.5576171875,4.498046875,4.544921875,4.5576171875
249,4.4453125,4.498046875,4.478515625,4.4453125,4.482421875,4.498046875,4.5302734375,4.482421875
