,ansatz_0a_su2_3f,ansatz_0b_su2_3f,ansatz_0c_su2_3f,ansatz_0d_su2_3f,ansatz_1a_su2_3f,ansatz_1b_su2_3f,ansatz_1c_su2_3f,ansatz_1d_su2_3f
0,7.55078125,4.498046875,7.59375,7.5986328125,7.4208984375,4.498046875,7.560546875,7.888671875
1,7.4912109375,4.498046875,7.634765625,7.7333984375,7.099609375,4.498046875,7.3203125,7.7294921875
2,7.5849609375,4.498046875,7.5595703125,7.4404296875,7.1162109375,4.498046875,7.3193359375,7.8623046875
3,7.2197265625,4.498046875,7.39453125,7.626953125,7.0634765625,4.498046875,7.4462890625,7.859375
4,7.5087890625,4.498046875,7.4248046875,7.83984375,7.3525390625,4.498046875,7.07421875,7.55078125
5,7.4775390625,4.498046875,7.5732421875,7.6650390625,7.2353515625,4.498046875,7.1962890625,7.7998046875
6,7.4189453125,4.498046875,7.3876953125,7.3984375,7.6572265625,4.498046875,7.1396484375,7.708984375
7,7.517578125,4.498046875,7.3876953125,7.5380859375,7.2470703125,4.498046875,7.0771484375,7.58984375
8,7.3017578125,4.498046875,7.447265625,7.6015625,7.0888671875,4.498046875,7.1328125,7.341796875
9,7.369140625,4.498046875,7.4345703125,7.4912109375,7.0126953125,4.498046875,7.052734375,7.109375
10,7.025390625,4.498046875,7.380859375,7.4580078125,7.369140625,4.498046875,7.3603515625,7.1708984375
11,7.083984375,4.498046875,7.513671875,7.2138671875,7.4267578125,4.498046875,6.6494140625,7.123046875
12,6.9814453125,4.498046875,7.314453125,7.5224609375,7.181640625,4.498046875,6.669921875,7.0966796875
13,6.935546875,4.498046875,7.4345703125,7.4599609375,7.26171875,4.498046875,7.2470703125,7.2275390625
14,7.2568359375,4.498046875,7.408203125,7.2861328125,6.958984375,4.498046875,6.6953125,7.2001953125
15,7.0439453125,4.498046875,7.3798828125,7.3818359375,7.1943359375,4.498046875,6.98828125,7.6298828125
16,7.0224609375,4.498046875,7.4130859375,7.0380859375,6.90234375,4.498046875,6.841796875,7.0546875
17,6.7802734375,4.498046875,7.24609375,7.166015625,7.3447265625,4.498046875,6.94140625,7.0078125
18,7.10546875,4.498046875,7.4482421875,6.9482421875,7.3623046875,4.498046875,6.6064453125,6.8642578125
19,6.693359375,4.498046875,7.3037109375,7.2626953125,7.3095703125,4.498046875,6.541015625,7.3818359375
20,6.7998046875,4.498046875,7.3447265625,7.2451171875,7.0634765625,4.498046875,6.66796875,6.9296875
21,6.6845703125,4.498046875,7.322265625,7.11328125,7.2451171875,4.498046875,6.666015625,6.7568359375
22,6.6533203125,4.498046875,7.259765625,7.0185546875,7.0908203125,4.498046875,6.609375,6.9521484375
23,7.0234375,4.498046875,7.3154296875,6.8701171875,7.119140625,4.498046875,7.0322265625,6.33984375
24,6.7607421875,4.498046875,7.2099609375,7.1181640625,6.8505859375,4.498046875,6.9677734375,6.25390625
25,6.7138671875,4.498046875,7.4072265625,6.548828125,5.8544921875,4.498046875,6.861328125,6.224609375
26,6.5693359375,4.498046875,7.33984375,6.7080078125,5.7734375,4.498046875,6.712890625,6.2744140625
27,6.5810546875,4.498046875,7.3369140625,6.6650390625,5.9658203125,4.498046875,6.5615234375,6.359375
28,6.619140625,4.498046875,7.3408203125,6.5517578125,6.0771484375,4.498046875,6.38671875,6.3037109375
29,6.6201171875,4.498046875,7.2802734375,6.5869140625,5.9150390625,4.498046875,6.4873046875,6.142578125
30,6.6982421875,4.498046875,7.4033203125,6.556640625,6.0126953125,4.498046875,6.3681640625,6.1845703125
