,ansatz_0a_3f,ansatz_0b_3f,ansatz_0c_3f,ansatz_0d_3f,ansatz_1a_3f,ansatz_1b_3f,ansatz_1c_3f,ansatz_1d_3f
0,5.921875,4.498046875,7.38671875,5.921875,7.8662109375,4.498046875,7.927734375,7.8662109375
1,6.462890625,4.50390625,6.767578125,6.462890625,7.751953125,4.50390625,8.6220703125,7.751953125
2,6.080078125,4.5078125,7.517578125,6.080078125,7.7490234375,4.5078125,8.4365234375,7.7490234375
3,5.994140625,4.486328125,6.55078125,5.994140625,7.578125,4.486328125,8.1181640625,7.578125
4,6.083984375,4.4765625,6.70703125,6.083984375,7.640625,4.4765625,8.181640625,7.640625
5,6.294921875,4.525390625,7.59375,6.294921875,7.9111328125,4.525390625,8.1513671875,7.9111328125
6,6.8232421875,4.490234375,7.806640625,6.8232421875,7.41796875,4.490234375,8.0,7.41796875
7,5.6689453125,4.5,6.24609375,5.6689453125,8.11328125,4.5,8.37109375,8.11328125
8,5.9765625,4.5390625,6.96875,5.9765625,7.45703125,4.5390625,8.4453125,7.45703125
9,6.49609375,4.53515625,7.2783203125,6.49609375,7.9072265625,4.53515625,7.9267578125,7.9072265625
10,5.8505859375,4.529296875,7.328125,5.8505859375,7.9931640625,4.529296875,7.8662109375,7.9931640625
11,6.39453125,4.515625,7.134765625,6.39453125,7.5078125,4.515625,8.419921875,7.5078125
12,6.5546875,4.52734375,6.8515625,6.5546875,7.486328125,4.52734375,8.3642578125,7.486328125
13,5.9541015625,4.53125,7.59765625,5.9541015625,7.89453125,4.53125,8.0498046875,7.89453125
14,6.3798828125,4.474609375,7.01953125,6.3798828125,7.1279296875,4.474609375,8.294921875,7.1279296875
15,5.5517578125,4.48046875,7.4453125,5.5517578125,8.1875,4.48046875,7.7451171875,8.1875
16,6.5302734375,4.484375,6.7275390625,6.5302734375,7.6474609375,4.484375,8.5,7.6474609375
17,6.3056640625,4.478515625,7.5439453125,6.3056640625,7.6337890625,4.478515625,7.314453125,7.6337890625
18,5.609375,4.544921875,7.1416015625,5.609375,8.0205078125,4.544921875,8.45703125,8.0205078125
19,6.6064453125,4.51171875,7.4375,6.6064453125,7.2197265625,4.51171875,7.625,7.2197265625
20,6.3212890625,4.533203125,7.7568359375,6.3212890625,7.5791015625,4.533203125,8.2392578125,7.5791015625
21,6.0478515625,4.513671875,6.7744140625,6.0478515625,7.822265625,4.513671875,7.9287109375,7.822265625
22,5.513671875,4.5390625,7.2861328125,5.513671875,7.7763671875,4.5390625,8.3701171875,7.7763671875
23,6.6044921875,4.544921875,6.9599609375,6.6044921875,7.478515625,4.544921875,7.4853515625,7.478515625
24,6.513671875,4.5234375,6.8701171875,6.513671875,7.845703125,4.5234375,8.4970703125,7.845703125
25,5.7412109375,4.51953125,7.51953125,5.7412109375,7.7421875,4.51953125,7.876953125,7.7421875
26,6.3095703125,4.5078125,6.970703125,6.3095703125,7.8681640625,4.5078125,8.3701171875,7.8681640625
27,6.3857421875,4.515625,7.3017578125,6.3857421875,7.4697265625,4.515625,7.8974609375,7.4697265625
28,5.88671875,4.462890625,7.15625,5.88671875,7.81640625,4.462890625,8.1708984375,7.81640625
29,6.28515625,4.50390625,7.361328125,6.28515625,7.8193359375,4.50390625,7.861328125,7.8193359375
30,6.2314453125,4.529296875,7.0986328125,6.2314453125,7.9248046875,4.529296875,7.8623046875,7.9248046875
31,5.8916015625,4.54296875,6.98828125,5.8916015625,7.6826171875,4.54296875,8.55078125,7.6826171875
32,6.6240234375,4.478515625,7.1318359375,6.6240234375,8.208984375,4.478515625,7.6611328125,8.208984375
33,6.1171875,4.52734375,6.7802734375,6.1171875,7.21875,4.52734375,8.3984375,7.21875
34,6.982421875,4.515625,7.298828125,6.982421875,8.0,4.515625,7.8447265625,8.0
35,5.919921875,4.529296875,6.9248046875,5.919921875,7.234375,4.529296875,8.1025390625,7.234375
36,6.39453125,4.5078125,6.4833984375,6.39453125,7.4228515625,4.5078125,8.4775390625,7.4228515625
37,5.7802734375,4.494140625,7.73046875,5.7802734375,8.029296875,4.494140625,7.8388671875,8.029296875
38,6.611328125,4.513671875,7.0126953125,6.611328125,7.34375,4.513671875,8.2822265625,7.34375
39,6.314453125,4.5234375,7.2294921875,6.314453125,7.720703125,4.5234375,7.330078125,7.720703125
40,6.0673828125,4.51171875,7.607421875,6.0673828125,7.2548828125,4.51171875,7.7353515625,7.2548828125
41,5.8828125,4.490234375,6.677734375,5.8828125,7.8095703125,4.490234375,8.068359375,7.8095703125
42,6.3271484375,4.517578125,6.52734375,6.3271484375,7.7294921875,4.517578125,8.6005859375,7.7294921875
43,5.8837890625,4.51171875,7.8369140625,5.8837890625,7.509765625,4.51171875,7.865234375,7.509765625
44,5.755859375,4.509765625,6.9169921875,5.755859375,7.7041015625,4.509765625,8.193359375,7.7041015625
45,6.5185546875,4.4453125,7.568359375,6.5185546875,7.80078125,4.4453125,8.357421875,7.80078125
46,6.0830078125,4.5,7.4912109375,6.0830078125,7.619140625,4.5,7.3818359375,7.619140625
47,6.3193359375,4.5078125,7.037109375,6.3193359375,7.4296875,4.5078125,8.4638671875,7.4296875
48,6.5634765625,4.466796875,7.9072265625,6.5634765625,7.3115234375,4.466796875,8.5888671875,7.3115234375
49,5.3564453125,4.5390625,6.333984375,5.3564453125,7.244140625,4.5390625,7.61328125,7.244140625
50,6.3720703125,4.498046875,7.423828125,6.3720703125,7.150390625,4.498046875,8.39453125,7.150390625
51,6.001953125,4.50390625,6.7919921875,6.001953125,8.681640625,4.50390625,8.0390625,8.681640625
52,6.4912109375,4.498046875,6.9169921875,6.4912109375,7.958984375,4.498046875,7.71484375,7.958984375
53,5.5693359375,4.50390625,6.7138671875,5.5693359375,9.1611328125,4.50390625,8.5234375,9.1611328125
54,5.9677734375,4.498046875,7.1455078125,5.9677734375,7.59375,4.498046875,6.185546875,7.59375
55,5.326171875,4.50390625,6.3203125,5.326171875,7.1376953125,4.50390625,7.3837890625,7.1376953125
56,6.037109375,4.498046875,6.3115234375,6.037109375,7.345703125,4.498046875,6.8134765625,7.345703125
57,5.107421875,4.50390625,6.189453125,5.107421875,6.4580078125,4.50390625,6.6826171875,6.4580078125
58,6.14453125,4.498046875,6.4853515625,6.14453125,5.9072265625,4.498046875,7.2822265625,5.9072265625
59,6.515625,4.50390625,6.037109375,6.515625,6.1357421875,4.50390625,6.3125,6.1357421875
60,5.71484375,4.498046875,6.3662109375,5.71484375,5.591796875,4.498046875,6.4072265625,5.591796875
61,6.5341796875,4.50390625,6.3876953125,6.5341796875,6.220703125,4.50390625,6.607421875,6.220703125
62,6.19921875,4.498046875,5.89453125,6.19921875,4.955078125,4.498046875,6.3505859375,4.955078125
63,5.5751953125,4.50390625,6.599609375,5.5751953125,6.162109375,4.50390625,6.6162109375,6.162109375
64,6.0908203125,4.498046875,6.0478515625,6.0908203125,8.7880859375,4.498046875,5.9296875,8.7880859375
65,5.42578125,4.50390625,5.6572265625,5.42578125,8.3681640625,4.50390625,6.591796875,8.3681640625
66,5.19921875,4.498046875,6.046875,5.19921875,7.8759765625,4.498046875,5.927734375,7.8759765625
67,5.8203125,4.50390625,5.7822265625,5.8203125,8.3408203125,4.50390625,5.935546875,8.3408203125
68,5.05078125,4.498046875,5.6337890625,5.05078125,7.876953125,4.498046875,6.22265625,7.876953125
69,5.2421875,4.50390625,5.767578125,5.2421875,7.478515625,4.50390625,5.767578125,7.478515625
70,5.0947265625,4.498046875,5.75390625,5.0947265625,6.9443359375,4.498046875,5.5556640625,6.9443359375
71,5.58203125,4.50390625,5.720703125,5.58203125,8.0224609375,4.50390625,6.2939453125,8.0224609375
72,5.1220703125,4.498046875,5.451171875,5.1220703125,6.49609375,4.498046875,5.673828125,6.49609375
73,5.2490234375,4.50390625,6.5810546875,5.2490234375,6.333984375,4.50390625,5.775390625,6.333984375
74,5.513671875,4.498046875,6.015625,5.513671875,6.46875,4.498046875,5.677734375,6.46875
75,4.9228515625,4.50390625,5.8603515625,4.9228515625,6.6884765625,4.50390625,5.7939453125,6.6884765625
76,5.1416015625,4.498046875,6.0234375,5.1416015625,6.681640625,4.498046875,6.041015625,6.681640625
77,4.873046875,4.50390625,5.93359375,4.873046875,6.30859375,4.50390625,5.5576171875,6.30859375
78,5.2666015625,4.498046875,6.2265625,5.2666015625,6.2548828125,4.498046875,5.9296875,6.2548828125
79,4.7646484375,4.50390625,5.6962890625,4.7646484375,6.41796875,4.50390625,5.7548828125,6.41796875
80,4.849609375,4.498046875,5.884765625,4.849609375,6.3447265625,4.498046875,6.06640625,6.3447265625
81,4.9462890625,4.50390625,5.8603515625,4.9462890625,6.4345703125,4.50390625,5.5234375,6.4345703125
82,5.0185546875,4.498046875,5.8837890625,5.0185546875,6.3564453125,4.498046875,5.46484375,6.3564453125
83,4.708984375,4.50390625,5.8876953125,4.708984375,6.13671875,4.50390625,5.8505859375,6.13671875
84,4.7626953125,4.498046875,5.9853515625,4.7626953125,6.0400390625,4.498046875,5.5556640625,6.0400390625
85,4.96484375,4.50390625,5.6630859375,4.96484375,6.54296875,4.50390625,5.4853515625,6.54296875
86,4.98046875,4.498046875,5.8427734375,4.98046875,6.14453125,4.498046875,5.5703125,6.14453125
87,4.60546875,4.50390625,5.6904296875,4.60546875,5.96875,4.50390625,5.4892578125,5.96875
