,ansatz_2a,ansatz_2b,ansatz_3c,ansatz_3b,ansatz_4a,ansatz_4b
100,4.5966796875,5.9375,4.9716796875,5.748046875,6.3759765625,6.0146484375
101,4.8193359375,6.2431640625,4.755859375,5.861328125,6.3408203125,6.1259765625
102,4.6591796875,6.009765625,4.89453125,5.6884765625,6.416015625,6.001953125
103,4.7822265625,5.9072265625,4.810546875,5.8935546875,6.2734375,6.109375
104,4.6904296875,5.896484375,4.888671875,5.78125,6.3779296875,6.0615234375
105,4.60546875,6.005859375,4.75,5.826171875,6.3740234375,6.0458984375
106,4.7353515625,6.0615234375,4.8974609375,5.869140625,6.33984375,6.1748046875
107,4.5712890625,5.75,4.794921875,5.6298828125,6.4765625,6.05078125
108,4.73046875,5.8720703125,4.9033203125,5.7412109375,6.3671875,6.138671875
109,4.5654296875,5.6923828125,4.7587890625,5.76953125,6.2314453125,6.109375
110,4.68359375,5.9208984375,4.8427734375,5.7890625,6.5390625,6.19921875
111,4.5498046875,5.7724609375,4.783203125,5.6572265625,6.1650390625,5.962890625
112,4.671875,5.6630859375,4.7958984375,5.8056640625,6.24609375,6.09765625
113,4.5830078125,5.9189453125,4.8447265625,5.50390625,6.224609375,5.9306640625
114,4.5693359375,5.9150390625,4.7529296875,5.8759765625,6.3173828125,6.0791015625
115,4.6513671875,5.580078125,4.7978515625,5.583984375,6.15234375,5.994140625
116,4.7333984375,5.8115234375,5.1015625,5.935546875,6.34375,6.2685546875
117,4.5546875,5.5224609375,4.6318359375,5.486328125,6.2001953125,5.76953125
118,4.6435546875,5.6416015625,4.7607421875,5.6953125,6.2265625,5.91015625
119,4.576171875,5.6494140625,4.7890625,5.5361328125,6.2724609375,5.8671875
120,4.55078125,5.6044921875,4.8017578125,5.572265625,6.251953125,5.8681640625
121,4.642578125,5.6572265625,4.7392578125,5.6171875,6.2763671875,5.9716796875
122,4.59375,5.6640625,4.763671875,5.6533203125,6.1416015625,5.8974609375
123,4.5263671875,5.640625,4.7197265625,5.607421875,6.3681640625,5.8427734375
124,4.5810546875,5.7509765625,4.708984375,5.7041015625,6.2255859375,5.8623046875
125,4.5537109375,5.6142578125,4.7802734375,5.47265625,6.119140625,5.875
126,4.724609375,5.5927734375,4.78515625,5.6865234375,6.2734375,5.9208984375
127,4.5703125,5.6025390625,4.681640625,5.51171875,6.1513671875,5.818359375
128,4.6337890625,5.6298828125,4.919921875,5.69140625,6.1796875,5.76171875
129,4.5361328125,5.5859375,4.6259765625,5.5712890625,6.1611328125,5.9580078125
130,4.595703125,5.66015625,4.7265625,5.701171875,6.2314453125,6.00390625
131,4.5625,5.546875,4.666015625,5.544921875,6.0556640625,5.6689453125
132,4.5654296875,5.7373046875,4.724609375,5.6533203125,6.21875,5.7861328125
133,4.564453125,5.5458984375,4.6474609375,5.5537109375,6.095703125,5.80078125
134,4.59765625,5.6318359375,4.720703125,5.7744140625,6.04296875,5.7880859375
135,4.591796875,5.541015625,4.609375,5.4130859375,6.13671875,5.763671875
136,4.60546875,5.6259765625,4.6826171875,5.6318359375,6.1572265625,5.8203125
137,4.5869140625,5.5810546875,4.6865234375,5.375,6.1201171875,5.7109375
138,4.6015625,5.5380859375,4.5712890625,5.541015625,6.1806640625,5.7119140625
139,4.5927734375,5.7275390625,4.6611328125,5.388671875,5.9990234375,5.787109375
140,4.6748046875,5.6220703125,4.66796875,5.3369140625,6.064453125,5.5908203125
141,4.5576171875,5.5615234375,4.623046875,5.5263671875,6.0302734375,5.8779296875
142,4.5859375,5.5029296875,4.7119140625,5.5556640625,6.1513671875,5.6640625
143,4.5537109375,5.658203125,4.708984375,5.2958984375,6.0751953125,5.724609375
144,4.5634765625,5.4609375,4.720703125,5.5205078125,6.0849609375,5.6865234375
145,4.603515625,5.693359375,4.599609375,5.3115234375,6.119140625,5.7060546875
146,4.5068359375,5.5625,4.611328125,5.5390625,6.0869140625,5.8134765625
147,4.58203125,5.4296875,4.7763671875,5.3046875,6.0263671875,5.513671875
148,4.5859375,5.453125,4.671875,5.275390625,6.13671875,5.5830078125
149,4.59375,5.53125,4.6806640625,5.3857421875,6.03125,5.705078125
150,4.55859375,5.615234375,4.6572265625,5.310546875,6.0771484375,5.5927734375
151,4.56640625,5.388671875,4.6484375,5.423828125,6.0400390625,5.6259765625
152,4.59765625,5.4384765625,4.5703125,5.3193359375,6.0322265625,5.6943359375
153,4.5849609375,5.4873046875,4.67578125,5.361328125,6.091796875,5.5322265625
154,4.560546875,5.478515625,4.73046875,5.2880859375,6.095703125,5.7021484375
155,4.4921875,5.484375,4.640625,5.4130859375,6.0341796875,5.3349609375
156,4.595703125,5.517578125,4.705078125,5.279296875,6.0888671875,5.5517578125
157,4.548828125,5.4326171875,4.6689453125,5.4365234375,6.0634765625,5.5
158,4.55078125,5.509765625,4.716796875,5.3115234375,6.07421875,5.7001953125
159,4.6767578125,5.3349609375,4.5537109375,5.3623046875,6.0849609375,5.3701171875
160,4.5966796875,5.5498046875,4.72265625,5.296875,6.1064453125,5.4892578125
161,4.5693359375,5.4140625,4.6171875,5.2939453125,6.0908203125,5.560546875
162,4.642578125,5.576171875,4.73046875,5.2177734375,6.125,5.6083984375
163,4.630859375,5.330078125,4.5791015625,5.373046875,6.068359375,5.423828125
164,4.6142578125,5.552734375,4.6484375,5.421875,6.037109375,5.62890625
165,4.59765625,5.357421875,4.5771484375,5.0927734375,6.1162109375,5.234375
166,4.5615234375,5.5380859375,4.63671875,5.3466796875,6.0380859375,5.515625
167,4.5693359375,5.24609375,4.6103515625,5.126953125,6.0380859375,5.34765625
168,4.5830078125,5.361328125,4.6279296875,5.3876953125,6.0703125,5.3291015625
169,4.54296875,5.4833984375,4.611328125,5.130859375,6.142578125,5.4931640625
170,4.6142578125,5.4716796875,4.693359375,5.0947265625,6.0703125,5.5244140625
171,4.525390625,5.201171875,4.6748046875,5.3125,6.048828125,5.2939453125
172,4.5673828125,5.185546875,4.6943359375,5.1796875,6.09375,5.478515625
173,4.568359375,5.3974609375,4.64453125,5.197265625,6.0087890625,5.3447265625
174,4.515625,5.314453125,4.556640625,5.1923828125,6.060546875,5.4541015625
175,4.5576171875,5.1484375,4.6396484375,5.2607421875,6.02734375,5.2099609375
176,4.55078125,5.40234375,4.6533203125,5.1240234375,6.0419921875,5.365234375
177,4.5634765625,5.1572265625,4.5322265625,5.0927734375,6.04296875,5.2431640625
178,4.6064453125,5.1953125,4.650390625,5.0244140625,6.07421875,5.3974609375
179,4.5703125,5.2265625,4.59765625,5.234375,6.0068359375,5.3017578125
180,4.5146484375,5.3212890625,4.5712890625,5.0361328125,6.0869140625,5.486328125
181,4.552734375,5.1943359375,4.654296875,5.162109375,6.02734375,5.18359375
182,4.5615234375,5.4345703125,4.5673828125,5.2138671875,6.056640625,5.1943359375
183,4.6005859375,5.0126953125,4.6259765625,5.0556640625,6.0146484375,5.4287109375
184,4.556640625,5.1845703125,4.669921875,5.0185546875,6.072265625,5.2119140625
185,4.5712890625,4.9453125,4.5634765625,5.177734375,5.9990234375,5.2353515625
186,4.5859375,5.0634765625,4.6640625,5.1533203125,6.1083984375,5.345703125
187,4.603515625,5.123046875,4.5302734375,4.8857421875,6.0,5.18359375
188,4.580078125,5.1591796875,4.6416015625,5.099609375,6.1025390625,5.1865234375
189,4.5234375,5.0048828125,4.5654296875,5.0244140625,6.015625,5.3359375
190,4.6025390625,5.080078125,4.6708984375,5.0810546875,6.1298828125,5.2783203125
191,4.51953125,5.046875,4.5888671875,5.0146484375,6.0029296875,5.125
192,4.599609375,5.16015625,4.59375,5.046875,6.11328125,5.1962890625
193,4.6123046875,5.0712890625,4.6796875,5.0126953125,6.03515625,5.189453125
194,4.615234375,5.193359375,4.658203125,5.056640625,6.09375,5.2158203125
195,4.578125,5.0087890625,4.56640625,4.9814453125,5.98046875,5.1943359375
196,4.5205078125,5.2958984375,4.5859375,5.02734375,6.0185546875,5.203125
197,4.5107421875,4.8544921875,4.564453125,5.01171875,5.9853515625,5.2705078125
198,4.4697265625,4.8330078125,4.6015625,5.1630859375,6.08984375,5.1953125
199,4.501953125,4.978515625,4.61328125,4.9111328125,6.0146484375,5.1650390625
200,4.587890625,4.9130859375,4.66796875,5.224609375,5.9580078125,5.2666015625
201,4.5302734375,4.943359375,4.615234375,4.8525390625,5.9892578125,5.138671875
202,4.58203125,4.994140625,4.6044921875,5.0615234375,6.0341796875,5.2060546875
203,4.529296875,4.779296875,4.6455078125,4.8447265625,6.0556640625,5.24609375
204,4.5771484375,4.8994140625,4.669921875,5.078125,6.0556640625,5.3447265625
205,4.529296875,4.8447265625,4.5634765625,4.9033203125,5.984375,5.1064453125
206,4.50390625,4.8251953125,4.6142578125,5.0126953125,6.0224609375,5.3232421875
207,4.55859375,4.9365234375,4.5537109375,4.8193359375,6.0419921875,5.09375
208,4.5244140625,4.935546875,4.5888671875,5.00390625,6.072265625,5.19921875
209,4.5556640625,4.8505859375,4.5625,4.8740234375,6.0439453125,5.1298828125
210,4.5498046875,4.8203125,4.662109375,4.955078125,6.03125,5.2685546875
211,4.517578125,4.931640625,4.548828125,4.9345703125,6.03125,5.126953125
212,4.4921875,4.8544921875,4.580078125,4.9013671875,6.0732421875,5.1796875
213,4.515625,4.8134765625,4.6513671875,5.0263671875,6.0234375,5.17578125
214,4.5556640625,4.8642578125,4.619140625,4.8525390625,6.05078125,5.162109375
215,4.5517578125,4.7470703125,4.548828125,5.01953125,5.9931640625,5.2177734375
216,4.5712890625,4.830078125,4.6806640625,5.0205078125,6.0341796875,5.3984375
217,4.6337890625,4.80859375,4.5380859375,4.8095703125,6.0517578125,4.921875
218,4.564453125,4.896484375,4.599609375,4.890625,6.0185546875,5.078125
219,4.541015625,4.8056640625,4.609375,4.9140625,6.0556640625,5.0009765625
220,4.607421875,4.9111328125,4.5849609375,4.865234375,6.099609375,5.1630859375
221,4.56640625,4.7880859375,4.640625,4.912109375,5.9931640625,4.9228515625
222,4.5537109375,4.904296875,4.5654296875,4.93359375,6.0693359375,5.064453125
223,4.5810546875,4.78125,4.5869140625,4.7978515625,5.9912109375,4.994140625
224,4.53515625,4.7998046875,4.6044921875,4.9140625,6.0478515625,5.2099609375
225,4.5693359375,4.7890625,4.630859375,4.837890625,5.9853515625,4.8759765625
226,4.5537109375,4.9697265625,4.625,4.8447265625,6.017578125,5.26171875
227,4.55078125,4.72265625,4.5751953125,4.9384765625,6.064453125,4.896484375
228,4.5732421875,4.896484375,4.6279296875,4.8720703125,6.0068359375,4.953125
229,4.552734375,4.73828125,4.5068359375,4.8525390625,5.9990234375,4.9873046875
230,4.5849609375,4.8076171875,4.5791015625,4.94921875,6.0361328125,5.041015625
231,4.5654296875,4.9482421875,4.6162109375,4.7900390625,5.970703125,4.873046875
232,4.5458984375,4.9345703125,4.6123046875,4.8330078125,6.0322265625,4.873046875
233,4.5322265625,4.7685546875,4.58984375,4.84765625,6.0244140625,4.9619140625
234,4.5009765625,4.900390625,4.6123046875,4.9892578125,6.095703125,5.0546875
235,4.525390625,4.71875,4.501953125,4.77734375,6.0380859375,4.8447265625
236,4.5419921875,5.0078125,4.619140625,4.9326171875,6.05078125,4.921875
237,4.515625,4.7001953125,4.5478515625,4.748046875,6.0556640625,4.9013671875
238,4.5615234375,4.89453125,4.5732421875,4.7880859375,6.0576171875,4.8671875
239,4.55078125,4.6884765625,4.638671875,4.822265625,6.0146484375,4.9892578125
240,4.6630859375,4.7646484375,4.5556640625,5.0224609375,6.091796875,4.9443359375
241,4.498046875,4.7275390625,4.509765625,4.720703125,5.962890625,4.853515625
242,4.5771484375,4.779296875,4.607421875,4.7802734375,6.0341796875,4.9130859375
243,4.576171875,4.7919921875,4.5390625,4.880859375,6.0234375,4.8974609375
244,4.5703125,4.890625,4.5771484375,4.8271484375,6.0087890625,5.0517578125
245,4.5419921875,4.6943359375,4.5732421875,4.7763671875,6.052734375,4.830078125
246,4.466796875,4.7705078125,4.552734375,4.8837890625,6.0380859375,4.9345703125
247,4.52734375,4.7490234375,4.5693359375,4.74609375,5.9794921875,4.9384765625
248,4.4912109375,4.888671875,4.580078125,4.853515625,6.041015625,4.9384765625
249,4.5810546875,4.7451171875,4.5576171875,4.7451171875,6.033203125,4.830078125
250,4.564453125,4.814453125,4.630859375,4.8447265625,6.00390625,5.01171875
251,4.619140625,4.6806640625,4.5849609375,4.7841796875,5.98828125,4.8974609375
252,4.544921875,4.748046875,4.6337890625,4.7998046875,6.0390625,4.8876953125
253,4.5791015625,4.748046875,4.5732421875,4.869140625,6.0361328125,4.92578125
254,4.505859375,4.841796875,4.5849609375,4.986328125,6.0029296875,4.90234375
255,4.5966796875,4.7490234375,4.5380859375,4.654296875,5.951171875,4.8369140625
256,4.568359375,4.6806640625,4.6787109375,4.921875,6.0595703125,4.859375
257,4.5126953125,4.83984375,4.5859375,4.6044921875,6.025390625,4.958984375
258,4.595703125,4.8037109375,4.5703125,4.66015625,6.06640625,4.8779296875
259,4.583984375,4.7216796875,4.5830078125,4.7802734375,5.9375,4.9638671875
260,4.576171875,4.869140625,4.556640625,4.728515625,5.99609375,4.9091796875
261,4.5634765625,4.5625,4.5576171875,4.6337890625,6.00390625,4.8935546875
262,4.51171875,4.779296875,4.591796875,4.8046875,6.0576171875,4.8134765625
263,4.52734375,4.6748046875,4.5751953125,4.69140625,5.9501953125,4.90625
264,4.552734375,4.806640625,4.6025390625,4.8193359375,6.0205078125,4.80859375
265,4.5458984375,4.724609375,4.5283203125,4.603515625,6.015625,4.935546875
266,4.6025390625,4.6474609375,4.517578125,4.7265625,5.943359375,4.94140625
267,4.5595703125,4.744140625,4.587890625,4.603515625,6.0087890625,4.8046875
268,4.548828125,4.8271484375,4.5576171875,4.8388671875,6.0673828125,4.814453125
269,4.5546875,4.6611328125,4.5595703125,4.66015625,5.9716796875,4.9599609375
270,4.5791015625,4.80859375,4.560546875,4.7783203125,6.0537109375,4.9521484375
271,4.52734375,4.697265625,4.5458984375,4.673828125,6.046875,4.7236328125
272,4.56640625,4.619140625,4.626953125,4.6416015625,6.044921875,4.8828125
273,4.4794921875,4.73828125,4.5751953125,4.8330078125,5.97265625,4.8388671875
274,4.5830078125,4.7236328125,4.609375,4.7373046875,5.9365234375,4.8515625
275,4.5205078125,4.58984375,4.5673828125,4.6630859375,6.017578125,4.7607421875
276,4.5048828125,4.732421875,4.544921875,4.658203125,5.970703125,4.7509765625
277,4.560546875,4.6630859375,4.5390625,4.65234375,6.0078125,4.900390625
278,4.5791015625,4.7109375,4.5751953125,4.6533203125,6.0302734375,4.8134765625
279,4.640625,4.6201171875,4.607421875,4.71875,5.9892578125,4.802734375
280,4.576171875,4.6630859375,4.595703125,4.7705078125,5.939453125,4.91796875
281,4.5751953125,4.6484375,4.55078125,4.666015625,5.986328125,4.658203125
282,4.5576171875,4.751953125,4.5908203125,4.7197265625,6.05078125,4.9404296875
283,4.548828125,4.6884765625,4.6025390625,4.6650390625,6.048828125,4.603515625
284,4.5048828125,4.798828125,4.5791015625,4.75390625,5.9443359375,4.84765625
285,4.51953125,4.6865234375,4.5703125,4.62890625,6.017578125,4.7333984375
286,4.548828125,4.6943359375,4.55078125,4.7578125,6.0224609375,4.7998046875
287,4.5439453125,4.62109375,4.6142578125,4.626953125,5.9072265625,4.7392578125
288,4.50390625,4.6982421875,4.552734375,4.7177734375,5.96875,4.6416015625
289,4.533203125,4.60546875,4.587890625,4.5830078125,5.96484375,4.7705078125
290,4.59375,4.7470703125,4.599609375,4.6279296875,5.9658203125,4.79296875
291,4.52734375,4.625,4.595703125,4.7080078125,6.0146484375,4.6142578125
292,4.560546875,4.7822265625,4.5595703125,4.71484375,5.9697265625,4.787109375
293,4.5302734375,4.6240234375,4.580078125,4.6318359375,5.98046875,4.6630859375
294,4.6259765625,4.5751953125,4.6142578125,4.6669921875,5.9833984375,4.6943359375
295,4.5556640625,4.73828125,4.5634765625,4.6396484375,6.01953125,4.7529296875
296,4.56640625,4.67578125,4.576171875,4.7021484375,5.9423828125,4.73828125
297,4.4951171875,4.54296875,4.58203125,4.6494140625,5.98828125,4.7265625
298,4.578125,4.6708984375,4.5791015625,4.7353515625,5.984375,4.7353515625
299,4.5732421875,4.58984375,4.5673828125,4.64453125,5.919921875,4.7119140625
300,4.61328125,4.55859375,4.5703125,4.787109375,6.0234375,4.7158203125
301,4.5009765625,4.5556640625,4.5751953125,4.5751953125,5.931640625,4.71875
302,4.513671875,4.595703125,4.595703125,4.626953125,6.001953125,4.8388671875
303,4.5078125,4.638671875,4.5634765625,4.62109375,5.974609375,4.65625
304,4.58984375,4.6845703125,4.5888671875,4.6650390625,5.970703125,4.76171875
305,4.529296875,4.6513671875,4.6025390625,4.6484375,5.9443359375,4.5986328125
306,4.6103515625,4.6484375,4.6220703125,4.681640625,5.974609375,4.7744140625
307,4.5166015625,4.671875,4.5771484375,4.6533203125,5.9541015625,4.63671875
308,4.60546875,4.583984375,4.6259765625,4.712890625,6.0009765625,4.7421875
309,4.640625,4.611328125,4.529296875,4.5771484375,5.9697265625,4.6748046875
310,4.595703125,4.60546875,4.58203125,4.5791015625,5.9072265625,4.681640625
311,4.53125,4.6005859375,4.5185546875,4.6572265625,5.9716796875,4.7412109375
312,4.5361328125,4.7421875,4.595703125,4.669921875,6.0205078125,4.693359375
313,4.537109375,4.6220703125,4.5341796875,4.5927734375,5.9443359375,4.634765625
314,4.572265625,4.7412109375,4.5732421875,4.6630859375,5.984375,4.7998046875
315,4.5341796875,4.5751953125,4.5859375,4.5986328125,5.98828125,4.6005859375
316,4.6044921875,4.6416015625,4.5927734375,4.7412109375,6.0419921875,4.7421875
317,4.583984375,4.5615234375,4.6083984375,4.5869140625,5.9169921875,4.68359375
318,4.59765625,4.7333984375,4.5927734375,4.6455078125,5.9814453125,4.677734375
319,4.5673828125,4.63671875,4.5859375,4.5693359375,6.0,4.66015625
320,4.564453125,4.5810546875,4.6162109375,4.7353515625,6.013671875,4.6201171875
321,4.5400390625,4.6201171875,4.5634765625,4.599609375,5.865234375,4.7724609375
322,4.5400390625,4.6044921875,4.595703125,4.6552734375,5.9169921875,4.75
323,4.5107421875,4.6474609375,4.5498046875,4.625,6.025390625,4.6376953125
324,4.5048828125,4.6845703125,4.591796875,4.74609375,5.9794921875,4.6767578125
325,4.513671875,4.5908203125,4.54296875,4.5732421875,5.9658203125,4.6396484375
326,4.5654296875,4.595703125,4.568359375,4.7431640625,6.0458984375,4.728515625
327,4.6083984375,4.57421875,4.5458984375,4.5830078125,5.8623046875,4.69140625
328,4.6025390625,4.6220703125,4.5205078125,4.7041015625,5.970703125,4.6572265625
329,4.5654296875,4.611328125,4.53515625,4.5400390625,5.8818359375,4.64453125
330,4.560546875,4.6337890625,4.58984375,4.71484375,5.9365234375,4.7001953125
331,4.517578125,4.6025390625,4.625,4.5634765625,5.9150390625,4.63671875
332,4.6162109375,4.6474609375,4.537109375,4.6591796875,6.0263671875,4.6708984375
333,4.5419921875,4.599609375,4.5205078125,4.6337890625,5.9580078125,4.6533203125
334,4.525390625,4.6484375,4.541015625,4.6171875,5.9912109375,4.693359375
335,4.515625,4.6083984375,4.5537109375,4.5927734375,5.9462890625,4.65625
336,4.5166015625,4.6494140625,4.5693359375,4.69921875,5.96875,4.751953125
337,4.5625,4.59765625,4.591796875,4.5654296875,5.890625,4.6044921875
338,4.576171875,4.65625,4.5263671875,4.681640625,5.99609375,4.626953125
339,4.55859375,4.5732421875,4.5673828125,4.5869140625,5.8076171875,4.6923828125
