,ansatz_0a,ansatz_0b,ansatz_0c,ansatz_0d,ansatz_1a,ansatz_1b,ansatz_1c,ansatz_1d
0,6.200390625000001,3.1498046875000005,6.7484375000000005,6.200390625000001,6.2048828125,3.1498046875000005,7.284765625,6.2048828125
1,5.7595703125,3.1498046875000005,6.54296875,5.7595703125,5.811328125,3.1498046875000005,7.2234375,5.811328125
2,5.307812500000001,3.1498046875000005,6.2701171875,5.307812500000001,5.486523437500001,3.1498046875000005,7.063671875000001,5.486523437500001
3,4.841992187500001,3.1498046875000005,6.0355468750000005,4.841992187500001,5.884375,3.1498046875000005,7.2376953125000005,5.884375
4,5.0556640625,3.1498046875000005,5.7974609375,5.0556640625,5.892773437500001,3.1498046875000005,6.9736328125,5.892773437500001
5,5.2994140625,3.1498046875000005,5.616406250000001,5.2994140625,5.0771484375,3.1498046875000005,7.0689453125,5.0771484375
6,5.3193359375,3.1498046875000005,5.52109375,5.3193359375,4.6236328125,3.1498046875000005,6.9808593750000005,4.6236328125
7,4.841992187500001,3.1498046875000005,5.883984375000001,4.841992187500001,4.6236328125,3.1498046875000005,6.709765625,4.6236328125
8,4.841992187500001,3.1498046875000005,5.662304687500001,4.841992187500001,4.6236328125,3.1498046875000005,6.7935546875,4.6236328125
9,4.841992187500001,3.1498046875000005,5.7060546875,4.841992187500001,4.6236328125,3.1498046875000005,6.4302734375,4.6236328125
10,4.841992187500001,3.1498046875000005,5.428515625,4.841992187500001,4.6236328125,3.1498046875000005,6.382031250000001,4.6236328125
11,4.841992187500001,3.1498046875000005,5.4888671875,4.841992187500001,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
12,4.841992187500001,3.1498046875000005,5.347851562500001,4.841992187500001,4.6236328125,3.1498046875000005,6.3603515625,4.6236328125
13,4.7509765625,3.1498046875000005,5.347851562500001,4.7509765625,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
14,4.3890625000000005,3.1498046875000005,5.347851562500001,4.3890625000000005,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
15,4.033398437500001,3.1498046875000005,5.347851562500001,4.033398437500001,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
16,4.321484375000001,3.1498046875000005,5.347851562500001,4.321484375000001,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
17,4.479296875,3.1498046875000005,5.347851562500001,4.479296875,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
18,4.4867187500000005,3.1498046875000005,5.347851562500001,4.4867187500000005,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
19,3.5322265625000004,3.1498046875000005,5.573046875,3.5322265625000004,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
20,3.3878906250000003,3.1498046875000005,4.901953125,3.3878906250000003,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
21,3.3492187500000004,3.1498046875000005,5.2359375,3.3492187500000004,4.6236328125,3.1498046875000005,6.302929687500001,4.6236328125
22,3.6107421875000005,3.1498046875000005,5.3140625,3.6107421875000005,4.611523437500001,3.1498046875000005,6.302929687500001,4.611523437500001
23,3.2279296875000005,3.1498046875000005,5.343945312500001,3.2279296875000005,4.132421875,3.1498046875000005,6.302929687500001,4.132421875
24,3.5578125000000003,3.1498046875000005,4.455859375,3.5578125000000003,4.5296875000000005,3.1498046875000005,6.302929687500001,4.5296875000000005
25,3.2279296875000005,3.1498046875000005,4.455273437500001,3.2279296875000005,4.5623046875,3.1498046875000005,6.302929687500001,4.5623046875
26,3.2880859375000004,3.1498046875000005,4.4587890625,3.2880859375000004,4.1462890625,3.1498046875000005,6.302929687500001,4.1462890625
27,3.2279296875000005,3.1498046875000005,4.458984375,3.2279296875000005,4.044921875,3.1498046875000005,6.302929687500001,4.044921875
28,3.4527343750000004,3.1498046875000005,4.457226562500001,3.4527343750000004,3.6996093750000005,3.1498046875000005,6.215625,3.6996093750000005
29,3.2279296875000005,3.1498046875000005,4.458984375,3.2279296875000005,3.5371093750000004,3.1498046875000005,5.76171875,3.5371093750000004
30,3.3068359375000003,3.1498046875000005,4.4564453125000005,3.3068359375000003,3.4181640625000003,3.1498046875000005,5.9556640625,3.4181640625000003
31,3.2279296875000005,3.1498046875000005,3.7037109375000004,3.2279296875000005,3.7115234375000004,3.1498046875000005,5.9447265625000005,3.7115234375000004
32,3.3216796875000005,3.1498046875000005,3.6017578125000003,3.3216796875000005,3.4625000000000004,3.1498046875000005,5.929296875,3.4625000000000004
33,3.3070312500000005,3.1498046875000005,3.7021484375000004,3.3070312500000005,3.6925781250000003,3.1498046875000005,5.7113281250000005,3.6925781250000003
34,3.4732421875000004,3.1498046875000005,3.549609375,3.4732421875000004,3.4181640625000003,3.1498046875000005,5.71484375,3.4181640625000003
35,3.3517578125000003,3.1498046875000005,3.7861328125000004,3.3517578125000003,3.2927734375,3.1498046875000005,5.71484375,3.2927734375
36,3.475390625,3.1498046875000005,3.4847656250000005,3.475390625,3.2927734375,3.1498046875000005,5.711132812500001,3.2927734375
37,3.3169921875000004,3.1498046875000005,3.3775390625000004,3.3169921875000004,3.4769531250000005,3.1498046875000005,5.712109375000001,3.4769531250000005
38,3.2457031250000004,3.1498046875000005,3.4044921875000003,3.2457031250000004,3.2927734375,3.1498046875000005,5.6998046875,3.2927734375
39,3.2068359375,3.1498046875000005,3.4527343750000004,3.2068359375,3.6093750000000004,3.1498046875000005,5.703125,3.6093750000000004
