,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
77,4.9560546875,4.50390625,5.384765625,6.1083984375,5.2734375,4.50390625,5.2255859375,4.931640625
78,4.6630859375,4.498046875,5.453125,5.71875,5.6650390625,4.498046875,5.208984375,4.48828125
79,4.9267578125,4.50390625,5.43359375,5.9091796875,5.1982421875,4.50390625,5.310546875,4.9716796875
80,4.9140625,4.498046875,5.4775390625,6.0185546875,5.3193359375,4.498046875,5.5185546875,4.6201171875
81,4.7861328125,4.50390625,5.3818359375,5.7353515625,5.22265625,4.50390625,5.17578125,4.611328125
82,4.8193359375,4.498046875,5.44921875,5.859375,5.326171875,4.498046875,5.373046875,4.6884765625
83,4.6435546875,4.50390625,5.54296875,5.7197265625,5.1240234375,4.50390625,5.1181640625,4.6650390625
84,4.9853515625,4.498046875,5.1787109375,5.962890625,5.4609375,4.498046875,5.3603515625,4.68359375
85,4.654296875,4.50390625,5.6826171875,5.763671875,4.9482421875,4.50390625,5.0556640625,4.5830078125
86,4.8173828125,4.498046875,5.1552734375,6.1435546875,5.1767578125,4.498046875,5.2060546875,4.7373046875
87,4.6630859375,4.50390625,5.076171875,5.43359375,5.130859375,4.50390625,5.234375,4.6923828125
88,4.97265625,4.498046875,4.8623046875,5.681640625,5.0078125,4.498046875,5.0712890625,4.765625
89,4.52734375,4.50390625,5.296875,5.0439453125,5.2509765625,4.50390625,5.2197265625,4.6796875
90,4.748046875,4.498046875,5.0849609375,5.021484375,5.52734375,4.498046875,5.08203125,4.955078125
91,4.6337890625,4.50390625,4.8896484375,5.107421875,4.783203125,4.50390625,5.353515625,4.693359375
92,4.712890625,4.498046875,5.2109375,5.08984375,4.9365234375,4.498046875,5.4755859375,4.6767578125
93,4.6376953125,4.50390625,4.845703125,5.0,5.0888671875,4.50390625,4.8505859375,4.7080078125
94,4.6064453125,4.498046875,5.0146484375,5.0078125,4.9970703125,4.498046875,5.220703125,4.69140625
95,4.6728515625,4.50390625,4.9853515625,4.9560546875,4.93359375,4.50390625,4.8173828125,4.59375
96,4.5673828125,4.498046875,4.8466796875,4.9951171875,4.96875,4.498046875,4.892578125,4.8125
97,4.6181640625,4.50390625,5.1103515625,4.9521484375,4.9287109375,4.50390625,5.0146484375,4.57421875
98,4.5615234375,4.498046875,4.8330078125,5.107421875,4.9970703125,4.498046875,5.1708984375,4.76171875
99,4.568359375,4.50390625,4.87890625,4.8310546875,5.0390625,4.50390625,4.7626953125,4.70703125
100,4.607421875,4.498046875,4.8427734375,4.9013671875,4.951171875,4.498046875,4.7763671875,4.6875
101,4.6923828125,4.50390625,4.892578125,4.923828125,4.9267578125,4.50390625,4.912109375,4.6533203125
102,4.705078125,4.498046875,4.810546875,4.8349609375,5.029296875,4.498046875,4.6953125,4.7431640625
103,4.5654296875,4.50390625,4.884765625,5.1142578125,4.8828125,4.50390625,4.8798828125,4.6025390625
104,4.5625,4.498046875,4.8515625,4.779296875,4.9150390625,4.498046875,5.1083984375,4.611328125
105,4.5478515625,4.50390625,4.80859375,4.869140625,5.11328125,4.50390625,4.5615234375,4.845703125
106,4.8056640625,4.498046875,4.751953125,4.69921875,5.1376953125,4.498046875,4.76171875,4.7060546875
107,4.5390625,4.50390625,5.0869140625,5.0771484375,4.6435546875,4.50390625,4.69921875,4.5419921875
108,4.615234375,4.498046875,4.8193359375,4.591796875,5.279296875,4.498046875,4.7890625,4.845703125
109,4.5263671875,4.50390625,4.7705078125,4.896484375,4.580078125,4.50390625,4.7666015625,4.6416015625
110,4.55078125,4.498046875,5.0791015625,4.74609375,4.9248046875,4.498046875,4.63671875,4.919921875
111,4.65625,4.50390625,4.609375,4.6591796875,4.619140625,4.50390625,4.697265625,4.6376953125
112,4.5927734375,4.498046875,4.7578125,4.544921875,4.8466796875,4.498046875,4.734375,4.6982421875
113,4.529296875,4.50390625,4.8681640625,4.7216796875,4.5390625,4.50390625,4.751953125,4.513671875
114,4.701171875,4.498046875,4.83203125,4.6650390625,4.6748046875,4.498046875,4.8369140625,4.6455078125
115,4.5947265625,4.50390625,4.712890625,4.646484375,4.6025390625,4.50390625,4.693359375,4.517578125
116,4.556640625,4.498046875,4.71484375,4.701171875,4.8359375,4.498046875,4.76953125,4.68359375
117,4.6318359375,4.50390625,4.796875,4.671875,4.595703125,4.50390625,4.7802734375,4.6328125
118,4.6220703125,4.498046875,4.765625,4.6015625,4.5556640625,4.498046875,4.869140625,4.5654296875
119,4.58203125,4.50390625,4.677734375,4.65625,4.5625,4.50390625,4.57421875,4.568359375
120,4.6513671875,4.498046875,4.7998046875,4.7373046875,4.697265625,4.498046875,4.7255859375,4.658203125
121,4.701171875,4.50390625,4.7763671875,4.5849609375,4.5947265625,4.50390625,4.625,4.560546875
122,4.5849609375,4.498046875,4.6865234375,4.6015625,4.6708984375,4.498046875,4.6611328125,4.5576171875
123,4.54296875,4.50390625,4.7724609375,4.599609375,4.5947265625,4.50390625,4.73046875,4.662109375
124,4.64453125,4.498046875,4.7666015625,4.689453125,4.703125,4.498046875,4.77734375,4.681640625
125,4.59765625,4.50390625,4.7666015625,4.6630859375,4.595703125,4.50390625,4.6328125,4.5791015625
