,seed_28
0,13.731677463757734
1,12.72652636465144
2,13.086363837434153
3,13.699516075083142
4,12.268057466756497
5,14.270306123620362
6,13.713396851142207
7,13.298363602121631
8,13.682703153937375
9,13.204425553239817
10,12.59404988460561
11,13.867944240658376
12,12.63812668855651
13,14.063132752437618
14,13.472600332500642
15,12.946075180071192
16,13.558221400388609
17,13.375559207975924
18,13.323601537575788
19,13.124087567025628
20,12.505049764715935
21,13.938868070337017
22,13.62579634946836
23,13.426202878565341
24,13.908859713246898
25,12.818286827244387
26,13.243237574064915
27,13.451626157895546
28,13.475899262116668
29,13.258846880045391
30,13.838184812689072
31,12.895237155263665
32,12.977713558864194
33,14.143832586616789
34,12.86624467387926
35,13.448404007719306
36,13.484526398338396
37,13.189356425129128
38,12.66677052326898
39,13.886358615890773
40,12.731003781540224
41,14.25350912955737
42,13.440202576188227
43,13.623521900368383
44,12.759145427237062
45,13.721715374699853
46,13.496967070366136
47,12.99284097591795
48,13.797526829224244
49,12.919696319896266
50,13.137844691538652
51,14.078165287778145
52,13.227572169638718
53,12.782692741926056
54,12.721895981889261
55,13.052433959614005
56,12.834432637266731
57,12.72629458499606
58,13.226931079559009
59,12.281683577951991
60,11.476016395712499
61,13.213099558432194
62,11.388225960049182
63,11.140074256313163
64,11.534275515012295
65,10.952988571024928
66,11.387714880891519
67,10.790567308421574
68,11.26089618025086
69,10.59125855703741
70,11.108822950906642
71,10.875208524052463
72,10.876333607740696
73,10.876178518099657
74,10.60178171494617
75,11.104182919260607
76,10.935131374998239
77,10.72214934587109
78,11.014115218291211
79,10.4458883932152
80,10.826093966314659
81,10.621657003756942
82,11.077717391771937
83,10.280235622181488
84,10.424701183614406
85,10.442837865694981
86,10.614978840274905
87,10.410084370305734
88,10.344491548493282
89,10.360433526220103
90,10.138164105272963
91,10.684649908754297
92,9.765550516425696
93,10.653451701176236
94,9.800780221988935
95,9.974202801881663
96,9.847268779346495
97,9.802832289547673
98,9.78584430218332
99,10.163933697868783
100,9.761087261839632
101,9.603182101982311
102,10.130660983052321
103,9.64036877357535
104,9.437768934372281
105,9.690788635267662
106,9.825246941139609
107,9.268009319849583
108,9.233681309141762
109,9.511679984987333
110,9.436903775002927
111,9.380820582927534
112,9.484092120481495
113,9.457697997970156
114,9.661127089235226
115,9.07931433567817
116,9.43848821493597
117,9.19783853048651
118,9.69666406675775
119,9.042911871389029
120,9.017064632420345
121,9.46291994102075
122,9.440463985844557
123,8.779889544931638
124,8.61134838488503
125,9.285529228391981
126,8.701582019194307
127,9.302586938909656
128,8.413649129471914
129,8.844542649356942
130,8.313196528392375
131,9.063568303542318
132,8.875139079866845
133,7.934753004050048
134,7.988995013317048
135,8.369133395324045
136,8.211282592485837
