,ev_op_Hp20
0,5.7444434933217945
1,6.533343373945455
2,5.8693141304000624
3,6.25210919222883
4,5.6312445745143815
5,6.643631488049501
6,6.208444552882192
7,5.989014481818927
8,5.289410532304544
9,6.44672273836893
10,5.710022941270548
11,6.668028710761708
12,6.739611798568617
13,5.725406478335865
14,5.345439466896885
15,6.351650784956662
16,6.25559716152229
17,5.705115292209839
18,6.119228311573226
19,6.118892362059277
20,6.43389721670523
21,6.209361154620485
22,5.200682572245579
23,7.161371809304857
24,4.9600847697786445
25,6.779513501373973
26,6.402020977377149
27,5.796266797226588
28,6.030505035915378
29,6.556743706735618
30,6.082722805470423
31,5.6032667636758395
32,6.565005876150375
33,6.937671637653674
34,5.994358272878393
35,6.048646622827024
36,6.754771733991471
37,6.125490324258841
38,6.143186926156848
39,6.0572211019618925
40,6.159232249872228
41,5.8977802224886045
42,5.577140863848073
43,5.961241389826213
44,5.834169189544772
45,5.500287050038418
46,5.422580929128394
47,6.58200743494371
48,6.701095074450496
49,5.12420723054035
50,6.493551728144209
51,6.112991733831757
52,6.770142517286674
53,5.878280609055356
54,5.602160239870674
55,4.977275404396886
56,5.322467454595018
57,4.972141687563885
58,5.060095760959839
59,5.2547618694721665
60,5.342038761055666
61,4.844790010895951
62,4.794064212518991
63,4.906857356531443
64,4.06093845139944
65,5.250105124744459
66,4.092882472999689
67,3.839627123626028
68,4.650383649731507
69,2.3743035122699254
70,5.393035615925218
71,4.895094288790661
72,4.877474064321172
73,5.4823623373592785
74,4.859883608672042
75,5.3622576557708586
76,5.193719737953674
77,4.512965945871606
78,4.26978300057497
79,4.983826757988294
80,4.933922899507907
81,4.474227663119864
82,4.9361407041154415
83,4.538039328891844
84,4.491710104773724
85,3.8038298375189936
86,3.863695196830324
87,5.089851148389477
88,4.341651693794894
89,4.211544258148008
90,4.744167504569549
91,3.9201027787895386
92,4.107546728783065
93,4.489098680757908
94,3.8152646019938357
95,4.541516236899131
96,3.487974295660525
97,4.363899915676153
98,3.324318344101371
99,4.394962882860089
100,4.433213482745269
101,3.0007118828924653
102,2.937989725875405
103,3.3881404727760893
104,3.934985703955728
105,2.494224400817995
106,4.069061816494146
107,3.026548689672975
108,3.169973415867809
109,3.3170893855765247
110,3.695672439832688
111,3.643281587998567
112,4.730504049463447
113,3.2861779764827515
114,3.8910933769489415
115,4.7298685439995
116,4.4229258969196765
117,3.7072234629342486
118,4.539614652766937
119,3.7044083415770244
120,4.726603154844083
121,3.101379976322604
122,4.344224929096451
123,3.3680727130300765
124,3.860690999648196
125,3.5473398893146957
126,2.5578658735617084
127,4.32204346798294
128,2.1582382492009975
129,3.7345542839016828
130,3.162930293392155
131,1.6761440790834998
132,2.921641956959216
133,1.671458587039851
134,1.8818437590104624
135,2.9067074909252195
136,2.5588728032655053
137,1.4123233599816962
138,1.5373467519169999
139,2.8781744628064767
140,2.5920200535214803
141,2.144619359694211
142,2.0099062970664394
143,2.195000613400873
144,2.3360370941013704
145,2.456953252683627
146,2.0843219444018057
147,2.1875246612982586
148,2.643937245622107
149,3.060013605029699
150,2.9793811089914706
151,2.644785466704796
152,2.7548674173376093
153,2.5871430195231016
154,2.0859820655993158
155,3.0075342929764646
156,3.8158996843367983
157,1.756637172418244
158,3.753744229007097
159,2.631425478303923
160,3.5492891035594654
161,3.11781662857889
162,3.1015357956929
163,3.0427556112602736
164,4.434444437212514
165,2.138710063714259
166,4.039215254857036
167,3.8095688678745945
168,3.308248183825281
169,3.9024993941078447
170,3.3041669837998136
171,4.027548468845829
172,3.8604135662705468
173,2.8551782123273357
174,2.5355145699448336
175,4.099499317995891
176,2.880936598670487
177,2.559745262525467
178,3.2538670397813205
179,2.288615719836055
180,3.254696801188358
181,2.2501133693759052
182,2.642065430310276
183,2.3194339117135145
184,1.850225399283875
185,3.673978238464758
186,2.5698985531696765
187,3.000333483384124
188,1.9373601741755295
189,3.094233173727898
190,2.226808296810898
191,2.557623141264072
192,2.2867697625893526
193,2.185888355157037
194,3.6557672493930875
195,1.9520611740477583
196,2.4719790681875473
197,2.573567426252677
198,3.30975223779396
199,2.8943805381518057
200,3.7022525407400377
201,2.1343050695615196
202,3.3856578132985704
203,2.0508777795881095
204,2.4062935440948956
205,2.5156521274280847
206,3.832134331735617
207,1.4896512566458306
208,1.538133990733562
209,4.090148062947198
210,2.9451391698623883
211,2.4867609546269596
212,3.1030606002046066
213,2.480680020993336
214,3.634053494249
215,2.1914374634457663
216,1.3830087989519306
217,3.7797256186092785
218,3.0568116642702363
219,2.440617566558033
220,1.8431278466896017
221,3.435784850300435
222,3.8442705162001864
223,1.0227325923760269
224,3.0928705654715447
225,2.3290763028183052
226,2.653984565279888
227,2.6896683067485676
228,3.252588630463948
229,2.2000684157080945
230,3.128224135927896
231,2.7165679179768984
232,2.0929142848288906
233,3.3415728502365494
234,3.2088903115417167
235,2.563380879153861
236,3.394451983320671
237,2.2642453766934
238,3.144817278533998
239,1.9073033630495024
240,2.5426455542561643
241,2.2062945305468262
242,2.983588782687858
243,1.7023005939735993
244,1.8818532004087811
245,2.747787127652117
246,1.9718987800037984
247,2.059782429735306
248,2.69797588800461
249,1.9885469511119556
250,1.724027278150251
251,2.7064563036811946
252,1.972131647782132
253,1.9512536078091536
254,2.385397642829701
255,1.7451958557958929
256,2.0508237725904745
257,2.000677006550002
258,2.1387263051186194
259,2.4101570962419703
260,2.264000426124472
261,1.5546953215104624
262,2.4848261140401613
263,1.8287603302014972
264,2.0835544346238497
265,1.3658300718618328
266,2.0418145960822565
267,1.9286206095344975
268,1.7211675911937117
269,2.576256497059965
270,1.1708656041663785
271,1.945171652671109
272,2.1159362181107113
273,1.3727725787316964
274,1.215758133467002
275,1.4620855248912212
276,0.6540533690564772
277,2.165777051316129
278,1.0660056553232262
279,0.5980244344641368
280,1.316981619439791
281,1.4184401914622033
282,1.3398080274155668
283,0.9275206378768382
284,0.7965943268466393
285,1.5277466355441487
286,1.3247680135161268
287,1.3727364330262788
288,1.4774557098029903
289,1.7408817879920917
290,1.283714447660403
291,1.6074744373722287
292,1.2651845967211122
293,1.6742494702198012
294,1.3910184441458309
295,1.3635529048760275
296,1.8587091273322562
297,1.7119615173501272
298,1.827637141870985
299,1.6994029661613357
300,0.991330260639977
301,1.249361853143776
302,1.151682809591908
303,1.0652590713507482
304,1.3046829908613327
305,0.94634638186943
306,1.3608901878509378
307,1.4072206087359278
308,0.8696207342146364
309,1.049068391167811
310,1.4504659458716074
311,1.6301834625505025
312,1.468184319817062
313,1.3752209602501888
314,0.946892756134746
315,1.4080031631513725
316,1.3374300695615198
317,0.8951095086906018
318,1.2996696186727312
319,0.8567054829688677
320,1.5179354234404128
321,1.0996325916728529
322,0.9936572760096518
323,0.9443466482612737
324,1.1343898668839358
325,1.881195747634935
326,0.6237466751018705
327,0.9846218183153187
328,1.533452409445144
329,0.8550195037062284
330,1.081721231147263
331,1.122856529812142
332,1.8810885072855523
333,1.1640101854863056
334,1.4984608218303235
335,2.252004490605358
336,1.6458940335188035
337,1.625686871069306
338,1.1727850495907857
339,1.392875462678706
340,0.7404875702003753
341,0.7223002209225422
342,1.5736580020767137
343,0.6433329536039254
344,0.7081624351034256
345,0.9898822566777734
346,1.443518506742092
347,0.8099508276132659
348,0.82010369513649
349,0.8997871792237881
350,1.1800998269424676
351,0.8971519401516839
352,1.3516233070036765
353,1.0702168166538606
354,1.4420346049330044
355,1.2971996403692414
356,1.4174794472455796
357,1.095213646983129
358,1.1294614672801988
359,1.3014250000953955
360,1.2182381515522458
361,1.4612875753133856
362,1.6404611838567913
363,1.1220544942166242
364,1.2607099525498136
365,0.5963454304699899
366,1.3604817716637012
367,0.9729917763929652
368,0.9909762745713604
369,1.0775757364838732
370,1.3541082573485719
371,1.7678310723418411
372,0.9752516804699899
373,1.0963632917622064
374,1.0568962863302012
375,1.4411007402859302
376,0.4208407676056686
377,0.6946000187240992
378,1.3495964459674357
379,1.4765290682829424
380,1.4858441776262163
381,1.2284957206989426
382,1.258259951143465
383,0.9406224988176842
384,1.0950723765332537
385,1.0532583788344325
386,1.0602432330323206
387,1.408841694977209
388,1.1760968720919078
389,1.0275920129407237
390,0.5383549509837511
391,0.5403318910400396
392,0.6192960938453957
393,0.9969690985107735
394,1.2472501947851196
395,1.3407219877615841
396,1.1343833147364282
397,1.1911810284696795
398,1.2622263371676221
399,1.4943620083711742
400,1.150835610013639
401,1.15485396002659
402,1.2291737487533652
403,1.1503107599372357
404,0.9085622911868032
405,1.1271553777160026
406,1.3493069297991915
407,0.9804268983890445
408,1.21356083154396
409,1.053958003673853
410,1.264360789078147
411,1.0071694208841244
412,1.5663937440884206
413,1.2223145945805125
414,1.1392845869120796
415,1.3909985398447733
416,0.8844636029201759
417,1.0560143856719202
418,1.0413431546200518
419,0.9927148162062285
420,0.9410140752171239
421,0.5494936471428427
422,0.8501882320740375
423,1.3282071559301392
424,0.5805259992644501
425,0.9266779474372363
426,0.8412965109594053
427,0.8096366501467637
428,1.0251341900239124
429,1.1971872045626417
430,0.9304735420496913
431,0.7775507597132035
432,1.2751752679889823
433,0.8712627462613952
434,1.300057882700376
435,1.5458046219002513
436,0.6507760723729177
437,0.7831173061731642
438,0.9798920085308872
439,0.9159788809111469
440,0.5116323327897286
441,0.45509334489994
442,1.7436989523581568
443,1.2268329581091564
444,1.0495139745648856
445,1.0805300852821313
446,1.266351081287985
447,1.4304735420496912
448,0.9564130074448332
449,0.9117745195865545
450,1.2640211766674994
451,1.354025079914012
452,0.9957588945865546
453,1.2031268677463902
454,0.8513966408479502
455,0.9261598973668754
456,1.1588364121926567
457,1.1694067141804498
458,1.3066285422094048
459,0.9200317567416589
460,0.9912602600965172
461,0.8883565007666266
462,0.9108213490218579
463,1.0529746411678107
464,0.6638450999801412
465,0.7519619680148831
466,0.7375389999037391
467,0.7266163317351839
468,1.5420609912765892
469,1.5506675300991932
470,0.8528238942671266
471,0.808792938202741
472,1.0333384416858036
473,0.7579029005615869
474,1.3366200371930892
475,1.2198526856460195
476,0.6629360718937757
477,1.1468435411868032
478,0.958171278118308
479,0.7395574410460819
480,1.2333867778303904
481,1.0733516461206738
482,1.055035357042095
483,1.1479529542427807
484,1.031777140943778
485,0.8307007014313836
486,0.6656852787252213
487,0.880369473862144
488,1.427027249104736
489,1.4796829558088436
490,1.3768626217720474
491,0.9646940596562262
492,1.0532224809875497
493,0.9569489188074102
494,1.0425845719900373
495,0.6522963677459573
496,1.0395173495329428
497,1.1425259857487557
498,0.661652131933316
499,0.7847417047862407
500,1.4018047741241615
501,1.0611093154072262
502,0.796077721401684
503,0.8853508589590942
504,0.6087183934681238
505,0.6034109233765271
506,1.4480547315629528
507,1.2329208670112737
508,0.8988968586716091
509,0.8364196522234778
510,0.7947794077832537
511,0.4907571820675622
512,0.8843931792557311
513,0.6719183688324447
514,0.6473209364130793
515,0.6773069007536762
516,0.9324128917751566
517,0.6705580514434675
518,1.1752987472516214
519,0.84206282397049
520,0.5173746755171265
521,0.5687834342081611
522,0.9118741136879251
523,1.1927054098604004
524,1.2536795838442736
525,1.139156916474288
526,0.6320419257087831
527,0.933946962422731
528,0.6731686292173132
529,0.700282823810776
530,0.7525968750953951
531,0.6508360331346243
532,0.6877926532775893
533,0.5284887103779602
534,0.515885593589853
535,0.8597822194203653
536,1.022804110140977
537,0.9571606129217315
538,0.7925864397364278
539,0.8664039966762187
540,1.2271195850265895
541,1.1729930808084104
542,1.4696308791538608
543,1.250092443570428
544,0.6595031311023698
545,0.48064105863319184
546,0.9789125567800767
547,1.0300044966123332
548,1.024306719484251
549,0.7676707438328781
550,1.2423312365797015
551,1.0864611533095316
552,1.2697119785270894
553,1.0414339057065394
554,0.6961837624930914
555,0.6710058531118333
556,1.3110781019614601
557,0.8006566440754701
558,0.7016589594831292
559,0.8093352264503757
560,0.7963598391804504
561,1.180754039940602
562,0.9856388603969524
563,1.1077469384902263
564,1.20692101773344
565,1.090349717279766
566,1.014877817644087
567,1.0368252142123926
568,0.9245145729483206
569,1.145720775977276
570,0.7613374612408481
571,0.4683278811343129
572,0.662202416953863
573,0.5985359323869901
574,0.6876803054061043
575,0.6563038317351836
576,0.24938753594645524
577,0.34144968893742556
578,1.3802142528752839
579,1.3328708759263408
580,0.6756710177334406
581,0.8997395491112115
582,1.2127725712229773
583,1.367909072149318
584,0.5586574462544873
585,0.625932843142654
586,0.9394822954369255
587,0.6519265633939648
588,1.2915850406757188
589,1.0978260925033654
590,0.9896498120204251
591,0.8233212789168778
592,1.234256770960527
593,1.054189178968246
594,0.7744633850965171
595,0.48554130930442274
596,0.5106789869625817
597,0.8783202423950198
598,0.780612699385746
599,0.7952812164492532
600,0.7722143670432166
601,0.8258162690435271
602,1.140544711816251
603,1.0413727481779618
604,0.5683427830707384
605,0.6717573693439628
606,1.0872584319078482
607,0.8585493972067286
608,0.25458759042621903
609,0.3980556128574131
610,0.8306187933597784
611,0.9336654430274007
612,0.8197527735811346
613,0.6898583014115247
614,0.8094680770063531
615,0.7194853474238528
616,0.7406888014119574
617,0.6282510880935296
618,1.0081948828596556
619,0.7627542517572863
620,1.2189147349812635
621,1.1229834266040473
622,1.134303026552679
623,1.2852150139948355
624,0.6791651886495071
625,0.8250316716192411
626,0.8280747284951465
627,0.8006254306297037
628,1.071344338860589
629,0.8981989263161291
630,0.7326194433148855
631,0.6898862024854944
632,0.9852959356145097
633,0.8221894954300172
634,1.3053201162131367
635,1.0894269865149502
636,1.3963462416594696
637,1.1873328714849951
638,0.4457425129722333
639,0.6020590258814473
640,0.7790353325018105
641,0.8515391080646966
642,0.7489865181486961
643,0.8535932717914723
644,0.8191563030734152
645,0.7158121404646364
646,1.01089536547802
647,0.8627628494047386
648,0.8165403699189323
649,0.7936079909567281
650,1.0897236532141366
651,0.8145817142758455
652,1.0693302315944628
653,0.9570479145253454
654,1.1840882328726068
655,0.9944626239769649
656,1.095663739518871
657,0.9390043018272138
658,0.6878879135027439
659,0.8162186188005023
660,0.7442573067477013
661,0.9112328297223552
662,1.156299920979953
663,1.2870952492005645
664,0.9579922420751588
665,0.8936754552653824
666,1.4948710401642011
667,0.9459042861066019
668,1.1854758529521192
669,1.2765454498972635
670,0.5439783936921565
671,0.6064420727242881
672,0.9008676697013751
