,ev_op_Hp15,ev_op_Hp20,ev_op_H,ev_op_Hp15_2f,ev_op_Hp20_2f,ev_op_H_2f,ev_op_Hp15_3f,ev_op_Hp20_3f,ev_op_H_3f,ev_op_Hp15_4f,ev_op_Hp20_4f,ev_op_H_4f
0,5.942844389442901,6.157499238880447,6.603850728271981,3.887189593078769,5.751671007221234,6.47451369165386,4.47670521507528,5.900791219676773,6.227680332949876,4.360803099661146,5.910807573747324,5.868633037832378
1,4.264048654620485,7.998397373434371,6.450790163119864,4.6668082191972005,6.054770254313574,5.961287400050936,4.891999092663513,5.673895484151185,5.738279206991159,5.017053698044581,6.84083570766239,5.814908149795393
2,5.147762361196388,6.293842653885368,6.573695767669988,4.847815381742093,5.33608761346476,6.072397454051557,5.052240139985928,5.497010774859279,5.828044711816251,5.023274880623661,6.308193753706663,6.348128712966625
3,4.825375793168555,6.934229853847384,6.635689625127772,4.181357485716814,5.379415281793028,6.016855356083811,4.695490937659714,6.235167171076213,6.506530179927396,2.9731673248018686,5.952492982170299,5.7274388700151935
4,5.234933704914446,6.5344885095858665,6.4568577445999376,4.370631151552678,5.54892771910137,6.556661973926462,4.2112448774604605,5.606565234023414,6.084477588509652,4.090575361931071,6.137263081256476,6.19682148622833
5,5.058788604326525,7.574512775306911,7.078578580169988,5.562225455873161,5.256778442868119,6.137153024252366,5.037032997571482,6.044175291027523,6.626891719612889,4.629416303297447,6.156607896823849,5.795656974565318
6,5.079711808282254,6.891114725875407,7.044531743225965,4.1866805262332525,5.723260542018182,6.020197968909714,4.16520457112715,5.963025941685805,6.036490709323849,4.463198425581445,5.810660842759342,5.808691899475965
7,5.14609568785137,7.301430282879948,6.7890768736579705,4.436039067005231,5.582523018884246,6.361604289014695,3.565264426731387,6.151856490254419,6.083941254026089,4.0019615448938985,5.823627387014384,6.450789739998878
8,5.0291654690694285,6.9842762521406,7.0627106726098985,3.946159101194834,6.122899650786051,5.8783688940120165,3.968892715075282,6.129999246389166,6.086968069497633,4.845910309975654,6.290875376054545,5.726289400498566
9,5.002527225076835,6.656702733928018,6.3964927948938985,5.502663986388045,5.5101691089275855,5.892458626597572,4.82639692126787,5.156906256006975,6.228766952453985,3.809450814097572,6.12445626712696,6.0627215586336245
10,5.263056696958094,6.801908101227209,7.112917399412079,2.970165593749567,6.318472496517371,6.000036145705419,4.4230413093044225,5.955263537928206,6.177056171683128,4.38447159969309,5.76753891478132,5.712890624999999
11,3.8114441708206717,7.665219543168555,6.8248686291219185,5.025538870718369,4.963993062787485,5.910284168296325,3.2564585594960795,6.129299869408279,5.547638423760273,4.367743563522168,6.236363847584434,6.1863891423186175
12,5.215898134553925,7.324603351130946,6.78949328661812,3.639408842311708,6.280267483735929,6.125930975396264,3.66971409164091,5.604181322405293,5.926761300134247,3.952934056428707,6.368323194242093,6.397754962806911
13,5.145662011982439,6.595811737378704,7.226449976866063,4.145931623849627,5.424552338541594,5.730251102121607,4.530928248881569,5.1497873544862385,6.019247687595828,3.834893578348816,5.997703774955107,6.403108195264694
14,5.19105779457447,6.247163529716314,6.9318141304000624,4.245513696159093,5.29722549843437,6.807684123530199,4.530575284317373,5.619611044957783,6.045261910531631,5.014140850332379,6.289853226450808,6.540961618002366
